energy_ev,total_up,Hg_p_up,Hg_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,0.46205238,0.11632306,0.13202621,0.05484177,0.00011356,0.04046366,0.04136934
-5.99399700,0.44531015,0.12048426,0.12195584,0.05744308,0.00011640,0.04177784,0.04336508
-5.98799400,0.43458756,0.12562739,0.11457496,0.06014119,0.00012301,0.04308376,0.04598509
-5.98199100,0.42968969,0.13169492,0.10982858,0.06287732,0.00013331,0.04434748,0.04922013
-5.97598799,0.43043318,0.13863888,0.10766639,0.06560027,0.00014726,0.04553824,0.05306668
-5.96998499,0.43664783,0.14642064,0.10804200,0.06826687,0.00016484,0.04662923,0.05752625
-5.96398199,0.44817666,0.15501026,0.11091157,0.07084231,0.00018603,0.04759832,0.06260445
-5.95797899,0.46487453,0.16438531,0.11623207,0.07330018,0.00021084,0.04842857,0.06830980
-5.95197599,0.48660511,0.17452920,0.12395907,0.07562225,0.00023925,0.04910856,0.07465238
-5.94597299,0.51323650,0.18542917,0.13404434,0.07779807,0.00027123,0.04963253,0.08164232
-5.93996998,0.54463537,0.19707382,0.14643306,0.07982416,0.00030672,0.05000028,0.08928819
-5.93396698,0.58066019,0.20945043,0.16106106,0.08170320,0.00034561,0.05021689,0.09759527
-5.92796398,0.62115375,0.22254221,0.17785197,0.08344279,0.00038777,0.05029223,0.10656394
-5.92196098,0.66593537,0.23632542,0.19671461,0.08505426,0.00043300,0.05024040,0.11618801
-5.91595798,0.71479348,0.25076682,0.21754063,0.08655134,0.00048103,0.05007895,0.12645328
-5.90995498,0.76747894,0.26582132,0.24020267,0.08794874,0.00053156,0.04982820,0.13733631
-5.90395198,0.82369961,0.28143022,0.26455311,0.08926090,0.00058421,0.04951042,0.14880340
-5.89794897,0.88311678,0.29751995,0.29042357,0.09050081,0.00063854,0.04914916,0.16081004
-5.89194597,0.94534366,0.31400168,0.31762524,0.09167901,0.00069406,0.04876867,0.17330065
-5.88594297,1.00994632,0.33077155,0.34595006,0.09280278,0.00075026,0.04839345,0.18620879
-5.87993997,1.07644717,0.34771189,0.37517289,0.09387566,0.00080655,0.04804797,0.19945778
-5.87393697,1.14433094,0.36469304,0.40505440,0.09489722,0.00086236,0.04775663,0.21296184
-5.86793397,1.21305299,0.38157604,0.43534486,0.09586309,0.00091708,0.04754388,0.22662745
-5.86193097,1.28204950,0.39821578,0.46578839,0.09676523,0.00097013,0.04743456,0.24035523
-5.85592796,1.35074920,0.41446462,0.49612772,0.09759254,0.00102092,0.04745431,0.25404192
-5.84992496,1.41858586,0.43017625,0.52610913,0.09833148,0.00106892,0.04763022,0.26758263
-5.84392196,1.48501093,0.44520949,0.55548725,0.09896696,0.00111365,0.04799140,0.28087304
-5.83791896,1.54950560,0.45943193,0.58402966,0.09948321,0.00115467,0.04856965,0.29381159
-5.83191596,1.61159148,0.47272318,0.61152078,0.09986468,0.00119163,0.04939998,0.30630147
-5.82591296,1.67083944,0.48497739,0.63776511,0.10009689,0.00122425,0.05052100,0.31825233
-5.81990995,1.72687594,0.49610521,0.66258941,0.10016714,0.00125232,0.05197516,0.32958162
-5.81390695,1.77938659,0.50603480,0.68584392,0.10006509,0.00127573,0.05380861,0.34021553
-5.80790395,1.82811677,0.51471202,0.70740242,0.09978318,0.00129446,0.05607084,0.35008941
-5.80190095,1.87286943,0.52209979,0.72716128,0.09931680,0.00130854,0.05881399,0.35914790
