energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,5.95361862,0.16824458,0.28505526,0.00700836,1.77621533,0.05779119,1.51897026,4.14714565,1.52599846
-5.99399700,6.00123387,0.17534210,0.27951440,0.00732145,1.80799308,0.05494592,1.52053754,4.19055527,1.55984390
-5.98799400,6.06987243,0.18336503,0.27626723,0.00771642,1.84180155,0.05260246,1.53123147,4.24525782,1.59421636
-5.98199100,6.15804092,0.19220417,0.27518058,0.00819113,1.87740275,0.05073268,1.55046679,4.31004249,1.62908743
-5.97598799,6.26396327,0.20173166,0.27607936,0.00874194,1.91459109,0.04930010,1.57747960,4.38358049,1.66447533
-5.96998499,6.38563649,0.21180431,0.27875304,0.00936372,1.95319804,0.04826142,1.61135213,4.46446284,1.70044442
-5.96398199,6.52088697,0.22226746,0.28296311,0.01005006,1.99309273,0.04756824,1.65104151,4.55123568,1.73710134
-5.95797899,6.66742594,0.23295942,0.28845093,0.01079338,2.03417857,0.04716877,1.69541196,4.64243243,1.77458764
-5.95197599,6.82290277,0.24371631,0.29494607,0.01158517,2.07638617,0.04700957,1.74326920,4.73660225,1.81306949
-5.94597299,6.98495498,0.25437715,0.30217462,0.01241622,2.11966300,0.04703719,1.79339644,4.83233472,1.85272451
-5.93996998,7.15125395,0.26478900,0.30986749,0.01327681,2.16396053,0.04719977,1.84459047,4.92828047,1.89372649
-5.93396698,7.31954554,0.27481204,0.31776820,0.01415704,2.20921962,0.04744842,1.89569691,5.02316792,1.93622862
-5.92796398,7.48768467,0.28432418,0.32564008,0.01504701,2.25535496,0.04773847,1.94564323,5.11581605,1.98034601
-5.92196098,7.65366332,0.29322518,0.33327258,0.01593714,2.30223965,0.04803048,1.99346838,5.20514333,2.02613822
-5.91595798,7.81563137,0.30143988,0.34048642,0.01681835,2.34969074,0.04829103,2.03834777,5.29017301,2.07359278
-5.90995498,7.97190981,0.30892055,0.34713755,0.01768225,2.39745663,0.04849325,2.07961265,5.37003469,2.12261048
-5.90395198,8.12099634,0.31564791,0.35311958,0.01852135,2.44520711,0.04861707,2.11676295,5.44396259,2.17299321
-5.89794897,8.26156341,0.32163111,0.35836474,0.01932914,2.49252686,0.04864926,2.14947302,5.51129068,2.22443498
-5.89194597,8.39244929,0.32690623,0.36284325,0.02010015,2.53891276,0.04858322,2.17759005,5.57144502,2.27651696
-5.88594297,8.51264306,0.33153365,0.36656127,0.02083000,2.58377549,0.04841848,2.20112505,5.62393396,2.32870667
-5.87993997,8.62126471,0.33559416,0.36955730,0.02151536,2.62644568,0.04816012,2.22023722,5.66833665,2.38036194
-5.87393697,8.71754222,0.33918412,0.37189756,0.02215385,2.66618444,0.04781796,2.23521209,5.70429081,2.43073960
-5.86793397,8.80078720,0.34240989,0.37367030,0.02274399,2.70219823,0.04740563,2.24643502,5.73148057,2.47900885
