energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.85977764,0.02901306,0.02426605,2.13799748,0.59454064,0.02936511,1.89550441,0.92118233,0.21229663
-5.99399700,2.79029904,0.02736436,0.02358625,2.08123845,0.57769627,0.02925245,1.85092658,0.89783038,0.20816150
-5.98799400,2.71624802,0.02566510,0.02291473,2.02084960,0.55916341,0.02916732,1.80334825,0.87312740,0.20377665
-5.98199100,2.63934584,0.02394162,0.02226298,1.95819779,0.53930153,0.02912433,1.75391301,0.84761099,0.19926676
-5.97598799,2.56126414,0.02221900,0.02164187,1.89461998,0.51847903,0.02913527,1.70373001,0.82180781,0.19475039
-5.96998499,2.48356452,0.02052034,0.02106103,1.83137724,0.49706098,0.02920850,1.65383397,0.79621447,0.19033537
-5.96398199,2.40764470,0.01886636,0.02052838,1.76961324,0.47539752,0.02934853,1.60514940,0.77128027,0.18611482
-5.95797899,2.33469335,0.01727493,0.02004971,1.71031856,0.45381343,0.02955568,1.55846050,0.74739243,0.18216385
-5.95197599,2.26565505,0.01576088,0.01962845,1.65430224,0.43259928,0.02982602,1.51438789,0.72486424,0.17853707
-5.94597299,2.20120670,0.01433582,0.01926551,1.60217131,0.41200429,0.03015141,1.47337277,0.70392666,0.17526714
-5.93996998,2.14174585,0.01300813,0.01895927,1.55431906,0.39223127,0.03051981,1.43566913,0.68472344,0.17236419
-5.93396698,2.08739116,0.01178310,0.01870572,1.51092204,0.37343361,0.03091570,1.40134400,0.66730997,0.16981625
-5.92796398,2.03799449,0.01066306,0.01849862,1.47194593,0.35571442,0.03132065,1.37028550,0.65165570,0.16759067
-5.92196098,1.99316365,0.00964771,0.01832985,1.43715938,0.33912769,0.03171410,1.34221805,0.63764996,0.16563635
-5.91595798,1.95229447,0.00873439,0.01818976,1.40615534,0.32368131,0.03207413,1.31672392,0.62511085,0.16388668
-5.90995498,1.91461051,0.00791852,0.01806762,1.37837846,0.30934173,0.03237838,1.29326986,0.61379661,0.16226313
-5.90395198,1.87920822,0.00719393,0.01795205,1.35315733,0.29603987,0.03260493,1.27123753,0.60341903,0.16067920
-5.89794897,1.84510546,0.00655331,0.01783153,1.32974012,0.28367808,0.03273318,1.24995625,0.59365824,0.15904460
-5.89194597,1.81129110,0.00598859,0.01769481,1.30733174,0.27213769,0.03274468,1.22873652,0.58417814,0.15726949
-5.88594297,1.77677351,0.00549127,0.01753139,1.28513119,0.26128671,0.03262387,1.20690287,0.57464182,0.15526852
-5.87993997,1.74062576,0.00505280,0.01733184,1.26236738,0.25098758,0.03235863,1.18382455,0.56472646,0.15296460
-5.87393697,1.70202584,0.00466483,0.01708816,1.23833194,0.24110427,0.03194078,1.15894292,0.55413681,0.15029210
-5.86793397,1.66029029,0.00431948,0.01679402,1.21240796,0.23150884,0.03136633,1.13179440,0.54261710,0.14719950
-5.86193097,1.61490018,0.00400948,0.01644491,1.18409347,0.22208693,0.03063560,1.10202831,0.52996064,0.14365136
