energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,4.10947857,0.03574851,0.20124504,1.10813492,0.24749951,0.07010891,2.16402004,0.46606742,0.33363951
-5.99399700,3.90655619,0.03309969,0.19407811,1.06426424,0.23994292,0.06529422,2.05345366,0.44384983,0.31695204
-5.98799400,3.72870406,0.03054871,0.18753758,1.02597145,0.23376378,0.06075159,1.95690260,0.42469642,0.30214446
-5.98199100,3.57492958,0.02810411,0.18157236,0.99325313,0.22891159,0.05647466,1.87387185,0.40843156,0.28913436
-5.97598799,3.44386176,0.02577292,0.17612188,0.96595835,0.22531371,0.05245600,1.80364867,0.39483395,0.27781490
-5.96998499,3.33380947,0.02356072,0.17111883,0.94380233,0.22287747,0.04868761,1.74533346,0.38364488,0.26805957
-5.96398199,3.24282229,0.02147178,0.16649188,0.92638314,0.22149253,0.04516130,1.69787241,0.37457691,0.25972692
-5.95797899,3.16875267,0.01950912,0.16216834,0.91320077,0.22103364,0.04186899,1.66009105,0.36732257,0.25266504
-5.95197599,3.10931812,0.01767462,0.15807679,0.90367783,0.22136366,0.03880293,1.63072831,0.36156313,0.24671584
-5.94597299,3.06216235,0.01596908,0.15414951,0.89718114,0.22233687,0.03595576,1.60847015,0.35697712,0.24171907
-5.93996998,3.02491430,0.01439228,0.15032465,0.89304350,0.22380246,0.03332068,1.59198243,0.35324854,0.23751594
-5.93396698,2.99524394,0.01294308,0.14654824,0.89058493,0.22560818,0.03089146,1.57994217,0.35007464,0.23395238
-5.92796398,2.97091396,0.01161947,0.14277575,0.88913290,0.22760408,0.02866248,1.57106700,0.34717298,0.23088196
-5.92196098,2.94982648,0.01041868,0.13897334,0.88804089,0.22964621,0.02662878,1.56414195,0.34428782,0.22816827
-5.91595798,2.93006401,0.00933732,0.13511867,0.88670486,0.23160027,0.02478613,1.55804350,0.34119550,0.22568700
-5.90995498,2.90992406,0.00837145,0.13120135,0.88457740,0.23334501,0.02313107,1.55176031,0.33770893,0.22332743
-5.90395198,2.88794696,0.00751678,0.12722282,0.88117924,0.23477549,0.02166098,1.54441046,0.33368086,0.22099361
-5.89794897,2.86293660,0.00676877,0.12319594,0.87610801,0.23580586,0.02037417,1.53525493,0.32900608,0.21860500
-5.89194597,2.83397392,0.00612284,0.11914410,0.86904423,0.23637177,0.01926999,1.52370729,0.32362238,0.21609683
-5.88594297,2.80042337,0.00557451,0.11510004,0.85975465,0.23643229,0.01834889,1.50933950,0.31751031,0.21341999
