energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.11162129,0.02221406,0.00000000,0.02638105,0.96322560,0.28753100,0.38706112
-5.99399700,1.93314661,0.02016060,0.00000000,0.02474675,0.89143515,0.26887654,0.35631004
-5.98799400,1.77096408,0.01830699,0.00000000,0.02325175,0.82631943,0.25249680,0.32828451
-5.98199100,1.62556970,0.01665408,0.00000000,0.02190988,0.76822889,0.23846139,0.30314525
-5.97598799,1.49719859,0.01519992,0.00000000,0.02073231,0.71739912,0.22681580,0.28100246
-5.96998499,1.38585717,0.01394022,0.00000000,0.01972756,0.67396106,0.21758569,0.26191990
-5.96398199,1.29135715,0.01286876,0.00000000,0.01890172,0.63795256,0.21078121,0.24591973
-5.95797899,1.21335021,0.01197786,0.00000000,0.01825854,0.60933089,0.20640133,0.23298789
-5.95197599,1.15136228,0.01125873,0.00000000,0.01779970,0.58798571,0.20443812,0.22307980
-5.94597299,1.10482680,0.01070185,0.00000000,0.01752494,0.57375251,0.20488096,0.21612633
-5.93996998,1.07311660,0.01029732,0.00000000,0.01743237,0.56642618,0.20772078,0.21203982
-5.93396698,1.05557405,0.01003510,0.00000000,0.01751871,0.56577472,0.21295432,0.21072020
-5.92796398,1.05153952,0.00990531,0.00000000,0.01777956,0.57155300,0.22058841,0.21206103
-5.92196098,1.06037789,0.00989841,0.00000000,0.01820966,0.58351656,0.23064439,0.21595541
-5.91595798,1.08150329,0.01000540,0.00000000,0.01880325,0.60143522,0.24316248,0.22230177
-5.90995498,1.11440170,0.01021801,0.00000000,0.01955428,0.62510650,0.25820611,0.23100935
-5.90395198,1.15865118,0.01052877,0.00000000,0.02045675,0.65436835,0.27586603,0.24200326
-5.89794897,1.21393936,0.01093116,0.00000000,0.02150497,0.68911102,0.29626403,0.25522912
-5.89194597,1.28007743,0.01141966,0.00000000,0.02269376,0.72928740,0.31955593,0.27065683
-5.88594297,1.35701003,0.01198979,0.00000000,0.02401869,0.77492140,0.34593360,0.28828356
-5.87993997,1.44482002,0.01263815,0.00000000,0.02547617,0.82611361,0.37562570,0.30813560
-5.87393697,1.54372758,0.01336232,0.00000000,0.02706351,0.88304376,0.40889678,0.33026886
-5.86793397,1.65408250,0.01416080,0.00000000,0.02877892,0.94596926,0.44604447,0.35476790
-5.86193097,1.77634944,0.01503290,0.00000000,0.03062141,1.01521935,0.48739454,0.38174337
-5.85592796,1.91108556,0.01597852,0.00000000,0.03259057,1.09118463,0.53329366,0.41132766
-5.84992496,2.05891067,0.01699792,0.00000000,0.03468632,1.17430169,0.58409982,0.44366892
-5.84392196,2.22047031,0.01809147,0.00000000,0.03690856,1.26503307,0.64017052,0.47892336
-5.83791896,2.39639260,0.01925930,0.00000000,0.03925678,1.36384292,0.70184890,0.51724622
-5.83191596,2.58724027,0.02050105,0.00000000,0.04172963,1.47116895,0.76944828,0.55878143
-5.82591296,2.79345944,0.02181543,0.00000000,0.04432451,1.58739181,0.84323542,0.60365059
-5.81990995,3.01532751,0.02320001,0.00000000,0.04703715,1.71280282,0.92341331,0.65194154
-5.81390695,3.25290221,0.02465086,0.00000000,0.04986128,1.84757169,1.01010400,0.70369701
