energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.54678923,0.05559054,0.31037070,0.02576551,0.00000000,0.03906156,1.85140575,1.13160538,0.64274440
-5.99399700,3.48464854,0.05298929,0.30692159,0.02538665,0.00000000,0.03765382,1.81982259,1.15213703,0.62437699
-5.98799400,3.43177576,0.05039050,0.30471527,0.02506660,0.00000000,0.03636605,1.79279943,1.17939845,0.60728460
-5.98199100,3.38991389,0.04782688,0.30390609,0.02481674,0.00000000,0.03522340,1.77123637,1.21377063,0.59184343
-5.97598799,3.36049190,0.04532984,0.30460792,0.02464651,0.00000000,0.03424636,1.75587945,1.25545379,0.57837661
-5.96998499,3.34456628,0.04292856,0.30688910,0.02456299,0.00000000,0.03345024,1.74728986,1.30444806,0.56714248
-5.96398199,3.34277212,0.04064902,0.31076863,0.02457056,0.00000000,0.03284470,1.74581773,1.36053902,0.55832479
-5.95797899,3.35528606,0.03851318,0.31621381,0.02467062,0.00000000,0.03243350,1.75158184,1.42328901,0.55202517
-5.95197599,3.38180310,0.03653836,0.32313941,0.02486141,0.00000000,0.03221443,1.76445628,1.49203488,0.54825836
-5.94597299,3.42152895,0.03473666,0.33140856,0.02513789,0.00000000,0.03217940,1.78406505,1.56589285,0.54695028
-5.93996998,3.47318890,0.03311475,0.34083521,0.02549179,0.00000000,0.03231468,1.80978523,1.64377066,0.54793941
-5.93396698,3.53505364,0.03167372,0.35118838,0.02591172,0.00000000,0.03260140,1.84075882,1.72438724,0.55098111
-5.92796398,3.60498171,0.03040927,0.36219794,0.02638347,0.00000000,0.03301610,1.87591344,1.80629952,0.55575519
-5.92196098,3.68047767,0.02931202,0.37356180,0.02689032,0.00000000,0.03353154,1.91399118,1.88793586,0.56187617
-5.91595798,3.75876419,0.02836803,0.38495439,0.02741359,0.00000000,0.03411751,1.95358485,1.96763537,0.56890610
-5.90995498,3.83686578,0.02755956,0.39603603,0.02793310,0.00000000,0.03474178,1.99318052,2.04369176,0.57636935
-5.90395198,3.91170127,0.02686579,0.40646306,0.02842789,0.00000000,0.03537116,2.03120472,2.11440045,0.58376883
-5.89794897,3.98018155,0.02626381,0.41589814,0.02887683,0.00000000,0.03597249,2.06607469,2.17810722,0.59060315
-5.89194597,4.03930900,0.02572954,0.42402058,0.02925933,0.00000000,0.03651368,2.09624962,2.23325669,0.59638378
-5.88594297,4.08627466,0.02523871,0.43053617,0.02955601,0.00000000,0.03696470,2.12028109,2.27843874,0.60065180
-5.87993997,4.11854946,0.02476773,0.43518617,0.02974938,0.00000000,0.03729847,2.13686048,2.31243107,0.60299345
-5.87393697,4.13396583,0.02429461,0.43775516,0.02982437,0.00000000,0.03749167,2.14486170,2.33423627,0.60305386
-5.86793397,4.13078658,0.02379962,0.43807739,0.02976885,0.00000000,0.03752536,2.14337750,2.34311177,0.60054847
-5.86193097,4.10775843,0.02326597,0.43604141,0.02957402,0.00000000,0.03738553,2.13174784,2.33859173,0.59527178
-5.85592796,4.06414817,0.02268018,0.43159284,0.02923467,0.00000000,0.03706339,2.10957958,2.32049975,0.58710301
-5.84992496,3.99976042,0.02203241,0.42473516,0.02874933,0.00000000,0.03655556,2.07675650,2.28895211,0.57600861
-5.84392196,3.91493657,0.02131659,0.41552855,0.02812028,0.00000000,0.03586402,2.03343979,2.24435151,0.56204162
-5.83791896,3.81053543,0.02053033,0.40408681,0.02735342,0.00000000,0.03499590,1.98005893,2.18737168,0.54533792
-5.83191596,3.68789690,0.01967480,0.39057267,0.02645801,0.00000000,0.03396313,1.91729386,2.11893359,0.52610975
-5.82591296,3.54879063,0.01875434,0.37519148,0.02544637,0.00000000,0.03278195,1.84604918,2.04017447,0.50463681
-5.81990995,3.39535218,0.01777610,0.35818391,0.02433339,0.00000000,0.03147225,1.76742191,1.95241103,0.48125543
-5.81390695,3.23000975,0.01674951,0.33981765,0.02313606,0.00000000,0.03005692,1.68266410,1.85709840,0.45634626
-5.80790395,3.05540472,0.01568573,0.32037872,0.02187289,0.00000000,0.02856098,1.59314211,1.75578669,0.43032121
-5.80190095,2.87430921,0.01459712,0.30016265,0.02056338,0.00000000,0.02701087,1.50029422,1.65007668,0.40360996
-5.79589795,2.68954398,0.01349663,0.27946590,0.01922740,0.00000000,0.02543356,1.40558812,1.54157650,0.37664682
-5.78989495,2.50389973,0.01239726,0.25857773,0.01788467,0.00000000,0.02385582,1.31047999,1.43186074,0.34985817
-5.78389195,2.32006421,0.01131164,0.23777303,0.01655426,0.00000000,0.02230343,1.21637641,1.32243332,0.32365113
