energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Pb_p_up,Pb_p_down,Pb_d_up,Pb_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.45834241,-3.35517386,0.66940370,-0.66295474,1.74357937,-1.69664945,0.10995364,-0.10622130,0.00166994,-0.00155635,0.07581020,-0.07653360,2.27107579,-2.21090128
-5.99399700,3.48943468,-3.41861423,0.66989893,-0.66960172,1.75302373,-1.72219320,0.11163215,-0.10880931,0.00171139,-0.00161572,0.07545558,-0.07675934,2.29053659,-2.25189705
-5.98799400,3.50286032,-3.46682600,0.66728444,-0.67340177,1.75386318,-1.74021902,0.11276118,-0.11095304,0.00174240,-0.00166646,0.07479801,-0.07671363,2.29837770,-2.28280694
-5.98199100,3.49786912,-3.49838603,0.66150841,-0.67418022,1.74579710,-1.75010515,0.11330370,-0.11259090,0.00176233,-0.00170758,0.07382912,-0.07637448,2.29412316,-2.30271498
-5.97598799,3.47410148,-3.51218710,0.65258527,-0.67181994,1.72870666,-1.75137911,0.11323813,-0.11367315,0.00177080,-0.00173826,0.07254796,-0.07572623,2.27754915,-2.31091067
-5.96998499,3.43161024,-3.50748206,0.64059771,-0.66626695,1.70266349,-1.74373654,0.11255959,-0.11416405,0.00176764,-0.00175790,0.07096127,-0.07476032,2.24869749,-2.30691694
-5.96398199,3.37086946,-3.48391719,0.62569682,-0.65753438,1.66793234,-1.72705517,0.11128059,-0.11404356,0.00175296,-0.00176611,0.06908353,-0.07347578,2.20788087,-2.29051127
-5.95797899,3.29276973,-3.44155361,0.60810008,-0.64570445,1.62496785,-1.70140332,0.10943111,-0.11330855,0.00172711,-0.00176274,0.06693677,-0.07187950,2.15567935,-2.26173904
-5.95197599,3.19860012,-3.38087549,0.58808754,-0.63092856,1.57440534,-1.66704245,0.10705814,-0.11197343,0.00169068,-0.00174791,0.06455009,-0.06998624,2.09292837,-2.22091834
-5.94597299,3.09001719,-3.30278465,0.56599599,-0.61342519,1.51704593,-1.62442375,0.10422463,-0.11007016,0.00164451,-0.00172198,0.06195906,-0.06781842,2.02069846,-2.16863623
