energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,14.37365532,0.57957883,0.35431461,0.04101194,0.51713325,2.82261309,8.84535185,0.08371372,5.33921128
-5.99399700,14.46514420,0.59907393,0.35433396,0.04223723,0.52349955,2.84425833,8.89350402,0.08557766,5.37265961
-5.98799400,14.51167944,0.61856056,0.35333212,0.04360915,0.52975055,2.86198932,8.90894750,0.08734394,5.38873990
-5.98199100,14.51351871,0.63790164,0.35141255,0.04513534,0.53582180,2.87572367,8.89170326,0.08901861,5.38770979
-5.97598799,14.47179869,0.65698288,0.34870849,0.04682194,0.54167912,2.88547883,8.84235477,0.09061512,5.37016393
-5.96998499,14.38849378,0.67571274,0.34538007,0.04867336,0.54731698,2.89136567,8.76202570,0.09215392,5.33701772
-5.96398199,14.26635189,0.69402177,0.34161040,0.05069214,0.55275596,2.89357965,8.65234342,0.09366179,5.28948221
-5.95797899,14.10880942,0.71186138,0.33760092,0.05287872,0.55803913,2.89239002,8.51538977,0.09517102,5.22903105
-5.95197599,13.91988809,0.72920193,0.33356600,0.05523128,0.56322771,2.88812723,8.35364077,0.09671831,5.15736035
-5.94597299,13.70407705,0.74603035,0.32972708,0.05774566,0.56839621,2.88116917,8.16989739,0.09834351,5.07634243
-5.93996998,13.46620370,0.76234731,0.32630631,0.06041515,0.57362713,2.87192633,7.96720956,0.10008830,4.98797488
-5.93396698,13.21129702,0.77816387,0.32352013,0.06323043,0.57900552,2.86082641,7.74879594,0.10199460,4.89432617
-5.92796398,12.94444728,0.79349783,0.32157267,0.06617944,0.58461350,2.84829862,7.51796180,0.10410307,4.79747927
-5.92196098,12.67066608,0.80836969,0.32064940,0.06924724,0.59052498,2.83475790,7.27801754,0.10645141,4.69947472
-5.91595798,12.39475044,0.82279834,0.32091098,0.07241603,0.59680060,2.82058951,7.03220026,0.10907276,4.60225477
-5.90995498,12.12115483,0.83679667,0.32248763,0.07566500,0.60348312,2.80613418,6.78360030,0.11199403,4.50761003
-5.90395198,11.85387440,0.85036703,0.32547406,0.07897041,0.61059333,2.79167423,6.53509508,0.11523438,4.41713012
-5.89794897,11.59634287,0.86349684,0.32992514,0.08230559,0.61812656,2.77742096,6.28929167,0.11880376,4.33215978
-5.89194597,11.35134803,0.87615453,0.33585257,0.08564108,0.62604999,2.76350385,6.04847962,0.12270163,4.25376189
-5.88594297,11.12096727,0.88828582,0.34322249,0.08894487,0.63430070,2.74996176,5.81459517,0.12691592,4.18268854
-5.87993997,10.90652559,0.89981084,0.35195426,0.09218266,0.64278476,2.73673693,5.58919757,0.13142228,4.11936127
-5.87393697,10.70857755,0.91062212,0.36192062,0.09531828,0.65137726,2.72367183,5.37345793,0.13618364,4.06386146
-5.86793397,10.52691421,0.92058374,0.37294908,0.09831429,0.65992352,2.71050958,5.16816062,0.14115023,4.01593149
-5.86193097,10.36059554,0.92953182,0.38482482,0.10113257,0.66824147,2.69689812,4.97371690,0.14626000,3.97498686
-5.85592796,10.20800779,0.93727654,0.39729497,0.10373510,0.67612523,2.68239832,4.79019007,0.15143959,3.94013956
-5.84992496,10.06694446,0.94360570,0.41007433,0.10608489,0.68334992,2.66649628,4.61733109,0.15660569,3.91023195
-5.84392196,9.93470870,0.94828997,0.42285239,0.10814688,0.68967764,2.64861944,4.45462317,0.16166705,3.88388058
-5.83791896,9.80823400,0.95108960,0.43530144,0.10988899,0.69486440,2.62815639,4.30133367,0.16652679,3.85952857
-5.83191596,9.68421904,0.95176244,0.44708572,0.11128320,0.69866806,2.60447981,4.15657121,0.17108528,3.83550485
-5.82591296,9.55927185,0.95007315,0.45787116,0.11230653,0.70085664,2.57697158,4.01934574,0.17524318,3.81008827
-5.81990995,9.43005774,0.94580297,0.46733550,0.11294205,0.70121715,2.54504939,3.88862920,0.17890479,3.78157412
-5.81390695,9.29344509,0.93875988,0.47517837,0.11317971,0.69956411,2.50819344,3.76341422,0.18198143,3.74834054
-5.80790395,9.14664261,0.92878841,0.48113091,0.11301706,0.69574779,2.46597223,3.64276853,0.18439475,3.70891196
-5.80190095,8.98732228,0.91577878,0.48496459,0.11245975,0.68966142,2.41806600,3.52588265,0.18607973,3.66201700
-5.79589795,8.81372205,0.89967476,0.48649885,0.11152173,0.68124717,2.36428663,3.41210887,0.18698741,3.60663821
-5.78989495,8.62472362,0.88047978,0.48560708,0.11022522,0.67050052,2.30459291,3.30098988,0.18708695,3.54205139
-5.78389195,8.41990125,0.85826088,0.48222083,0.10860033,0.65747267,2.23910015,3.19227574,0.18636710,3.46785279
-5.77788894,8.19953928,0.83315032,0.47633195,0.10668443,0.64227074,2.16808357,3.08592854,0.18483685,3.38397277
-5.77188594,7.96461713,0.80534451,0.46799248,0.10452110,0.62505586,2.09197494,2.98211458,0.18252534,3.29067550
-5.76588294,7.71676250,0.77510037,0.45731248,0.10215888,0.60603888,2.01135260,2.88118468,0.17948084,3.18854459
-5.75987994,7.45817485,0.74272910,0.44445560,0.09964974,0.58547407,1.92692507,2.78364359,0.17576900,3.07845551
-5.75387694,7.19152302,0.70858774,0.42963290,0.09704736,0.56365090,1.83950896,2.69011031,0.17147037,2.96153621
-5.74787394,6.91982198,0.67306881,0.41309499,0.09440526,0.54088433,1.75000226,2.60127137,0.16667722,2.83911799
-5.74187094,6.64629496,0.63658851,0.39512289,0.09177497,0.51750401,1.65935413,2.51782967,0.16149002,2.71267900
-5.73586793,6.37422795,0.59957412,0.37601820,0.08920410,0.49384290,1.56853266,2.44045164,0.15601353,2.58378333
-5.72986493,6.10682376,0.56245106,0.35609272,0.08673469,0.47022586,1.47849225,2.36971563,0.15035282,2.45401855
-5.72386193,5.84706300,0.52563031,0.33565840,0.08440165,0.44695875,1.39014199,2.30606434,0.14460939,2.32493487
-5.71785893,5.59757880,0.48949673,0.31501757,0.08223158,0.42431843,1.30431664,2.24976395,0.13887757,2.19798856
-5.71185593,5.36055110,0.45439876,0.29445430,0.08024183,0.40254434,1.22175147,2.20087212,0.13324134,2.07449227
-5.70585293,5.13762559,0.42063998,0.27422696,0.07844007,0.38183181,1.14306201,2.15921684,0.12777178,1.95557430
-5.69984992,4.92986046,0.38847276,0.25456221,0.07682424,0.36232745,1.06872955,2.12438702,0.12252516,1.84214829
-5.69384692,4.73770292,0.35809420,0.23565081,0.07538286,0.34412684,0.99909283,2.09573570,0.11754185,1.73489424
-5.68784392,4.56099578,0.32964452,0.21764504,0.07409585,0.32727438,0.93434603,2.07239544,0.11284598,1.63425117
-5.68184092,4.39901254,0.30320762,0.20065790,0.07293569,0.31176544,0.87454287,2.05330536,0.10844586,1.54042101
-5.67583792,4.25051839,0.27881386,0.18476393,0.07186883,0.29755043,0.81960629,2.03724823,0.10433513,1.45338284
-5.66983492,4.11385279,0.25644470,0.17000142,0.07085746,0.28454058,0.76934303,2.02289579,0.10049450,1.37291612
-5.66383192,3.98702881,0.23603870,0.15637583,0.06986137,0.27261508,0.72346200,2.00885987,0.09689396,1.29863097
-5.65782891,3.86784334,0.21749884,0.14386415,0.06883985,0.26162914,0.68159545,1.99374675,0.09349541,1.23000379
-5.65182591,3.75399229,0.20070033,0.13241986,0.06775364,0.25142258,0.64332173,1.97621201,0.09025540,1.16641575
-5.64582291,3.64318479,0.18549884,0.12197823,0.06656673,0.24182842,0.60818849,1.95501314,0.08712795,1.10719228
-5.63981991,3.53325080,0.17173857,0.11246171,0.06524798,0.23268119,0.57573522,1.92905736,0.08406730,1.05164140
-5.63381691,3.42223722,0.15925987,0.10378503,0.06377246,0.22382449,0.54551405,1.89744250,0.08103035,0.99908924
-5.62781391,3.30848856,0.14790609,0.09586001,0.06212252,0.21511749,0.51710824,1.85948918,0.07797883,0.94891114
-5.62181091,3.19070907,0.13752953,0.08859973,0.06028845,0.20644024,0.49014745,1.81476294,0.07488105,0.90055740
-5.61580790,3.06800477,0.12799621,0.08192194,0.05826888,0.19769756,0.46431960,1.76308570,0.07171308,0.85357282
-5.60980490,2.93990454,0.11918950,0.07575186,0.05607070,0.18882142,0.43937902,1.70453642,0.06845956,0.80760981
-5.60380190,2.80636090,0.11101252,0.07002409,0.05370879,0.17977187,0.41515087,1.63944139,0.06511393,0.76243498
-5.59779890,2.66773201,0.10338936,0.06468380,0.05120531,0.17053666,0.39153217,1.56835507,0.06167824,0.71792978
-5.59179590,2.52474717,0.09626533,0.05968725,0.04858883,0.16112955,0.36848955,1.49203291,0.05816250,0.67408568
-5.58579290,2.37845885,0.08960617,0.05500170,0.04589324,0.15158764,0.34605437,1.41139780,0.05458375,0.63099473
-5.57978989,2.23018468,0.08339655,0.05060480,0.04315656,0.14196785,0.32431559,1.32750198,0.05096485,0.58883659
-5.57378689,2.08144297,0.07763800,0.04648364,0.04041958,0.13234296,0.30341108,1.24148652,0.04733308,0.54786304
-5.56778389,1.93388526,0.07234631,0.04263352,0.03772462,0.12279720,0.28351777,1.15454025,0.04371867,0.50838087
-5.56178089,1.78922930,0.06754875,0.03905655,0.03511424,0.11342184,0.26484138,1.06785991,0.04015332,0.47073429
-5.55577789,1.64919538,0.06328111,0.03576027,0.03263004,0.10431095,0.24760598,0.98261322,0.03666881,0.43528768
