energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.90549713,0.03363069,0.19552279,1.17424040,1.06446865,0.05965599,1.27690795,0.16135473,0.20624231
-5.99399700,2.93810901,0.03146929,0.19102694,1.15949015,1.10488884,0.05738557,1.30013966,0.16128907,0.20492737
-5.98799400,2.98605716,0.02935211,0.18897220,1.15313030,1.15096163,0.05536629,1.32827538,0.16147242,0.20511305
-5.98199100,3.04836269,0.02730323,0.18927996,1.15454637,1.20215829,0.05359995,1.36093460,0.16191724,0.20668979
-5.97598799,3.12386568,0.02534552,0.19185506,1.16305839,1.25788028,0.05208655,1.39766080,0.16262594,0.20953426
-5.96998499,3.21124254,0.02350030,0.19658701,1.17793817,1.31746670,0.05082429,1.43792696,0.16359033,0.21351224
-5.96398199,3.30902848,0.02178714,0.20335109,1.19842642,1.38020414,0.04980949,1.48114407,0.16479171,0.21848138
-5.95797899,3.41564513,0.02022375,0.21200957,1.22374954,1.44533897,0.04903667,1.52667246,0.16620130,0.22429402
-5.95197599,3.52943291,0.01882597,0.22241301,1.25313587,1.51209185,0.04849874,1.57383597,0.16778130,0.23080006
-5.94597299,3.64868734,0.01760786,0.23440173,1.28583115,1.57967415,0.04818715,1.62193823,0.16948630,0.23784968
-5.93996998,3.77169827,0.01658184,0.24780751,1.32111288,1.64730570,0.04809226,1.67028080,0.17126509,0.24529605
-5.93396698,3.89679049,0.01575884,0.26245548,1.35830318,1.71423328,0.04820362,1.71818214,0.17306269,0.25299784
-5.92796398,4.02236402,0.01514850,0.27816626,1.39677991,1.77974914,0.04851037,1.76499679,0.17482251,0.26082156
-5.92196098,4.14693249,0.01475936,0.29475811,1.43598550,1.84320879,0.04900157,1.81013385,0.17648860,0.26864357
-5.91595798,4.26915772,0.01459895,0.31204926,1.47543337,1.90404734,0.04966653,1.85307385,0.17800766,0.27635180
-5.90995498,4.38787889,0.01467387,0.32986001,1.51471163,1.96179366,0.05049504,1.89338339,0.17933091,0.28384705
-5.90395198,4.50213509,0.01498972,0.34801485,1.55348392,2.01608178,0.05147757,1.93072676,0.18041568,0.29104387
-5.89794897,4.61118008,0.01555100,0.36634420,1.59148742,2.06665905,0.05260530,1.96487410,0.18122650,0.29787098
-5.89194597,4.71448871,0.01636084,0.38468580,1.62852827,2.11339080,0.05387002,1.99570586,0.18173585,0.30427128
-5.88594297,4.81175488,0.01742069,0.40288581,1.66447461,2.15626119,0.05526400,2.02321329,0.18192443,0.31020138
-5.87993997,4.90288132,0.01872985,0.42079938,1.69924760,2.19537046,0.05677961,2.04749522,0.18178097,0.31563078
-5.87393697,4.98796181,0.02028497,0.43829080,1.73281122,2.23092859,0.05840899,2.06875116,0.18130165,0.32054075
-5.86793397,5.06725716,0.02207954,0.45523337,1.76516113,2.26324573,0.06014351,2.08727137,0.18048923,0.32492290
-5.86193097,5.14116596,0.02410334,0.47150881,1.79631346,2.29271982,0.06197328,2.10342420,0.17935186,0.32877765
-5.85592796,5.21019202,0.02634189,0.48700659,1.82629403,2.31982192,0.06388664,2.11764137,0.17790180,0.33211259
-5.84992496,5.27490981,0.02877606,0.50162302,1.85512860,2.34507968,0.06586966,2.13040187,0.17615396,0.33494079
-5.84392196,5.33592952,0.03138176,0.51526046,1.88283461,2.36905954,0.06790573,2.14221489,0.17412466,0.33727927
-5.83791896,5.39386328,0.03412975,0.52782653,1.90941468,2.39234819,0.06997526,2.15360259,0.17183033,0.33914745
-5.83191596,5.44929361,0.03698569,0.53923357,1.93485203,2.41553370,0.07205556,2.16508291,0.16928652,0.34056586
-5.82591296,5.50274504,0.03991041,0.54939838,1.95910800,2.43918673,0.07412080,2.17715313,0.16650714,0.34155495
-5.81990995,5.55465960,0.04286038,0.55824225,1.98212125,2.46384217,0.07614222,2.19027415,0.16350396,0.34213409
-5.81390695,5.60537646,0.04578843,0.56569126,2.00380862,2.48998157,0.07808851,2.20485603,0.16028643,0.34232071
-5.80790395,5.65511597,0.04864469,0.57167702,2.02406718,2.51801648,0.07992634,2.22124470,0.15686180,0.34212965
-5.80190095,5.70396779,0.05137774,0.57613750,2.04277701,2.54827308,0.08162106,2.23971021,0.15323547,0.34157249
-5.79589795,5.75188308,0.05393589,0.57901818,2.05980449,2.58097835,0.08313754,2.26043637,0.14941155,0.34065720
-5.78989495,5.79867047,0.05626863,0.58027326,2.07500546,2.61624794,0.08444112,2.28351213,0.14539357,0.33938767
-5.78389195,5.84399547,0.05832810,0.57986691,2.08822819,2.65407631,0.08549854,2.30892478,0.14118530,0.33776348
-5.77788894,5.88738326,0.06007053,0.57777445,2.09931572,2.69432927,0.08627898,2.33655516,0.13679155,0.33577975
-5.77188594,5.92822467,0.06145766,0.57398347,2.10810781,2.73673955,0.08675502,2.36617512,0.13221891,0.33342704
-5.76588294,5.96578561,0.06245798,0.56849470,2.11444224,2.78090578,0.08690351,2.39744762,0.12747644,0.33069153
-5.75987994,5.99921980,0.06304782,0.56132272,2.11815583,2.82629519,0.08670637,2.42992971,0.12257611,0.32755529
-5.75387694,6.02758529,0.06321210,0.55249636,2.11908543,2.87225071,0.08615119,2.46307863,0.11753318,0.32399683
-5.74787394,6.04986481,0.06294486,0.54205897,2.11706913,2.91800242,0.08523170,2.49626144,0.11236627,0.31999184
-5.74187094,6.06499008,0.06224947,0.53006834,2.11194806,2.96268370,0.08394802,2.52876805,0.10709730,0.31551426
-5.73586793,6.07187011,0.06113848,0.51659643,2.10356918,3.00535200,0.08230675,2.55982796,0.10175120,0.31053754
-5.72986493,6.06942323,0.05963317,0.50172897,2.09178918,3.04501384,0.08032080,2.58863028,0.09635547,0.30503615
-5.72386193,6.05661229,0.05776277,0.48556474,2.07647967,3.08065364,0.07800909,2.61434679,0.09093964,0.29898728
-5.71785893,6.03248229,0.05556349,0.46821483,2.05753376,3.11126551,0.07539603,2.63615749,0.08553459,0.29237267
-5.71185593,5.99619933,0.05307723,0.44980159,2.03487372,3.13588705,0.07251089,2.65327775,0.08017181,0.28518037
-5.70585293,5.94708944,0.05035025,0.43045755,2.00845961,3.15363396,0.06938702,2.66498637,0.07488275,0.27740658
-5.69984992,5.88467582,0.04743166,0.41032410,1.97829836,3.16373398,0.06606097,2.67065317,0.06969803,0.26905719
-5.69384692,5.80871287,0.04437194,0.38955002,1.94445288,3.16555900,0.06257160,2.66976535,0.06464688,0.26014910
-5.68784392,5.71921508,0.04122145,0.36828981,1.90705054,3.15865362,0.05895913,2.66195106,0.05975657,0.25071114
-5.68184092,5.61647952,0.03802910,0.34670192,1.86629047,3.14275906,0.05526418,2.64699954,0.05505189,0.24078465
-5.67583792,5.50110023,0.03484114,0.32494668,1.82244920,3.11783110,0.05152691,2.62487641,0.05055491,0.23042345
-5.66983492,5.37397373,0.03170010,0.30318425,1.77588399,3.08405119,0.04778613,2.59573363,0.04628467,0.21969339
-5.66383192,5.23629468,0.02864398,0.28157232,1.72703355,3.04182998,0.04407862,2.55991345,0.04225713,0.20867140
-5.65782891,5.08954166,0.02570572,0.26026386,1.67641591,2.99180308,0.04043842,2.51794593,0.03848509,0.19744407
-5.65182591,4.93545318,0.02291280,0.23940479,1.62462332,2.93481887,0.03689636,2.47054026,0.03497838,0.18610586
-5.64582291,4.77599465,0.02028717,0.21913179,1.57231427,2.87191887,0.03347961,2.41856981,0.03174392,0.17475708
