energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.73323137,0.02991682,0.73510200,1.97375475,2.51191675,0.01528552,1.55745168,1.12194329,0.31355037
-5.99399700,4.69849033,0.02882332,0.70188476,1.96273128,2.48099359,0.01526469,1.57597048,1.13693758,0.32014717
-5.98799400,4.67779987,0.02783769,0.67215191,1.95623466,2.45642556,0.01534100,1.59789038,1.15314227,0.32805449
-5.98199100,4.67098382,0.02697008,0.64592164,1.95398419,2.43804842,0.01551801,1.62321662,1.17061602,0.33728456
-5.97598799,4.67758145,0.02623020,0.62312917,1.95559532,2.42554065,0.01579803,1.65190970,1.18942109,0.34783264
-5.96998499,4.69688059,0.02562704,0.60363680,1.96059948,2.41844662,0.01618198,1.68388656,1.20962526,0.35967549
-5.96398199,4.72795874,0.02516867,0.58724580,1.96846677,2.41620366,0.01666933,1.71902407,1.23130398,0.37277061
-5.95797899,4.76973002,0.02486197,0.57370964,1.97863071,2.41817185,0.01725799,1.75716432,1.25454270,0.38705602
-5.95197599,4.82099616,0.02471251,0.56274780,1.99051380,2.42366515,0.01794431,1.79812179,1.27943921,0.40245094
-5.94597299,4.88049887,0.02472434,0.55405973,2.00355270,2.43198258,0.01872308,1.84169162,1.30610543,0.41885701
-5.93996998,4.94697156,0.02489996,0.54733817,2.01722196,2.44243813,0.01958756,1.88765876,1.33466855,0.43616030
-5.93396698,5.01918792,0.02524020,0.54228167,2.03105528,2.45438818,0.02052954,1.93580711,1.36527102,0.45423379
-5.92796398,5.09600521,0.02574430,0.53860549,2.04466322,2.46725534,0.02153948,1.98592805,1.39806911,0.47294027
-5.92196098,5.17640036,0.02640986,0.53605092,2.05774681,2.48054794,0.02260661,2.03782769,1.43322962,0.49213545
-5.91595798,5.25949722,0.02723297,0.53439250,2.07010627,2.49387425,0.02371910,2.09133217,1.47092476,0.51167103
-5.90995498,5.34458369,0.02820830,0.53344319,2.08164470,2.50695111,0.02486429,2.14629029,1.51132478,0.53139767
-5.90395198,5.43111807,0.02932918,0.53305727,2.09236648,2.51960677,0.02602883,2.20257335,1.55458867,0.55116748
-5.89794897,5.51872442,0.03058773,0.53313115,2.10237068,2.53177784,0.02719896,2.26007175,1.60085297,0.57083603
-5.89194597,5.60717734,0.03197494,0.53360217,2.11183975,2.54350082,0.02836075,2.31868848,1.65021907,0.59026368
-5.88594297,5.69637717,0.03348082,0.53444552,2.12102423,2.55489869,0.02950031,2.37832977,1.70273967,0.60931624
-5.87993997,5.78631729,0.03509443,0.53566967,2.13022435,2.56616338,0.03060405,2.43889345,1.75840490,0.62786489
-5.87393697,5.87704537,0.03680394,0.53731049,2.13976941,2.57753520,0.03165892,2.50025577,1.81712912,0.64578553
-5.86793397,5.96862141,0.03859670,0.53942456,2.14999619,2.58928032,0.03265267,2.56225768,1.87873918,0.66295766
-5.86193097,6.06107505,0.04045927,0.54208193,2.16122756,2.60166770,0.03357403,2.62469152,1.94296503,0.67926293
-5.85592796,6.15436513,0.04237743,0.54535878,2.17375242,2.61494660,0.03441292,2.68728956,2.00943366,0.69458372
-5.84992496,6.24834440,0.04433622,0.54933035,2.18780811,2.62932617,0.03516068,2.74971516,2.07766708,0.70880187
-5.84392196,6.34273176,0.04632003,0.55406442,2.20356628,2.64495809,0.03581017,2.81155777,2.14708481,0.72179791
-5.83791896,6.43709427,0.04831258,0.55961583,2.22112295,2.66192343,0.03635593,2.87233252,2.21701144,0.73345087
-5.83191596,6.53084048,0.05029713,0.56602206,2.24049341,2.68022429,0.03679429,2.93148480,2.28668913,0.74363903
