energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,3.40444538,-7.39433083,0.02711865,-0.08985071,0.17562444,-0.26704984,0.69144953,-1.42357320,0.38705532,-0.43451686,0.04140339,-0.11533888,1.70382425,-4.12863614,0.73028909,-1.94224551,0.21105769,-0.44311236
-5.99399700,3.27522407,-7.08425886,0.02442577,-0.08752290,0.16794434,-0.26001457,0.66356378,-1.35121987,0.37133873,-0.42024508,0.03796433,-0.10973865,1.64181796,-3.94953620,0.71755803,-1.87238101,0.20760950,-0.43014265
-5.98799400,3.16183281,-6.77678131,0.02199429,-0.08484254,0.16050984,-0.25244792,0.63945486,-1.28130868,0.35716629,-0.40545157,0.03488023,-0.10413574,1.58867679,-3.77273685,0.70692149,-1.80171383,0.20484823,-0.41752096
-5.98199100,3.06213003,-6.47459042,0.01981100,-0.08184652,0.15329653,-0.24444571,0.61857146,-1.21427745,0.34434553,-0.39031091,0.03213587,-0.09855542,1.54318266,-3.59976511,0.69789526,-1.73122479,0.20267133,-0.40531376
-5.97598799,2.97413913,-6.18006920,0.01786213,-0.07857650,0.14629242,-0.23610662,0.60042019,-1.15045789,0.33269320,-0.37499492,0.02971660,-0.09302126,1.50419700,-3.43195336,0.69003876,-1.66181748,0.20098985,-0.39357064
-5.96998499,2.89609693,-5.89527995,0.01613385,-0.07507783,0.13949903,-0.22753037,0.58458052,-1.09008108,0.32204040,-0.35966978,0.02760928,-0.08755546,1.47068733,-3.27043446,0.68296305,-1.59430304,0.19973085,-0.38232623
-5.96398199,2.82648869,-5.62196085,0.01461276,-0.07139833,0.13293185,-0.21881593,0.57071608,-1.03328565,0.31223654,-0.34449320,0.02580289,-0.08217920,1.44174697,-3.11614198,0.67633621,-1.52938835,0.19883885,-0.37160245
-5.95797899,2.76407061,-5.36152892,0.01328620,-0.06758713,0.12662032,-0.21005973,0.55858211,-0.98012797,0.30315218,-0.32961181,0.02428910,-0.07691290,1.41660814,-2.96981445,0.66988632,-1.46766742,0.19827673,-0.36141084
-5.95197599,2.70788055,-5.11508820,0.01214258,-0.06369348,0.12060724,-0.20135391,0.54802932,-0.93059370,0.29468094,-0.31515864,0.02306253,-0.07177644,1.39464899,-2.83200273,0.66340225,-1.40961599,0.19802580,-0.35175493
-5.94597299,2.65723843,-4.88344158,0.01117150,-0.05976565,0.11494781,-0.19278469,0.53900438,-0.88460996,0.28674037,-0.30125092,0.02212088,-0.06678927,1.37539513,-2.70307967,0.65673277,-1.35558893,0.19808529,-0.34263244
-5.93996998,2.61173760,-4.66710540,0.01036391,-0.05584990,0.10970820,-0.18443091,0.53154726,-0.84205756,0.27927220,-0.28798813,0.02146488,-0.06197047,1.35851647,-2.58325129,0.64978414,-1.30582048,0.19847132,-0.33403722
-5.93396698,2.57122839,-4.46632611,0.00971212,-0.05198961,0.10496398,-0.17636265,0.52578589,-0.80278281,0.27224175,-0.27545040,0.02109797,-0.05733871,1.34381991,-2.47256910,0.64251647,-1.26042678,0.19921525,-0.32596089
-5.92796398,2.53579551,-4.28109855,0.00920980,-0.04822446,0.10079819,-0.16864021,0.52192841,-0.76660852,0.26563697,-0.26369738,0.02102592,-0.05291213,1.33123863,-2.37094308,0.63493922,-1.21941084,0.20036177,-0.31839414
-5.92196098,2.50573016,-4.11118582,0.00885193,-0.04458991,0.09729935,-0.16131327,0.52025354,-0.73334381,0.25946688,-0.25276758,0.02125619,-0.04870820,1.32081863,-2.27815527,0.62710599,-1.18266935,0.20196648,-0.31132770
