energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.00182830,0.30071799,1.45435379,0.00371576,0.04890865,0.00413060,0.38337371,0.43568681,0.12123514
-5.99399700,1.99769729,0.29037718,1.46971665,0.00365853,0.04746073,0.00405384,0.36934282,0.42196771,0.11730370
-5.98799400,1.99232925,0.28094133,1.48228347,0.00359635,0.04615170,0.00398582,0.35640812,0.40923131,0.11358194
-5.98199100,1.98503049,0.27230282,1.49153434,0.00352678,0.04496277,0.00392311,0.34446475,0.39733630,0.11003857
-5.97598799,1.97523639,0.26436600,1.49705273,0.00344792,0.04387667,0.00386256,0.33342612,0.38615756,0.10665119
-5.96998499,1.96252275,0.25704749,1.49853632,0.00335847,0.04287772,0.00380136,0.32322381,0.37558677,0.10340627
-5.96398199,1.94661082,0.25027545,1.49580329,0.00325768,0.04195175,0.00373711,0.31380637,0.36553172,0.10029867
-5.95797899,1.92736609,0.24398827,1.48879385,0.00314536,0.04108602,0.00366784,0.30513702,0.35591475,0.09733075
-5.95197599,1.90479145,0.23813272,1.47756711,0.00302180,0.04026902,0.00359204,0.29719072,0.34667055,0.09451113
-5.94597299,1.87901537,0.23266194,1.46229372,0.00288777,0.03949023,0.00350860,0.28995074,0.33774366,0.09185317
-5.93996998,1.85027584,0.22753334,1.44324443,0.00274442,0.03873998,0.00341688,0.28340515,0.32908587,0.08937332
-5.93396698,1.81890114,0.22270674,1.42077547,0.00259319,0.03800919,0.00331662,0.27754336,0.32065389,0.08708942
-5.92796398,1.78528843,0.21814278,1.39531137,0.00243577,0.03728930,0.00320790,0.27235292,0.31240735,0.08501898
-5.92196098,1.74988117,0.21380181,1.36732598,0.00227402,0.03657217,0.00309113,0.26781688,0.30430736,0.08317761
-5.91595798,1.71314655,0.20964315,1.33732271,0.00210985,0.03585006,0.00296700,0.26391163,0.29631565,0.08157763
-5.90995498,1.67555364,0.20562496,1.30581468,0.00194521,0.03511568,0.00283638,0.26060544,0.28839431,0.08022687
-5.90395198,1.63755330,0.20170448,1.27330572,0.00178198,0.03436229,0.00270032,0.25785763,0.28050607,0.07912779
-5.89794897,1.59956052,0.19783867,1.24027292,0.00162191,0.03358384,0.00255999,0.25561839,0.27261509,0.07827685
-5.89194597,1.56193961,0.19398513,1.20715144,0.00146661,0.03277511,0.00241661,0.25382915,0.26468802,0.07766427
-5.88594297,1.52499281,0.19010325,1.17432189,0.00131750,0.03193188,0.00227146,0.25242338,0.25669530,0.07727397
-5.87993997,1.48895232,0.18615541,1.14210086,0.00117576,0.03105109,0.00212576,0.25132792,0.24861246,0.07708387
-5.87393697,1.45397601,0.18210808,1.11073468,0.00104235,0.03013092,0.00198072,0.25046439,0.24042133,0.07706644
-5.86793397,1.42014642,0.17793291,1.08039639,0.00091799,0.02917092,0.00183749,0.24975085,0.23211103,0.07718941
-5.86193097,1.38747305,0.17360754,1.05118594,0.00080317,0.02817202,0.00169711,0.24910357,0.22367863,0.07741666
-5.85592796,1.35589747,0.16911611,1.02313332,0.00069814,0.02713648,0.00156053,0.24843870,0.21512938,0.07770931
-5.84992496,1.32530084,0.16444956,0.99620423,0.00060298,0.02606784,0.00142860,0.24767387,0.20647658,0.07802673
