energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.33926023,0.00208899,0.47215927,0.04005731,0.84077476,1.31142989,0.73726069
-5.99399700,2.24581517,0.00192551,0.45129816,0.03961445,0.80777942,1.24273096,0.71225694
-5.98799400,2.15847622,0.00177312,0.43082489,0.03938348,0.77727085,1.17614302,0.68964878
-5.98199100,2.07944889,0.00163423,0.41105298,0.03940930,0.75016495,1.11249739,0.67014220
-5.97598799,2.01087312,0.00151099,0.39231062,0.03973459,0.72733869,1.05264216,0.65441705
-5.96998499,1.95475497,0.00140531,0.37492548,0.04039823,0.70960694,0.99740606,0.64310383
-5.96398199,1.91290246,0.00131881,0.35921017,0.04143373,0.69770083,0.94756444,0.63676186
-5.95797899,1.88686747,0.00125288,0.34544884,0.04286780,0.69224820,0.90380848,0.63585937
-5.95197599,1.87789534,0.00120862,0.33388543,0.04471900,0.69375656,0.86671884,0.64075633
-5.94597299,1.88688342,0.00118691,0.32471393,0.04699663,0.70259879,0.83674431,0.65169021
-5.93996998,1.91434940,0.00118837,0.31807097,0.04969987,0.71900188,0.81418619,0.66876535
-5.93396698,1.96041024,0.00121338,0.31403079,0.05281713,0.74303902,0.79918828,0.69194604
-5.92796398,2.02477187,0.00126208,0.31260273,0.05632575,0.77462502,0.79173278,0.72105353
-5.92196098,2.10672976,0.00133437,0.31373108,0.06019204,0.81351510,0.79164146,0.75576716
-5.91595798,2.20518013,0.00142989,0.31729715,0.06437161,0.85930732,0.79858198,0.79562933
-5.90995498,2.31864137,0.00154801,0.32312339,0.06881004,0.91144835,0.81207855,0.84005441
-5.90395198,2.44528491,0.00168785,0.33097922,0.07344397,0.96924263,0.83152640,0.88834118
-5.89794897,2.58297471,0.00184823,0.34058825,0.07820238,1.03186479,0.85620916,0.93968850
-5.89194597,2.72931426,0.00202767,0.35163663,0.08300824,1.09837505,0.88531856,0.99321377
-5.88594297,2.88169987,0.00222440,0.36378213,0.08778032,1.16773742,0.91797547,1.04797366
-5.87993997,3.03737881,0.00243635,0.37666358,0.09243523,1.23884035,0.95325183,1.10298648
-5.87393697,3.19351093,0.00266116,0.38991040,0.09688957,1.31051933,0.99019248,1.15725554
-5.86793397,3.34723208,0.00289618,0.40315201,0.10106207,1.38158111,1.02783650,1.20979295
-5.86193097,3.49571778,0.00313851,0.41602664,0.10487575,1.45082900,1.06523750,1.25964295
-5.85592796,3.63624559,0.00338506,0.42818956,0.10825995,1.51708850,1.10148235,1.30590435
-5.84992496,3.76625450,0.00363253,0.43932041,0.11115217,1.57923287,1.13570813,1.34775126
-5.84392196,3.88340007,0.00387755,0.44912956,0.11349972,1.63620787,1.16711698,1.38445167
-5.83791896,3.98560374,0.00411671,0.45736335,0.11526101,1.68705506,1.19498870,1.41538328
-5.83191596,4.07109536,0.00434663,0.46380823,0.11640652,1.73093294,1.21869113,1.44004626
-5.82591296,4.13844770,0.00456403,0.46829374,0.11691946,1.76713552,1.23768815,1.45807266
-5.81990995,4.18660238,0.00476586,0.47069432,0.11679591,1.79510757,1.25154546,1.46923218
-5.81390695,4.21488647,0.00494935,0.47093004,0.11604471,1.81445618,1.25993424,1.47343426
-5.80790395,4.22301947,0.00511208,0.46896629,0.11468695,1.82495823,1.26263265,1.47072667
-5.80190095,4.21111064,0.00525207,0.46481250,0.11275501,1.82656348,1.25952553,1.46129040
-5.79589795,4.17964682,0.00536782,0.45851992,0.11029148,1.81939316,1.25060217,1.44543147
-5.78989495,4.12947095,0.00545836,0.45017868,0.10734764,1.80373399,1.23595244,1.42356956
-5.78389195,4.06175229,0.00552328,0.43991410,0.10398192,1.78002782,1.21576140,1.39622419
-5.77788894,3.97794877,0.00556273,0.42788242,0.10025808,1.74885713,1.19030238,1.36399865
-5.77188594,3.87976297,0.00557740,0.41426605,0.09624339,1.71092680,1.15992871,1.32756222
-5.76588294,3.76909267,0.00556851,0.39926844,0.09200681,1.66704276,1.12506431,1.28763133
-5.75987994,3.64797772,0.00553774,0.38310865,0.08761717,1.61808817,1.08619310,1.24495003
-5.75387694,3.51854471,0.00548716,0.36601588,0.08314150,1.56499794,1.04384763,1.20027054
-5.74787394,3.38295116,0.00541916,0.34822388,0.07864349,1.50873253,0.99859689,1.15433435
-5.74187094,3.24333123,0.00533638,0.32996559,0.07418213,1.45025183,0.95103377,1.10785452
-5.73586793,3.10174450,0.00524159,0.31146795,0.06981063,1.39049025,0.90176234,1.06149975
-5.72986493,2.96012975,0.00513759,0.29294720,0.06557553,1.33033380,0.85138524,1.01588069
