energy_ev,total_up,Ag_p_up,Ag_d_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.60211850,0.74620040,1.69071624,0.99033963,0.22317130,0.00766822,0.05367661,0.65580927,0.00000000
-5.99399700,2.59435272,0.75852999,1.67957659,0.99453180,0.22479848,0.00756176,0.05472831,0.65430705,0.00000000
-5.98799400,2.58629355,0.76982978,1.66890239,0.99804771,0.22616322,0.00745942,0.05568695,0.65263296,0.00000000
-5.98199100,2.57790440,0.77979588,1.65893946,1.00054534,0.22717646,0.00736211,0.05653866,0.65062974,0.00000000
-5.97598799,2.56909928,0.78812288,1.64989001,1.00166625,0.22775371,0.00727005,0.05727021,0.64812532,0.00000000
-5.96998499,2.55975026,0.79451397,1.64191004,1.00104894,0.22781734,0.00718273,0.05786955,0.64493971,0.00000000
-5.96398199,2.54969627,0.79869114,1.63510770,0.99834289,0.22729883,0.00709907,0.05832629,0.64089242,0.00000000
-5.95797899,2.53875259,0.80040520,1.62954246,0.99322265,0.22614068,0.00701743,0.05863215,0.63581002,0.00000000
-5.95197599,2.52672024,0.79944504,1.62522494,0.98540120,0.22429815,0.00693579,0.05878136,0.62953354,0.00000000
-5.94597299,2.51339474,0.79564569,1.62211723,0.97464199,0.22174052,0.00685184,0.05877095,0.62192515,0.00000000
-5.93996998,2.49857380,0.78889480,1.62013374,0.96076913,0.21845192,0.00676314,0.05860085,0.61287403,0.00000000
-5.93396698,2.48206356,0.77913724,1.61914245,0.94367513,0.21443171,0.00666726,0.05827395,0.60230106,0.00000000
-5.92796398,2.46368324,0.76637762,1.61896671,0.92332603,0.20969434,0.00656189,0.05779597,0.59016213,0.00000000
-5.92196098,2.44326813,0.75068071,1.61938758,0.89976351,0.20426873,0.00644497,0.05717520,0.57645002,0.00000000
-5.91595798,2.42067129,0.73216959,1.62014693,0.87310425,0.19819722,0.00631480,0.05642211,0.56119480,0.00000000
-5.90995498,2.39576390,0.71102190,1.62095143,0.84353623,0.19153416,0.00617007,0.05554891,0.54446274,0.00000000
-5.90395198,2.36843500,0.68746422,1.62147759,0.81131265,0.18434411,0.00600997,0.05456896,0.52635401,0.00000000
-5.89794897,2.33859085,0.66176491,1.62137806,0.77674350,0.17669988,0.00583419,0.05349621,0.50699905,0.00000000
-5.89194597,2.30615451,0.63422593,1.62028920,0.74018528,0.16868039,0.00564291,0.05234460,0.48655421,0.00000000
-5.88594297,2.27106598,0.60517373,1.61784016,0.70202960,0.16036846,0.00543680,0.05112749,0.46519655,0.00000000
-5.87993997,2.23328338,0.57494997,1.61366316,0.66269091,0.15184863,0.00521698,0.04985718,0.44311831,0.00000000
-5.87393697,2.19278542,0.54390216,1.60740512,0.62259412,0.14320511,0.00498494,0.04854447,0.42052122,0.00000000
-5.86793397,2.14957514,0.51237481,1.59874022,0.58216253,0.13451985,0.00474252,0.04719838,0.39761092,0.00000000
-5.86193097,2.10368512,0.48070136,1.58738300,0.54180660,0.12587089,0.00449180,0.04582599,0.37459165,0.00000000
-5.85592796,2.05518370,0.44919705,1.57310161,0.50191397,0.11733091,0.00423503,0.04443238,0.35166156,0.00000000
-5.84992496,2.00418196,0.41815307,1.55573061,0.46284096,0.10896612,0.00397456,0.04302072,0.32900855,0.00000000
-5.84392196,1.95084091,0.38783205,1.53518260,0.42490590,0.10083545,0.00371275,0.04159251,0.30680698,0.00000000
-5.83791896,1.89537820,0.35846482,1.51145807,0.38838427,0.09298999,0.00345193,0.04014787,0.28521503,0.00000000
-5.83191596,1.83807372,0.33024868,1.48465276,0.35350573,0.08547279,0.00319432,0.03868592,0.26437299,0.00000000
-5.82591296,1.77927327,0.30334668,1.45496193,0.32045300,0.07831881,0.00294196,0.03720525,0.24440215,0.00000000
-5.81990995,1.71938977,0.27788821,1.42268096,0.28936230,0.07155517,0.00269674,0.03570435,0.22540447,0.00000000
-5.81390695,1.65890125,0.25397039,1.38820197,0.26032535,0.06520156,0.00246027,0.03418204,0.20746268,0.00000000
-5.80790395,1.59834545,0.23166013,1.35200610,0.23339241,0.05927074,0.00223396,0.03263791,0.19064097,0.00000000
-5.80190095,1.53831062,0.21099681,1.31465167,0.20857632,0.05376922,0.00201895,0.03107264,0.17498587,0.00000000
-5.79589795,1.47942257,0.19199517,1.27675822,0.18585709,0.04869787,0.00181615,0.02948821,0.16052743,0.00000000
-5.78989495,1.42232841,0.17464835,1.23898701,0.16518688,0.04405271,0.00162620,0.02788813,0.14728045,0.00000000
