energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.23873435,0.08323283,0.00427700,0.29841054,0.11378462,0.07435422,0.77080045,0.43825387,0.03703646
-5.99399700,1.21018136,0.08445992,0.00381532,0.29824270,0.11059338,0.07236682,0.75240386,0.44304505,0.03332696
-5.98799400,1.18967484,0.08578540,0.00340610,0.29943374,0.10807620,0.07089905,0.73923644,0.44912142,0.03010573
-5.98199100,1.17580928,0.08714252,0.00304563,0.30174304,0.10611238,0.06986394,0.73040511,0.45601904,0.02732727
-5.97598799,1.16715345,0.08846239,0.00273000,0.30489998,0.10458140,0.06917291,0.72499903,0.46326878,0.02494554
-5.96998499,1.16227815,0.08967596,0.00245516,0.30861087,0.10336498,0.06873760,0.72210711,0.47040694,0.02291470
-5.96398199,1.15978466,0.09071606,0.00221702,0.31256737,0.10234930,0.06847157,0.72083597,0.47698598,0.02118979
-5.95797899,1.15833305,0.09151938,0.00201148,0.31645571,0.10142714,0.06829208,0.72032790,0.48258501,0.01972736
-5.95197599,1.15666958,0.09202835,0.00183454,0.31996655,0.10049983,0.06812171,0.71977830,0.48681983,0.01848602
-5.94597299,1.15365230,0.09219284,0.00168234,0.32280482,0.09947916,0.06788986,0.71845210,0.48935202,0.01742699
-5.93996998,1.14827391,0.09197159,0.00155123,0.32469922,0.09828894,0.06753417,0.71569851,0.48989692,0.01651451
-5.93396698,1.13968111,0.09133343,0.00143780,0.32541087,0.09686632,0.06700156,0.71096348,0.48823006,0.01571618
-5.92796398,1.12718952,0.09025805,0.00133896,0.32474078,0.09516278,0.06624916,0.70379964,0.48419179,0.01500325
-5.92196098,1.11029387,0.08873648,0.00125193,0.32253572,0.09314468,0.06524486,0.69387294,0.47769003,0.01435079
-5.91595798,1.08867271,0.08677116,0.00117428,0.31869238,0.09079350,0.06396753,0.68096612,0.46870089,0.01373777
-5.90995498,1.06218781,0.08437565,0.00110396,0.31315959,0.08810570,0.06240701,0.66497855,0.45726724,0.01314705
-5.90395198,1.03087810,0.08157394,0.00103925,0.30593848,0.08509214,0.06056365,0.64592276,0.44349518,0.01256528
