energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,3.27571076,0.84836017,1.19385737,0.00793701,0.36751863,0.77418536,0.70221842,1.37653466,0.00000000
-5.99399700,3.15757399,0.80585513,1.15713222,0.00831216,0.34402807,0.74677247,0.67951498,1.33544608,0.00000000
-5.98799400,3.04155064,0.76308258,1.12169078,0.00867054,0.32049402,0.71930750,0.65779936,1.29419106,0.00000000
-5.98199100,2.92917534,0.72054317,1.08805209,0.00900664,0.29720416,0.69211771,0.63734419,1.25336396,0.00000000
-5.97598799,2.82178084,0.67870300,1.05665298,0.00931504,0.27441871,0.66550030,0.61837528,1.21349273,0.00000000
-5.96998499,2.72047656,0.63798559,1.02784243,0.00959054,0.25236621,0.63971754,0.60106722,1.17502827,0.00000000
-5.96398199,2.62613611,0.59876569,1.00187951,0.00982835,0.23124054,0.61499355,0.58554070,1.13833733,0.00000000
-5.95797899,2.53939396,0.56136500,0.97893466,0.01002422,0.21119949,0.59151239,0.57186178,1.10369903,0.00000000
-5.95197599,2.46065074,0.52604967,0.95909425,0.01017456,0.19236452,0.56941780,0.56004315,1.07130492,0.00000000
-5.94597299,2.39008665,0.49302980,0.94236789,0.01027659,0.17482180,0.54881416,0.55004708,1.04126254,0.00000000
-5.93996998,2.32768170,0.46246046,0.92869807,0.01032841,0.15862417,0.52976879,0.54179025,1.01360202,0.00000000
-5.93396698,2.27324164,0.43444426,0.91797162,0.01032907,0.14379400,0.51231517,0.53514989,0.98828522,0.00000000
-5.92796398,2.22642809,0.40903514,0.91003222,0.01027856,0.13032671,0.49645699,0.52997124,0.96521693,0.00000000
-5.92196098,2.18679112,0.38624296,0.90469351,0.01017786,0.11819456,0.48217265,0.52607575,0.94425736,0.00000000
-5.91595798,2.15380278,0.36603878,0.90175196,0.01002886,0.10735080,0.46942012,0.52326979,0.92523532,0.00000000
-5.90995498,2.12688998,0.34836042,0.90099908,0.00983431,0.09773374,0.45814167,0.52135343,0.90796140,0.00000000
-5.90395198,2.10546510,0.33311801,0.90223224,0.00959770,0.08927066,0.44826844,0.52012896,0.89224042,0.00000000
-5.89794897,2.08895314,0.32019938,0.90526374,0.00932318,0.08188150,0.43972457,0.51940862,0.87788278,0.00000000
-5.89194597,2.07681435,0.30947496,0.90992765,0.00901541,0.07548212,0.43243074,0.51902146,0.86471398,0.00000000
-5.88594297,2.06856135,0.30080226,0.91608427,0.00867941,0.06998706,0.42630695,0.51881880,0.85258221,0.00000000
-5.87993997,2.06377053,0.29402956,0.92362188,0.00832045,0.06531185,0.42127457,0.51867831,0.84136357,0.00000000
-5.87393697,2.06208720,0.28899908,0.93245596,0.00794386,0.06137476,0.41725759,0.51850640,0.83096495,0.00000000
