energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.56400923,0.03515638,0.22102208,1.19400036,0.60052127,0.01455082,1.38129451,0.71448379,0.20450546
-5.99399700,2.71479271,0.03544063,0.22998224,1.25687268,0.64433572,0.01483536,1.46651951,0.75882139,0.21945773
-5.98799400,2.86730082,0.03565059,0.23903276,1.31877764,0.68945407,0.01517759,1.55237932,0.80318448,0.23440387
-5.98199100,3.01948353,0.03578387,0.24808385,1.37903973,0.73526837,0.01556752,1.63769561,0.84704244,0.24911253
-5.97598799,3.16915832,0.03583730,0.25704259,1.43697993,0.78112086,0.01599384,1.72121767,0.88982735,0.26334287
-5.96998499,3.31405418,0.03580703,0.26581454,1.49192974,0.82631621,0.01644412,1.80164840,0.93094553,0.27685040
-5.96398199,3.45186234,0.03568873,0.27430577,1.54324590,0.87013605,0.01690508,1.87767404,0.96979119,0.28939339
-5.95797899,3.58029242,0.03547780,0.28242513,1.59032541,0.91185531,0.01736287,1.94799670,1.00576148,0.30073943
-5.95197599,3.69713196,0.03516967,0.29008663,1.63262016,0.95075997,0.01780337,2.01136847,1.03827272,0.31067213
-5.94597299,3.80030710,0.03476017,0.29721195,1.66965059,0.98616567,0.01821257,2.06662581,1.06677689,0.31899748
-5.93996998,3.88794190,0.03424585,0.30373285,1.70101770,1.01743637,0.01857689,2.11272283,1.09077780,0.32554977
-5.93396698,3.95841380,0.03362437,0.30959349,1.72641286,1.04400233,0.01888354,2.14876204,1.10984623,0.33019662
-5.92796398,4.01040265,0.03289477,0.31475230,1.74562488,1.06537679,0.01912092,2.17402114,1.12363330,0.33284309
-5.92196098,4.04293102,0.03205776,0.31918355,1.75854391,1.08117043,0.01927886,2.18797466,1.13188148,0.33343457
-5.91595798,4.05539404,0.03111594,0.32287826,1.76516207,1.09110307,0.01934899,2.19030953,1.13443278,0.33195828
-5.90995498,4.04757704,0.03007384,0.32584450,1.76557058,1.09501198,0.01932494,2.18093373,1.13123358,0.32844344
-5.90395198,4.01966037,0.02893803,0.32810698,1.75995364,1.09285653,0.01920252,2.15997780,1.12233609,0.32296004
-5.89794897,3.97221094,0.02771699,0.32970592,1.74857925,1.08471867,0.01897984,2.12778904,1.10789629,0.31561621
-5.89194597,3.90616103,0.02642100,0.33069513,1.73178747,1.07079954,0.01865734,2.08491877,1.08816841,0.30655447
-5.88594297,3.82277520,0.02506185,0.33113953,1.70997673,1.05141203,0.01823776,2.03210331,1.06349635,0.29594688
-5.87993997,3.72360702,0.02365260,0.33111206,1.68358880,1.02696981,0.01772600,1.97023957,1.03430247,0.28398946
