energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,2.91550358,0.01151317,0.29696482,0.15981397,1.88220798,0.96324084,0.03062617,0.97981996
-5.99399700,2.80858673,0.01047422,0.28760589,0.15293300,1.80748749,0.93123369,0.02978090,0.94288053
-5.98799400,2.69267158,0.00948090,0.27667271,0.14638127,1.72465252,0.89605712,0.02887371,0.90369409
-5.98199100,2.56961148,0.00854036,0.26438218,0.14025667,1.63507139,0.85830800,0.02791982,0.86284934
-5.97598799,2.44133970,0.00765816,0.25097064,0.13464459,1.54019308,0.81861676,0.02693528,0.82094747
-5.96998499,2.30981046,0.00683821,0.23668623,0.12961511,1.44150493,0.77762725,0.02593627,0.77858439
-5.96398199,2.17694121,0.00608294,0.22178120,0.12522070,1.34049100,0.73597671,0.02493855,0.73633356
-5.95797899,2.04455877,0.00539337,0.20650448,0.12149458,1.23859267,0.69427692,0.02395687,0.69473028
-5.95197599,1.91435111,0.00476924,0.19109488,0.11844966,1.13717282,0.65309710,0.02300445,0.65425793
-5.94597299,1.78782689,0.00420922,0.17577507,0.11607830,1.03748511,0.61294938,0.02209257,0.61533672
-5.93996998,1.66628384,0.00371105,0.16074660,0.11435269,0.94064897,0.57427725,0.02123026,0.57831533
-5.93396698,1.55078710,0.00327170,0.14618604,0.11322608,0.84763107,0.53744746,0.02042405,0.54346571
-5.92796398,1.44215779,0.00288760,0.13224238,0.11263461,0.75923344,0.50274541,0.01967794,0.51098114
-5.92196098,1.34097165,0.00255475,0.11903559,0.11249979,0.67608818,0.47037417,0.01899337,0.48097742
-5.91595798,1.24756727,0.00226889,0.10665634,0.11273151,0.59865831,0.44045681,0.01836945,0.45349707
-5.90995498,1.16206284,0.00202569,0.09516680,0.11323151,0.52724418,0.41304188,0.01780314,0.42851621
-5.90395198,1.08437992,0.00182081,0.08460234,0.11389701,0.46199458,0.38811130,0.01728963,0.40595350
-5.89794897,1.01427289,0.00165003,0.07497395,0.11462464,0.40292159,0.36559041,0.01682272,0.38568082
-5.89194597,0.95136187,0.00150935,0.06627124,0.11531416,0.34991809,0.34535930,0.01639529,0.36753491
-5.88594297,0.89516769,0.00139507,0.05846576,0.11587218,0.30277702,0.32726481,0.01599977,0.35132944
-5.87993997,0.84514671,0.00130379,0.05151455,0.11621536,0.26121122,0.31113269,0.01562857,0.33686686
-5.87393697,0.80072408,0.00123249,0.04536367,0.11627330,0.22487320,0.29677904,0.01527453,0.32394946
-5.86793397,0.76132383,0.00117855,0.03995160,0.11599073,0.19337381,0.28402073,0.01493129,0.31238913
-5.86193097,0.72639463,0.00113972,0.03521236,0.11532909,0.16629939,0.27268429,0.01459358,0.30201547
-5.85592796,0.69543038,0.00111410,0.03107837,0.11426735,0.14322697,0.26261285,0.01425743,0.29268181
-5.84992496,0.66798508,0.00110018,0.02748281,0.11280212,0.12373702,0.25367106,0.01392035,0.28426921
-5.84392196,0.64368181,0.00109672,0.02436158,0.11094697,0.10742390,0.24574790,0.01358127,0.27668814
-5.83791896,0.62221605,0.00110277,0.02165489,0.10873114,0.09390375,0.23875734,0.01324057,0.26987808
-5.83191596,0.60335370,0.00111759,0.01930829,0.10619767,0.08282023,0.23263717,0.01289986,0.26380527
-5.82591296,0.58692474,0.00114062,0.01727347,0.10340101,0.07384797,0.22734618,0.01256181,0.25845881
-5.81990995,0.57281321,0.00117141,0.01550861,0.10040436,0.06669432,0.22286006,0.01222988,0.25384550
-5.81390695,0.56094491,0.00120959,0.01397851,0.09727683,0.06109958,0.21916650,0.01190795,0.24998403
-5.80790395,0.55127369,0.00125479,0.01265450,0.09409058,0.05683602,0.21625974,0.01160009,0.24689871
-5.80190095,0.54376765,0.00130666,0.01151411,0.09091810,0.05370608,0.21413523,0.01131016,0.24461349
-5.79589795,0.53839628,0.00136480,0.01054082,0.08782980,0.05154007,0.21278469,0.01104155,0.24314649
-5.78989495,0.53511951,0.00142877,0.00972354,0.08489205,0.05019359,0.21219185,0.01079694,0.24250555
-5.78389195,0.53387947,0.00149807,0.00905625,0.08216561,0.04954497,0.21232941,0.01057804,0.24268508
-5.77788894,0.53459541,0.00157217,0.00853757,0.07970482,0.04949290,0.21315713,0.01038551,0.24366440
-5.77188594,0.53716221,0.00165052,0.00817042,0.07755721,0.04995431,0.21462139,0.01021890,0.24540770
-5.76588294,0.54145250,0.00173261,0.00796167,0.07576383,0.05086277,0.21665618,0.01007659,0.24786570
-5.75987994,0.54732217,0.00181798,0.00792195,0.07436010,0.05216720,0.21918535,0.00995595,0.25097868
-5.75387694,0.55461879,0.00190633,0.00806536,0.07337709,0.05383108,0.22212605,0.00985343,0.25468099
