energy_ev,total_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.16526749,0.43841496,0.00293185,0.69186170,0.03108722,1.20318823,1.87761988,0.42026330
-5.99399700,3.17528577,0.44060569,0.00305771,0.69372759,0.03077935,1.20823326,1.87525711,0.42600305
-5.98799400,3.18136453,0.44155157,0.00319951,0.69514947,0.03041538,1.21127433,1.86817530,0.43217180
-5.98199100,3.18348967,0.44122246,0.00335598,0.69626293,0.02998288,1.21214546,1.85651926,0.43888223
-5.97598799,3.18173877,0.43961061,0.00352558,0.69721574,0.02947213,1.21072244,1.84049762,0.44624587
-5.96998499,3.17625631,0.43672893,0.00370650,0.69815741,0.02887626,1.20691944,1.82036957,0.45436374
-5.96398199,3.16722559,0.43260856,0.00389663,0.69922824,0.02819139,1.20068423,1.79643011,0.46331687
-5.95797899,3.15483957,0.42729606,0.00409356,0.70054834,0.02741661,1.19199269,1.76899494,0.47315702
-5.95197599,3.13927246,0.42085027,0.00429457,0.70220745,0.02655383,1.18084319,1.73838578,0.48389822
-5.94597299,3.12065419,0.41333927,0.00449664,0.70425591,0.02560762,1.16725117,1.70491691,0.49550968
-5.93996998,3.09904942,0.40483741,0.00469650,0.70669758,0.02458493,1.15124462,1.66888376,0.50791051
-5.93396698,3.07444258,0.39542284,0.00489064,0.70948495,0.02349472,1.13286073,1.63055419,0.52096671
-5.92796398,3.04673005,0.38517537,0.00507543,0.71251689,0.02234763,1.11214385,1.59016261,0.53449056
-5.92196098,3.01571986,0.37417508,0.00524716,0.71563927,0.02115557,1.08914512,1.54790741,0.54824290
-5.91595798,2.98113932,0.36250139,0.00540214,0.71864840,0.01993133,1.06392349,1.50395150,0.56193790
-5.90995498,2.94264979,0.35023286,0.00553682,0.72129730,0.01868815,1.03654807,1.45842581,0.57525063
-5.90395198,2.89986799,0.33744746,0.00564785,0.72330446,0.01743940,1.00710163,1.41143530,0.58782687
-5.89794897,2.85239245,0.32422331,0.00573228,0.72436480,0.01619821,0.97568465,1.36306692,0.59929491
-5.89194597,2.79983347,0.31063973,0.00578757,0.72416218,0.01497722,0.94241976,1.31339895,0.60927884
-5.88594297,2.74184479,0.29677842,0.00581172,0.72238303,0.01378826,0.90745584,1.26251085,0.61741265
-5.87993997,2.67815510,0.28272463,0.00580337,0.71873031,0.01264228,0.87097162,1.21049302,0.62335460
-5.87393697,2.60859739,0.26856822,0.00576183,0.71293714,0.01154908,0.83317813,1.15745582,0.62680109
-5.86793397,2.53313450,0.25440437,0.00568713,0.70477955,0.01051733,0.79431985,1.10353707,0.62749944
-5.86193097,2.45187924,0.24033386,0.00558001,0.69408755,0.00955449,0.75467426,1.04890783,0.62525895
-5.85592796,2.36510809,0.22646296,0.00544194,0.68075419,0.00866678,0.71454965,0.99377589,0.61995969
-5.84992496,2.27326742,0.21290263,0.00527505,0.66474206,0.00785925,0.67428125,0.93838696,0.61155864
-5.84392196,2.17697214,0.19976730,0.00508206,0.64608713,0.00713584,0.63422564,0.88302350,0.60009299
-5.83791896,2.07699675,0.18717304,0.00486625,0.62489957,0.00649940,0.59475389,0.82800134,0.58568029
-5.83191596,1.97425923,0.17523537,0.00463127,0.60136191,0.00595179,0.55624338,0.77366435,0.56851570
-5.82591296,1.86979875,0.16406660,0.00438111,0.57572442,0.00549398,0.51906896,0.72037760,0.54886637
-5.81990995,1.76474830,0.15377295,0.00411992,0.54829822,0.00512607,0.48359363,0.66851939,0.52706338
-5.81390695,1.66030368,0.14445155,0.00385191,0.51944654,0.00484736,0.45015918,0.61847269,0.50349166
-5.80790395,1.55769033,0.13618739,0.00358124,0.48957445,0.00465639,0.41907727,0.57061649,0.47857829
-5.80190095,1.45812970,0.12905043,0.00331187,0.45911785,0.00455095,0.39062114,0.52531752,0.45278000
-5.79589795,1.36280654,0.12309293,0.00304750,0.42853211,0.00452813,0.36501841,0.48292269,0.42657021
-5.78989495,1.27283859,0.11834714,0.00279145,0.39828086,0.00458425,0.34244526,0.44375272,0.40042640
-5.78389195,1.18924994,0.11482349,0.00254664,0.36882558,0.00471489,0.32302198,0.40809705,0.37481812
-5.77788894,1.11294890,0.11250934,0.00231549,0.34061614,0.00491487,0.30681029,0.37621027,0.35019632
-5.77188594,1.04471113,0.11136829,0.00209991,0.31408279,0.00517824,0.29381229,0.34831001,0.32698420
-5.76588294,0.98516840,0.11134031,0.00190130,0.28962957,0.00549826,0.28397124,0.32457630,0.30556978
-5.75987994,0.93480300,0.11234245,0.00172058,0.26762941,0.00586746,0.27717393,0.30515217,0.28630057
-5.75387694,0.89394763,0.11427036,0.00155814,0.24842070,0.00627765,0.27325466,0.29014537,0.26947996
-5.74787394,0.86279033,0.11700051,0.00141397,0.23230529,0.00672002,0.27200069,0.27963070,0.25536559
-5.74187094,0.84138371,0.12039308,0.00128763,0.21954762,0.00718521,0.27315889,0.27365301,0.24416925
-5.73586793,0.82965773,0.12429544,0.00117838,0.21037487,0.00766351,0.27644349,0.27223014,0.23605827
-5.72986493,0.82743498,0.12854626,0.00108517,0.20497757,0.00814497,0.28154457,0.27535581,0.23115782
-5.72386193,0.83444766,0.13297990,0.00100676,0.20351065,0.00861965,0.28813708,0.28300207,0.22955404
-5.71785893,0.85035518,0.13743124,0.00094177,0.20609448,0.00907784,0.29589022,0.29512110,0.23129754
-5.71185593,0.87476150,0.14174052,0.00088871,0.21281568,0.00951031,0.30447669,0.31164624,0.23640692
-5.70585293,0.90723141,0.14575833,0.00084609,0.22372759,0.00990856,0.31358175,0.33249216,0.24487218
-5.69984992,0.94730523,0.14935023,0.00081244,0.23885027,0.01026512,0.32291165,0.35755430,0.25665763
-5.69384692,0.99451128,0.15240120,0.00078637,0.25816999,0.01057373,0.33220143,0.38670743,0.27170430
-5.68784392,1.04837594,0.15481942,0.00076660,0.28163827,0.01082964,0.34122154,0.41980383,0.28993173
-5.68184092,1.10843113,0.15653953,0.00075201,0.30917062,0.01102975,0.34978345,0.45667105,0.31123902
-5.67583792,1.17421938,0.15752497,0.00074162,0.34064512,0.01117279,0.35774387,0.49710965,0.33550546
-5.66983492,1.24529649,0.15776947,0.00073467,0.37590109,0.01125941,0.36500760,0.54089125,0.36259055
-5.66383192,1.32123236,0.15729761,0.00073059,0.41473809,0.01129224,0.37152893,0.58775712,0.39233379
-5.65782891,1.40161020,0.15616430,0.00072901,0.45691542,0.01127587,0.37731159,0.63741768,0.42455433
-5.65182591,1.48602467,0.15445327,0.00072976,0.50215255,0.01121677,0.38240727,0.68955307,0.45905067
-5.64582291,1.57407944,0.15227465,0.00073286,0.55013032,0.01112314,0.38691286,0.74381503,0.49560063
-5.63981991,1.66538444,0.14976154,0.00073850,0.60049342,0.01100477,0.39096639,0.79983012,0.53396172
-5.63381691,1.75955329,0.14706594,0.00074706,0.65285388,0.01087275,0.39474196,0.85720439,0.57387204
-5.62781391,1.85620114,0.14435388,0.00075904,0.70679570,0.01073921,0.39844368,0.91552923,0.61505181
-5.62181091,1.95494294,0.14180014,0.00077507,0.76188060,0.01061699,0.40229890,0.97438833,0.65720550
-5.61580790,2.05539229,0.13958261,0.00079587,0.81765449,0.01051929,0.40655078,1.03336536,0.70002466
-5.60980490,2.15716080,0.13787655,0.00082222,0.87365463,0.01045934,0.41145055,1.09205204,0.74319121
-5.60380190,2.25985771,0.13684883,0.00085497,0.92941713,0.01044998,0.41724945,1.15005621,0.78638121
-5.59779890,2.36308962,0.13665239,0.00089494,0.98448439,0.01050335,0.42419077,1.20700939,0.82926893
-5.59179590,2.46646018,0.13742123,0.00094296,1.03841237,0.01063051,0.43250193,1.26257343,0.87153096
-5.58579290,2.56956941,0.13926575,0.00099982,1.09077713,0.01084113,0.44238701,1.31644585,0.91285037
-5.57978989,2.67201260,0.14226901,0.00106621,1.14118060,0.01114319,0.45401987,1.36836361,0.95292058
-5.57378689,2.77337877,0.14648365,0.00114276,1.18925521,0.01154274,0.46753794,1.41810501,0.99144888
-5.56778389,2.87324865,0.15192989,0.00122995,1.23466728,0.01204370,0.48303711,1.46548971,1.02815949
-5.56178089,2.97119240,0.15859446,0.00132814,1.27711920,0.01264773,0.50056771,1.51037683,1.06279602
-5.55577789,3.06676732,0.16643059,0.00143753,1.31635023,0.01335409,0.52013185,1.55266137,1.09512341
-5.54977489,3.15951601,0.17535913,0.00155815,1.35213618,0.01415970,0.54168223,1.59226925,1.12492920
-5.54377189,3.24896516,0.18527065,0.00168986,1.38428809,0.01505912,0.56512255,1.62915123,1.15202437
-5.53776888,3.33462570,0.19602854,0.00183234,1.41265012,0.01604466,0.59030951,1.66327638,1.17624358
-5.53176588,3.41599441,0.20747304,0.00198511,1.43709693,0.01710659,0.61705640,1.69462555,1.19744522
-5.52576288,3.49255745,0.21942599,0.00214751,1.45753088,0.01823334,0.64513822,1.72318521,1.21551102
-5.51975988,3.56379606,0.23169617,0.00231872,1.47387928,0.01941175,0.67429801,1.74894241,1.23034573
-5.51375688,3.62919421,0.24408499,0.00249777,1.48609199,0.02062744,0.70425438,1.77188105,1.24187656
-5.50775388,3.68824834,0.25639247,0.00268356,1.49413957,0.02186508,0.73470962,1.79197989,1.25005280
-5.50175088,3.74047865,0.26842302,0.00287488,1.49801216,0.02310881,0.76535827,1.80921240,1.25484549
-5.49574787,3.78544159,0.27999101,0.00307040,1.49771913,0.02434259,0.79589561,1.82354847,1.25624722
-5.48974487,3.82274274,0.29092585,0.00326872,1.49328954,0.02555052,0.82602567,1.83495795,1.25427200
-5.48374187,3.85204964,0.30107627,0.00346835,1.48477330,0.02671716,0.85546841,1.84341552,1.24895531
-5.47773887,3.87310340,0.31031380,0.00366774,1.47224295,0.02782787,0.88396566,1.84890672,1.24035407
-5.47173587,3.88572877,0.31853520,0.00386530,1.45579567,0.02886900,0.91128569,1.85143446,1.22854664
-5.46573287,3.88984160,0.32566386,0.00405936,1.43555554,0.02982815,0.93722599,1.85102545,1.21363266
-5.45972986,3.88545348,0.33165002,0.00424826,1.41167555,0.03069423,0.96161449,1.84773605,1.19573271
-5.45372686,3.87267286,0.33647002,0.00443028,1.38433912,0.03145764,0.98430897,1.84165683,1.17498767
-5.44772386,3.85170282,0.34012453,0.00460366,1.35376095,0.03211027,1.00519511,1.83291544,1.15155781
-5.44172086,3.82283530,0.34263600,0.00476667,1.32018695,0.03264555,1.02418315,1.82167725,1.12562150
-5.43571786,3.78644211,0.34404543,0.00491754,1.28389297,0.03305838,1.04120377,1.80814370,1.09737361
-5.42971486,3.74296335,0.34440872,0.00505453,1.24518246,0.03334517,1.05620338,1.79254805,1.06702352
-5.42371186,3.69289365,0.34379284,0.00517594,1.20438284,0.03350373,1.06913937,1.77514874,1.03479291
-5.41770885,3.63676718,0.34227198,0.00528012,1.16184068,0.03353326,1.07997566,1.75622058,1.00091326
-5.41170585,3.57514220,0.33992394,0.00536555,1.11791602,0.03343436,1.08867898,1.73604419,0.96562327
-5.40570285,3.50858595,0.33682692,0.00543080,1.07297573,0.03320892,1.09521621,1.71489429,0.92916613
-5.39969985,3.43766073,0.33305687,0.00547464,1.02738645,0.03286022,1.09955293,1.69302746,0.89178684
-5.39369685,3.36291196,0.32868549,0.00549604,0.98150723,0.03239291,1.10165346,1.67067023,0.85372963
