energy_ev,total_up,Cu_p_up,Cu_d_up,Li_s_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.91615646,0.40498334,0.19473314,0.15086778,0.00380369,0.13033038,0.36152485,0.00000000
-5.99399700,0.89811988,0.39987886,0.18920275,0.15067912,0.00415203,0.12622631,0.35764870,0.00000000
-5.98799400,0.88088183,0.39493625,0.18386587,0.15086582,0.00450930,0.12210951,0.35421918,0.00000000
-5.98199100,0.86456109,0.39013084,0.17879142,0.15140196,0.00487050,0.11800224,0.35125494,0.00000000
-5.97598799,0.84922269,0.38541542,0.17403802,0.15224600,0.00523023,0.11391721,0.34875729,0.00000000
-5.96998499,0.83488719,0.38072677,0.16965485,0.15334379,0.00558276,0.10985878,0.34671454,0.00000000
-5.96398199,0.82154182,0.37599276,0.16568291,0.15463195,0.00592221,0.10582454,0.34510681,0.00000000
-5.95797899,0.80915232,0.37113958,0.16215640,0.15604152,0.00624267,0.10180717,0.34391094,0.00000000
-5.95197599,0.79767476,0.36609862,0.15910419,0.15750158,0.00653839,0.09779637,0.34310502,0.00000000
-5.94597299,0.78706616,0.36081252,0.15655106,0.15894276,0.00680396,0.09378082,0.34267215,0.00000000
-5.93996998,0.77729324,0.35524003,0.15451864,0.16030031,0.00703445,0.08974999,0.34260327,0.00000000
-5.93396698,0.76833856,0.34935939,0.15302591,0.16151666,0.00722561,0.08569570,0.34289863,0.00000000
-5.92796398,0.76020373,0.34317011,0.15208914,0.16254339,0.00737398,0.08161340,0.34356787,0.00000000
-5.92196098,0.75290936,0.33669295,0.15172138,0.16334239,0.00747701,0.07750299,0.34462863,0.00000000
-5.91595798,0.74649203,0.32996834,0.15193130,0.16388636,0.00753313,0.07336938,0.34610389,0.00000000
-5.90995498,0.74099839,0.32305337,0.15272182,0.16415856,0.00754182,0.06922253,0.34801807,0.00000000
-5.90395198,0.73647713,0.31601743,0.15408823,0.16415191,0.00750358,0.06507718,0.35039232,0.00000000
-5.89794897,0.73296941,0.30893719,0.15601642,0.16386758,0.00741991,0.06095227,0.35323926,0.00000000
-5.89194597,0.73049861,0.30189098,0.15848099,0.16331315,0.00729326,0.05687012,0.35655773,0.00000000
-5.88594297,0.72906046,0.29495320,0.16144378,0.16250054,0.00712691,0.05285542,0.36032779,0.00000000
-5.87993997,0.72861420,0.28818901,0.16485284,0.16144391,0.00692482,0.04893414,0.36450661,0.00000000
-5.87393697,0.72907579,0.28164981,0.16864201,0.16015756,0.00669152,0.04513250,0.36902547,0.00000000
-5.86793397,0.73031380,0.27536972,0.17273137,0.15865426,0.00643193,0.04147587,0.37378824,0.00000000
-5.86193097,0.73214849,0.26936325,0.17702850,0.15694377,0.00615116,0.03798799,0.37867163,0.00000000
-5.85592796,0.73435442,0.26362448,0.18143072,0.15503195,0.00585440,0.03469019,0.38352722,0.00000000
-5.84992496,0.73666651,0.25812756,0.18582822,0.15292043,0.00554674,0.03160099,0.38818531,0.00000000
-5.84392196,0.73878963,0.25282865,0.19010797,0.15060672,0.00523302,0.02873578,0.39246054,0.00000000
-5.83791896,0.74041097,0.24766904,0.19415838,0.14808499,0.00491775,0.02610687,0.39615881,0.00000000
-5.83191596,0.74121487,0.24257935,0.19787436,0.14534720,0.00460497,0.02372366,0.39908552,0.00000000
-5.82591296,0.74089907,0.23748441,0.20116274,0.14238463,0.00429826,0.02159303,0.40105429,0.00000000
-5.81990995,0.73919168,0.23230854,0.20394756,0.13918971,0.00400062,0.01971991,0.40189608,0.00000000
-5.81390695,0.73586778,0.22698096,0.20617516,0.13575787,0.00371455,0.01810791,0.40146788,0.00000000
-5.80790395,0.73076472,0.22144092,0.20781867,0.13208936,0.00344198,0.01676004,0.39966075,0.00000000
-5.80190095,0.72379525,0.21564225,0.20888173,0.12819099,0.00318438,0.01567944,0.39640652,0.00000000
-5.79589795,0.71495768,0.20955717,0.20940111,0.12407738,0.00294276,0.01487006,0.39168295,0.00000000
-5.78989495,0.70434244,0.20317901,0.20944811,0.11977198,0.00271775,0.01433728,0.38551691,0.00000000
-5.78389195,0.69213457,0.19652381,0.20912868,0.11530744,0.00250968,0.01408838,0.37798546,0.00000000
-5.77788894,0.67861200,0.18963074,0.20858203,0.11072557,0.00231860,0.01413295,0.36921468,0.00000000
-5.77188594,0.66413958,0.18256123,0.20797787,0.10607665,0.00214441,0.01448302,0.35937636,0.00000000
-5.76588294,0.64915903,0.17539705,0.20751231,0.10141829,0.00198686,0.01515313,0.34868256,0.00000000
-5.75987994,0.63417537,0.16823740,0.20740252,0.09681373,0.00184561,0.01616017,0.33737848,0.00000000
-5.75387694,0.61974031,0.16119514,0.20788033,0.09232988,0.00172031,0.01752307,0.32573374,0.00000000
-5.74787394,0.60643347,0.15439247,0.20918515,0.08803493,0.00161056,0.01926234,0.31403271,0.00000000
-5.74187094,0.59484216,0.14795633,0.21155631,0.08399586,0.00151597,0.02139953,0.30256416,0.00000000
-5.73586793,0.58554078,0.14201367,0.21522525,0.08027592,0.00143615,0.02395659,0.29161078,0.00000000
-5.72986493,0.57907080,0.13668688,0.22040786,0.07693210,0.00137072,0.02695518,0.28143908,0.00000000
-5.72386193,0.57592206,0.13208975,0.22729738,0.07401290,0.00131930,0.03041604,0.27229003,0.00000000
-5.71785893,0.57651646,0.12832393,0.23605805,0.07155633,0.00128146,0.03435835,0.26437094,0.00000000
-5.71185593,0.58119474,0.12547629,0.24681995,0.06958830,0.00125679,0.03879928,0.25784889,0.00000000
-5.70585293,0.59020694,0.12361721,0.25967517,0.06812158,0.00124480,0.04375358,0.25284596,0.00000000
-5.69984992,0.60370698,0.12279990,0.27467563,0.06715515,0.00124499,0.04923351,0.24943653,0.00000000
-5.69384692,0.62175174,0.12306080,0.29183257,0.06667418,0.00125679,0.05524881,0.24764669,0.00000000
-5.68784392,0.64430465,0.12442114,0.31111785,0.06665059,0.00127962,0.06180705,0.24745584,0.00000000
-5.68184092,0.67124369,0.12688952,0.33246700,0.06704409,0.00131284,0.06891409,0.24880031,0.00000000
-5.67583792,0.70237341,0.13046546,0.35578388,0.06780378,0.00135585,0.07657491,0.25157888,0.00000000
-5.66983492,0.73744054,0.13514388,0.38094684,0.06887014,0.00140806,0.08479447,0.25566006,0.00000000
-5.66383192,0.77615247,0.14092019,0.40781589,0.07017750,0.00146894,0.09357883,0.26089056,0.00000000
-5.65782891,0.81819771,0.14779607,0.43624087,0.07165664,0.00153805,0.10293635,0.26710480,0.00000000
-5.65182591,0.86326737,0.15578544,0.46606981,0.07323772,0.00161512,0.11287894,0.27413494,0.00000000
-5.64582291,0.91107677,0.16492071,0.49715744,0.07485319,0.00170003,0.12342320,0.28182097,0.00000000
-5.63981991,0.96138590,0.17525878,0.52937310,0.07644070,0.00179286,0.13459158,0.29002032,0.00000000
-5.63381691,1.01401793,0.18688686,0.56260783,0.07794582,0.00189395,0.14641331,0.29861676,0.00000000
-5.62781391,1.06887471,0.19992764,0.59678018,0.07932458,0.00200387,0.15892510,0.30752782,0.00000000
-5.62181091,1.12594847,0.21454371,0.63184046,0.08054552,0.00212343,0.17217164,0.31671063,0.00000000
-5.61580790,1.18532908,0.23094093,0.66777318,0.08159145,0.00225367,0.18620571,0.32616573,0.00000000
-5.60980490,1.24720643,0.24937063,0.70459766,0.08246056,0.00239584,0.20108809,0.33593860,0.00000000
-5.60380190,1.31186777,0.27013036,0.74236664,0.08316706,0.00255131,0.21688705,0.34611883,0.00000000
-5.59779890,1.37968983,0.29356295,0.78116313,0.08374114,0.00272157,0.23367762,0.35683687,0.00000000
-5.59179590,1.45112626,0.32005396,0.82109569,0.08422839,0.00290807,0.25154049,0.36825843,0.00000000
-5.58579290,1.52669056,0.35002698,0.86229223,0.08468859,0.00311216,0.27056069,0.38057671,0.00000000
-5.57978989,1.60693529,0.38393708,0.90489292,0.08519395,0.00333501,0.29082596,0.39400285,0.00000000
-5.57378689,1.69242828,0.42226201,0.94904232,0.08582683,0.00357744,0.31242488,0.40875487,0.00000000
-5.56778389,1.78372665,0.46549129,0.99488127,0.08667704,0.00383987,0.33544472,0.42504562,0.00000000
-5.56178089,1.88134966,0.51411319,1.04253868,0.08783881,0.00412215,0.35996903,0.44307035,0.00000000
-5.55577789,1.98575122,0.56859961,1.09212371,0.08940748,0.00442355,0.38607487,0.46299432,0.00000000
-5.54977489,2.09729300,0.62938925,1.14371835,0.09147606,0.00474260,0.41382974,0.48494118,0.00000000
-5.54377189,2.21621896,0.69686912,1.19737071,0.09413179,0.00507709,0.44328812,0.50898250,0.00000000
-5.53776888,2.34263213,0.77135505,1.25308898,0.09745280,0.00542404,0.47448767,0.53512917,0.00000000
-5.53176588,2.47647429,0.85307149,1.31083628,0.10150494,0.00577970,0.50744506,0.56332490,0.00000000
-5.52576288,2.61750917,0.94213154,1.37052617,0.10633893,0.00613960,0.54215149,0.59344231,0.00000000
-5.51975988,2.76530980,1.03851771,1.43201905,0.11198802,0.00649862,0.57856808,0.62528183,0.00000000
-5.51375688,2.91925050,1.14206454,1.49511932,0.11846603,0.00685112,0.61662114,0.65857342,0.00000000
-5.50775388,3.07850379,1.25244383,1.55957341,0.12576612,0.00719106,0.65619775,0.69298127,0.00000000
-5.50175088,3.24204291,1.36915356,1.62506876,0.13386011,0.00751218,0.69714173,0.72811117,0.00000000
-5.49574787,3.40864994,1.49151144,1.69123390,0.14269856,0.00780820,0.73925043,0.76352049,0.00000000
