energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,6.85647672,0.00582075,1.21489956,2.45347835,0.31215113,2.49442469,2.11715945,0.02206797,2.14160099
-5.99399700,6.66491376,0.00571734,1.20143367,2.36921247,0.29605402,2.45179627,2.08507789,0.02047255,2.05477902
-5.98799400,6.46518270,0.00565039,1.18655131,2.28080818,0.27960910,2.40630774,2.05004765,0.01908291,1.96556246
-5.98199100,6.26108127,0.00562447,1.17064782,2.19028659,0.26306528,2.35901770,2.01296497,0.01789756,1.87557542
-5.97598799,6.05649480,0.00564382,1.15417182,2.09960036,0.24666789,2.31098827,1.97483352,0.01691478,1.78640893
-5.96998499,5.85530927,0.00571220,1.13762220,2.01057711,0.23065246,2.26325974,1.93675285,0.01613255,1.69957456
-5.96398199,5.66132779,0.00583275,1.12154312,1.92487017,0.21523916,2.21682751,1.89990318,0.01554851,1.61646316
-5.95797899,5.47819227,0.00600794,1.10651667,1.84391817,0.20062798,2.17262180,1.86552624,0.01515976,1.53831017
-5.95197599,5.30931077,0.00623940,1.09315284,1.76891464,0.18699484,2.13149014,1.83490191,0.01496276,1.46616823
-5.94597299,5.15779109,0.00652787,1.08207684,1.70078789,0.17448868,2.09418249,1.80932063,0.01495315,1.40088757
-5.93996998,5.02638061,0.00687310,1.07391367,1.64019141,0.16322938,2.06133899,1.79005157,0.01512561,1.34310416
-5.93396698,4.91741221,0.00727384,1.06927007,1.58750414,0.15330673,2.03347979,1.77830708,0.01547363,1.29323532
-5.92796398,4.83275614,0.00772778,1.06871436,1.54283983,0.14478009,2.01099689,1.77520397,0.01598940,1.25148213
-5.92196098,4.77377783,0.00823151,1.07275454,1.50606427,0.13767884,1.99414761,1.78172262,0.01666360,1.21783787
-5.91595798,4.74130173,0.00878060,1.08181550,1.47681901,0.13200341,1.98304955,1.79866535,0.01748532,1.19210146
-5.90995498,4.73558203,0.00936955,1.09621627,1.45454999,0.12772688,1.97767700,1.82661539,0.01844190,1.17389484
-5.90395198,4.75628085,0.00999193,1.11614823,1.43853968,0.12479683,1.97785898,1.86589855,0.01951886,1.16268336
-5.89794897,4.80245553,0.01064035,1.14165566,1.42794097,0.12313768,1.98327903,1.91654935,0.02069991,1.15779811
