energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,6.53954580,1.60070945,3.45179128,0.01401977,0.36291841,1.04226446,1.16786464,0.00907681,1.69317592
-5.99399700,6.52685769,1.57049463,3.47743811,0.01357138,0.36901225,1.02811732,1.15747721,0.00864586,1.66505698
-5.98799400,6.51100149,1.54088752,3.50276399,0.01311116,0.37553182,1.01329799,1.14443959,0.00820902,1.63480303
-5.98199100,6.49317290,1.51242435,3.52808708,0.01264165,0.38246746,0.99807423,1.12906267,0.00777333,1.60298603
-5.97598799,6.47428579,1.48551688,3.55355661,0.01216488,0.38977844,0.98267035,1.11165706,0.00734543,1.57013138
-5.96998499,6.45493542,1.46044330,3.57913750,0.01168249,0.39739187,0.96726288,1.09252322,0.00693137,1.53670442
-5.96398199,6.43537648,1.43734478,3.60460319,0.01119580,0.40520296,0.95197835,1.07194284,0.00653657,1.50310000
-5.95797899,6.41551715,1.41622760,3.62953732,0.01070595,0.41307671,0.93689325,1.05017178,0.00616563,1.46963552
-5.95197599,6.39492890,1.39697070,3.65334408,0.01021400,0.42085108,0.92203595,1.02743477,0.00582238,1.43654733
-5.94597299,6.37287162,1.37933803,3.67526692,0.00972099,0.42834141,0.90739053,1.00392203,0.00550978,1.40399073
-5.93996998,6.34833272,1.36299501,3.69441491,0.00922807,0.43534604,0.89290208,0.97978776,0.00522997,1.37204323
-5.93396698,6.32007819,1.34752834,3.70979559,0.00873648,0.44165283,0.87848339,0.95515064,0.00498430,1.34071072
-5.92796398,6.28671334,1.33246808,3.72035288,0.00824765,0.44704638,0.86402240,0.93009593,0.00477331,1.30993627
-5.92196098,6.24675026,1.31731109,3.72500853,0.00776315,0.45131561,0.84939037,0.90467918,0.00459689,1.27961096
-5.91595798,6.19867894,1.30154469,3.72270513,0.00728469,0.45426136,0.83445013,0.87893109,0.00445423,1.24958610
-5.90995498,6.14103883,1.28466967,3.71244898,0.00681411,0.45570369,0.81906426,0.85286329,0.00434399,1.21968633
-5.90395198,6.07248772,1.26622165,3.69335085,0.00635332,0.45548868,0.80310267,0.82647458,0.00426428,1.18972291
-5.89794897,5.99186482,1.24579002,3.66466306,0.00590423,0.45349417,0.78644956,0.79975733,0.00421280,1.15950656
-5.89194597,5.89824566,1.22303374,3.62581105,0.00546869,0.44963454,0.76900922,0.77270362,0.00418684,1.12885940
-5.88594297,5.79098632,1.19769366,3.57641860,0.00504847,0.44386402,0.75071075,0.74531085,0.00418339,1.09762538
-5.87993997,5.66975574,1.16960085,3.51632535,0.00464515,0.43617863,0.73151142,0.71758642,0.00419918,1.06567893
-5.87393697,5.53455483,1.13868100,3.44559638,0.00426011,0.42661660,0.71139864,0.68955152,0.00423072,1.03293153
