energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.31666686,0.01722337,0.22746306,0.02641247,0.89847918,0.85746079,0.41584204,0.97283965,0.15666101
-5.99399700,2.22277299,0.01675015,0.21914945,0.02572032,0.86000917,0.82334798,0.40193033,0.92952047,0.14877274
-5.98799400,2.12255056,0.01620685,0.21018530,0.02490422,0.81923462,0.78650425,0.38661430,0.88399810,0.14064001
-5.98199100,2.01685629,0.01559911,0.20062764,0.02397396,0.77652147,0.74732044,0.37001700,0.83664266,0.13232673
-5.97598799,1.90667000,0.01493366,0.19055068,0.02294173,0.73227631,0.70622956,0.35229231,0.78786756,0.12390098
-5.96998499,1.79306954,0.01421821,0.18004346,0.02182175,0.68693631,0.66369546,0.33362065,0.73811930,0.11543345
-5.96398199,1.67720247,0.01346127,0.16920709,0.02062978,0.64095822,0.62020057,0.31420382,0.68786597,0.10699590
-5.95797899,1.56025577,0.01267195,0.15815151,0.01938268,0.59480698,0.57623346,0.29425914,0.63758521,0.09865948
-5.95197599,1.44342516,0.01185972,0.14699206,0.01809788,0.54894430,0.53227651,0.27401331,0.58775207,0.09049312
-5.94597299,1.32788538,0.01103422,0.13584612,0.01679291,0.50381792,0.48879440,0.25369622,0.53882743,0.08256208
-5.93996998,1.21476263,0.01020500,0.12482972,0.01548495,0.45985190,0.44622365,0.23353492,0.49124743,0.07492665
-5.93396698,1.10511039,0.00938130,0.11405452,0.01419041,0.41743828,0.40496382,0.21374814,0.44541436,0.06764107
-5.92796398,0.99988941,0.00857185,0.10362516,0.01292454,0.37693045,0.36537043,0.19454148,0.40168941,0.06075274
-5.92196098,0.89995257,0.00778471,0.09363706,0.01170119,0.33863845,0.32774990,0.17610350,0.36038731,0.05430177
-5.91595798,0.80603471,0.00702709,0.08417477,0.01053259,0.30282611,0.29235647,0.15860273,0.32177318,0.04832072
-5.90995498,0.71874774,0.00630526,0.07531088,0.00942918,0.26971011,0.25939116,0.14218574,0.28606135,0.04283469
-5.90395198,0.63858043,0.00562448,0.06710548,0.00839957,0.23946089,0.22900252,0.12697621,0.25341608,0.03786169
-5.89794897,0.56590266,0.00498896,0.05960608,0.00745054,0.21220491,0.20128904,0.11307497,0.22395403,0.03341313
-5.89194597,0.50097321,0.00440189,0.05284807,0.00658711,0.18802828,0.17630290,0.10056082,0.19774798,0.02949454
-5.88594297,0.44395042,0.00386543,0.04685546,0.00581267,0.16698121,0.15405475,0.08949215,0.17483165,0.02610638
-5.87993997,0.39490464,0.00338085,0.04164191,0.00512908,0.14908300,0.13451918,0.07990893,0.15520500,0.02324491
-5.87393697,0.35383161,0.00294856,0.03721194,0.00453693,0.13432718,0.11764053,0.07183517,0.13883991,0.02090300
-5.86793397,0.32066577,0.00256824,0.03356223,0.00403564,0.12268643,0.10333878,0.06528148,0.12568551,0.01907094
-5.86193097,0.29529273,0.00223901,0.03068279,0.00362371,0.11411705,0.09151511,0.06024751,0.11567321,0.01773713
-5.85592796,0.27756014,0.00195948,0.02855815,0.00329891,0.10856260,0.08205702,0.05672436,0.10872080,0.01688856
-5.84992496,0.26728630,0.00172792,0.02716827,0.00305836,0.10595658,0.07484274,0.05469647,0.10473571,0.01651123
-5.84392196,0.26426637,0.00154240,0.02648930,0.00289877,0.10622411,0.06974481,0.05414322,0.10361713,0.01659031
-5.83791896,0.26827571,0.00140082,0.02649404,0.00281645,0.10928237,0.06663282,0.05503992,0.10525696,0.01711012
-5.83191596,0.27907058,0.00130110,0.02715220,0.00280745,0.11504006,0.06537520,0.05735835,0.10953974,0.01805394
-5.82591296,0.29638630,0.00124116,0.02843036,0.00286759,0.12339582,0.06584023,0.06106670,0.11634153,0.01940374
-5.81990995,0.31993325,0.00121905,0.03029179,0.00299243,0.13423595,0.06789628,0.06612907,0.12552798,0.02113964
-5.81390695,0.34939132,0.00123293,0.03269611,0.00317732,0.14743149,0.07141140,0.07250452,0.13695194,0.02323947
-5.80790395,0.38440331,0.00128113,0.03559889,0.00341737,0.16283509,0.07625255,0.08014586,0.15045062,0.02567817
-5.80190095,0.42456811,0.00136209,0.03895116,0.00370739,0.18027797,0.08228448,0.08899819,0.16584296,0.02842727
-5.79589795,0.46943431,0.00147441,0.04269915,0.00404184,0.19956716,0.08936862,0.09899737,0.18292720,0.03145442
-5.78989495,0.51849511,0.00161676,0.04678398,0.00441488,0.22048347,0.09736204,0.11006863,0.20147916,0.03472310
-5.78389195,0.57118499,0.00178784,0.05114177,0.00482025,0.24278042,0.10611668,0.12212527,0.22125145,0.03819242
-5.77788894,0.62687891,0.00198638,0.05570385,0.00525135,0.26618433,0.11547904,0.13506775,0.24197374,0.04181719
-5.77188594,0.68489436,0.00221100,0.06039740,0.00570124,0.29039579,0.12529041,0.14878316,0.26335445,0.04554819
-5.76588294,0.74449664,0.00246019,0.06514633,0.00616265,0.31509257,0.13538770,0.16314524,0.28508369,0.04933268
-5.75987994,0.80490734,0.00273225,0.06987261,0.00662812,0.33993401,0.14560489,0.17801484,0.30683776,0.05311519
-5.75387694,0.86531604,0.00302520,0.07449779,0.00709007,0.36456683,0.15577518,0.19324114,0.32828479,0.05683847
-5.74787394,0.92489485,0.00333676,0.07894486,0.00754094,0.38863215,0.16573359,0.20866329,0.34909161,0.06044473
-5.74187094,0.98281544,0.00366429,0.08314032,0.00797332,0.41177351,0.17532010,0.22411269,0.36893155,0.06387696
-5.73586793,1.03826778,0.00400476,0.08701634,0.00838012,0.43364565,0.18438315,0.23941576,0.38749273,0.06708036
-5.72986493,1.09048005,0.00435474,0.09051299,0.00875476,0.45392355,0.19278320,0.25439710,0.40448668,0.07000388
-5.72386193,1.13873871,0.00471038,0.09358033,0.00909129,0.47231155,0.20039640,0.26888305,0.41965672,0.07260165
-5.71785893,1.18240800,0.00506748,0.09618044,0.00938462,0.48855197,0.20711800,0.28270531,0.43278583,0.07483435
-5.71185593,1.22094799,0.00542149,0.09828906,0.00963056,0.50243288,0.21286538,0.29570486,0.44370357,0.07667046
-5.70585293,1.25393033,0.00576756,0.09989695,0.00982605,0.51379483,0.21758063,0.30773562,0.45229174,0.07808723
-5.69984992,1.28105113,0.00610067,0.10101075,0.00996916,0.52253597,0.22123232,0.31866808,0.45848841,0.07907144
-5.69384692,1.30214020,0.00641570,0.10165339,0.01005919,0.52861557,0.22381662,0.32839259,0.46229026,0.07961985
-5.68784392,1.31716651,0.00670752,0.10186394,0.01009668,0.53205566,0.22535751,0.33682222,0.46375289,0.07973926
-5.68184092,1.32623939,0.00697116,0.10169693,0.01008338,0.53294069,0.22590605,0.34389515,0.46298927,0.07944640
-5.67583792,1.32960548,0.00720190,0.10122112,0.01002219,0.53141537,0.22553887,0.34957639,0.46016624,0.07876728
-5.66983492,1.32764170,0.00739545,0.10051784,0.00991708,0.52768063,0.22435578,0.35385885,0.45549924,0.07773644
-5.66383192,1.32084426,0.00754803,0.09967878,0.00977296,0.52198798,0.22247671,0.35676372,0.44924553,0.07639585
-5.65782891,1.30981432,0.00765651,0.09880355,0.00959550,0.51463245,0.22003794,0.35833997,0.44169616,0.07479356
-5.65182591,1.29524083,0.00771855,0.09799685,0.00939101,0.50594442,0.21718801,0.35866326,0.43316693,0.07298225
-5.64582291,1.27788103,0.00773263,0.09736558,0.00916623,0.49628065,0.21408319,0.35783393,0.42398889,0.07101764
