energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.87586931,-1.87586923,0.00424691,-0.00424691,0.41581538,-0.41581528,0.18535917,-0.18535926,0.49683120,-0.49683131,0.46309747,-0.46309755,0.97373698,-0.97373658,0.27378342,-0.27378352,0.00000000,-0.00000000
-5.99399700,1.89330832,-1.89330831,0.00414422,-0.00414422,0.41389515,-0.41389507,0.19538972,-0.19538982,0.50992819,-0.50992831,0.47733956,-0.47733968,0.95208694,-0.95208656,0.28701311,-0.28701322,0.00000000,-0.00000000
-5.98799400,1.91774929,-1.91774936,0.00403016,-0.00403016,0.41354334,-0.41354329,0.20688836,-0.20688848,0.52367670,-0.52367683,0.49448014,-0.49448029,0.93294257,-0.93294223,0.30201465,-0.30201478,0.00000000,-0.00000000
-5.98199100,1.94991421,-1.94991438,0.00390601,-0.00390601,0.41506036,-0.41506033,0.21984904,-0.21984917,0.53808346,-0.53808359,0.51472445,-0.51472464,0.91704555,-0.91704526,0.31875140,-0.31875154,0.00000000,-0.00000000
-5.97598799,1.99043728,-1.99043755,0.00377361,-0.00377361,0.41871257,-0.41871256,0.23426044,-0.23426058,0.55316367,-0.55316381,0.53824106,-0.53824129,0.90507270,-0.90507247,0.33717381,-0.33717397,0.00000000,-0.00000000
-5.96998499,2.03983815,-2.03983853,0.00363526,-0.00363526,0.42472315,-0.42472319,0.25010530,-0.25010546,0.56893711,-0.56893725,0.56515337,-0.56515365,0.89761585,-0.89761569,0.35721851,-0.35721868,0.00000000,-0.00000000
-5.96398199,2.09849829,-2.09849878,0.00349365,-0.00349365,0.43326421,-0.43326427,0.26735955,-0.26735972,0.58542418,-0.58542434,0.59553184,-0.59553216,0.89516431,-0.89516422,0.37880773,-0.37880791,0.00000000,-0.00000000
-5.95797899,2.16664128,-2.16664189,0.00335175,-0.00335175,0.44445003,-0.44445014,0.28599138,-0.28599156,0.60264227,-0.60264243,0.62938724,-0.62938761,0.89809054,-0.89809053,0.40184914,-0.40184933,0.00000000,-0.00000000
-5.95197599,2.24431785,-2.24431859,0.00321266,-0.00321266,0.45833209,-0.45833223,0.30596022,-0.30596042,0.62060259,-0.62060276,0.66666524,-0.66666565,0.90663940,-0.90663947,0.42623632,-0.42623652,0.00000000,-0.00000000
-5.94597299,2.33139611,-2.33139697,0.00307958,-0.00307957,0.47489560,-0.47489578,0.32721578,-0.32721599,0.63930781,-0.63930798,0.70724247,-0.70724293,0.92092103,-0.92092118,0.45184964,-0.45184985,0.00000000,-0.00000000
