energy_ev,total_up,B_p_up,B_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.18708193,0.05382093,0.00000000,0.16048637,1.56923085,0.71599041,0.61324631
-5.99399700,3.18010660,0.05452150,0.00000000,0.15962814,1.57521768,0.72343281,0.59802948
-5.98799400,3.17896484,0.05538985,0.00000000,0.15876002,1.58412744,0.73148730,0.58404835
-5.98199100,3.18358490,0.05641258,0.00000000,0.15788826,1.59609959,0.74002448,0.57131842
-5.97598799,3.19380211,0.05757375,0.00000000,0.15701865,1.61124077,0.74890038,0.55983336
-5.96998499,3.20936436,0.05885512,0.00000000,0.15615674,1.62962101,0.75795936,0.54956740
-5.96398199,3.22993839,0.06023643,0.00000000,0.15530805,1.65127005,0.76703722,0.54047787
-5.95797899,3.25511680,0.06169568,0.00000000,0.15447828,1.67617369,0.77596455,0.53250792
-5.95197599,3.28442586,0.06320941,0.00000000,0.15367346,1.70427039,0.78457025,0.52558931
-5.94597299,3.31733394,0.06475311,0.00000000,0.15290012,1.73544825,0.79268523,0.51964515
-5.93996998,3.35326074,0.06630158,0.00000000,0.15216538,1.76954265,0.80014624,0.51459266
-5.93396698,3.39158720,0.06782941,0.00000000,0.15147699,1.80633464,0.80679978,0.51034577
-5.92796398,3.43166609,0.06931141,0.00000000,0.15084332,1.84555047,0.81250592,0.50681755
-5.92196098,3.47283311,0.07072321,0.00000000,0.15027329,1.88686223,0.81714204,0.50392248
-5.91595798,3.51441836,0.07204177,0.00000000,0.14977625,1.92989000,0.82060622,0.50157841
-5.90995498,3.55575800,0.07324592,0.00000000,0.14936171,1.97420539,0.82282025,0.49970822
-5.90395198,3.59620570,0.07431692,0.00000000,0.14903915,2.01933671,0.82373198,0.49824110
-5.89794897,3.63514370,0.07523896,0.00000000,0.14881762,2.06477555,0.82331708,0.49711348
-5.89194597,3.67199298,0.07599957,0.00000000,0.14870540,2.10998487,0.82157983,0.49626949
-5.88594297,3.70622244,0.07658999,0.00000000,0.14870958,2.15440828,0.81855307,0.49566100
-5.87993997,3.73735653,0.07700541,0.00000000,0.14883559,2.19748032,0.81429718,0.49524720
-5.87393697,3.76498129,0.07724508,0.00000000,0.14908686,2.23863756,0.80889810,0.49499387
-5.86793397,3.78874862,0.07731229,0.00000000,0.14946432,2.27732994,0.80246439,0.49487215
-5.86193097,3.80837854,0.07721426,0.00000000,0.14996611,2.31303238,0.79512356,0.49485714
-5.85592796,3.82365967,0.07696179,0.00000000,0.15058728,2.34525588,0.78701770,0.49492626
-5.84992496,3.83444792,0.07656893,0.00000000,0.15131957,2.37355806,0.77829861,0.49505753
-5.84392196,3.84066357,0.07605241,0.00000000,0.15215138,2.39755274,0.76912270,0.49522781
-5.83791896,3.84228703,0.07543106,0.00000000,0.15306781,2.41691808,0.75964581,0.49541130
-5.83191596,3.83935360,0.07472517,0.00000000,0.15405078,2.43140336,0.75001828,0.49557810
-5.82591296,3.83194751,0.07395577,0.00000000,0.15507941,2.44083381,0.74038030,0.49569329
-5.81990995,3.82019550,0.07314398,0.00000000,0.15613039,2.44511367,0.73085794,0.49571627
-5.81390695,3.80426025,0.07231030,0.00000000,0.15717860,2.44422724,0.72155987,0.49560060
