energy_ev,total_up,N_s_up,N_p_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,1.26734689,0.00359418,0.36997733,1.21606296,0.23855806,0.39076085,0.00000000
-5.99399700,1.33159324,0.00371293,0.38408415,1.25829422,0.25261930,0.41600642,0.00000000
-5.98799400,1.40268439,0.00381570,0.40137421,1.30615129,0.26804983,0.44253150,0.00000000
-5.98199100,1.47991881,0.00390186,0.42166015,1.35914547,0.28468075,0.47011840,0.00000000
-5.97598799,1.56250537,0.00397129,0.44470954,1.41671611,0.30232574,0.49853422,0.00000000
-5.96998499,1.64956915,0.00402448,0.47024339,1.47823031,0.32078308,0.52753464,0.00000000
-5.96398199,1.74015823,0.00406249,0.49793502,1.54298224,0.33983793,0.55686814,0.00000000
-5.95797899,1.83325213,0.00408701,0.52740954,1.61019312,0.35926508,0.58628079,0.00000000
-5.95197599,1.92777232,0.00410030,0.55824457,1.67901257,0.37883204,0.61552127,0.00000000
-5.94597299,2.02259533,0.00410519,0.58997248,1.74852238,0.39830263,0.64434628,0.00000000
-5.93996998,2.11656850,0.00410501,0.62208463,1.81774351,0.41744102,0.67252597,0.00000000
-5.93396698,2.20852860,0.00410354,0.65403769,1.88564687,0.43601604,0.69984926,0.00000000
-5.92796398,2.29732293,0.00410489,0.68526228,1.95116827,0.45380583,0.72612894,0.00000000
-5.92196098,2.38183247,0.00411346,0.71517386,2.01322749,0.47060257,0.75120603,0.00000000
-5.91595798,2.46099631,0.00413377,0.74318551,2.07075125,0.48621712,0.77495344,0.00000000
-5.90995498,2.53383629,0.00417039,0.76872234,2.12269917,0.50048340,0.79727844,0.00000000
-5.90395198,2.59948090,0.00422782,0.79123698,2.16809186,0.51326221,0.81812381,0.00000000
-5.89794897,2.65718685,0.00431031,0.81022541,2.20603974,0.52444442,0.83746749,0.00000000
-5.89194597,2.70635746,0.00442180,0.82524240,2.23577109,0.53395315,0.85532056,0.00000000
-5.88594297,2.74655638,0.00456578,0.83591590,2.25665790,0.54174488,0.87172363,0.00000000
-5.87993997,2.77751596,0.00474516,0.84195944,2.26823776,0.54780940,0.88674151,0.00000000
-5.87393697,2.79913935,0.00496221,0.84318205,2.27023074,0.55216847,0.90045662,0.00000000
-5.86793397,2.81149631,0.00521846,0.83949494,2.26254977,0.55487328,0.91296118,0.00000000
-5.86193097,2.81481252,0.00551464,0.83091475,2.24530409,0.55600078,0.92434869,0.00000000
-5.85592796,2.80945309,0.00585067,0.81756294,2.21879522,0.55564907,0.93470514,0.00000000
-5.84992496,2.79590098,0.00622561,0.79966144,2.18350559,0.55393201,0.94410046,0.00000000
-5.84392196,2.77473174,0.00663771,0.77752477,2.14008036,0.55097350,0.95258077,0.00000000
-5.83791896,2.74658572,0.00708443,0.75154890,2.08930331,0.54690152,0.96016190,0.00000000
-5.83191596,2.71213968,0.00756253,0.72219752,2.03206813,0.54184246,0.96682477,0.00000000
-5.82591296,2.67207918,0.00806815,0.68998631,1.96934656,0.53591592,0.97251284,0.00000000
-5.81990995,2.62707351,0.00859691,0.65546613,1.90215508,0.52923033,0.97713210,0.00000000
-5.81390695,2.57775437,0.00914407,0.61920572,1.83152179,0.52187960,0.98055353,0.00000000
-5.80790395,2.52469949,0.00970464,0.58177489,1.75845514,0.51394096,0.98261810,0.00000000
-5.80190095,2.46842182,0.01027350,0.54372881,1.68391596,0.50547405,0.98314410,0.00000000
-5.79589795,2.40936473,0.01084560,0.50559411,1.60879381,0.49652134,0.98193644,0.00000000
-5.78989495,2.34790301,0.01141603,0.46785723,1.53388874,0.48710968,0.97879737,0.00000000
-5.78389195,2.28434919,0.01198013,0.43095534,1.45989877,0.47725295,0.97353817,0.00000000
-5.77788894,2.21896452,0.01253363,0.39527014,1.38741331,0.46695552,0.96599101,0.00000000
-5.77188594,2.15197330,0.01307266,0.36112434,1.31691230,0.45621623,0.95602051,0.00000000
-5.76588294,2.08357946,0.01359384,0.32878093,1.24877058,0.44503278,0.94353414,0.00000000
-5.75987994,2.01398413,0.01409426,0.29844483,1.18326672,0.43340600,0.92849106,0.00000000
-5.75387694,1.94340268,0.01457149,0.27026658,1.12059547,0.42134395,0.91090888,0.00000000
-5.74787394,1.87208029,0.01502355,0.24434774,1.06088265,0.40886549,0.89086798,0.00000000
-5.74187094,1.80030500,0.01544888,0.22074745,1.00420166,0.39600318,0.86851327,0.00000000
-5.73586793,1.72841738,0.01584627,0.19948966,0.95059037,0.38280534,0.84405332,0.00000000
-5.72986493,1.65681654,0.01621486,0.18057070,0.90006750,0.36933727,0.81775690,0.00000000
-5.72386193,1.58596214,0.01655406,0.16396661,0.85264779,0.35568146,0.78994737,0.00000000
-5.71785893,1.51637243,0.01686356,0.14964003,0.80835512,0.34193697,0.76099508,0.00000000
-5.71185593,1.44861870,0.01714329,0.13754621,0.76723318,0.32821803,0.73130824,0.00000000
-5.70585293,1.38331642,0.01739351,0.12763798,0.72935323,0.31465179,0.70132276,0.00000000
