energy_ev,total_up,Bi_p_up,Bi_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
5.69984992,2.28902702,0.25949650,0.17455321,3.92081421,0.00149328,0.00853579,0.35950163
5.70585293,2.40938571,0.27941902,0.18615164,4.08033021,0.00159107,0.00935381,0.38075927
5.71185593,2.53043472,0.29959885,0.19827568,4.23500838,0.00169252,0.01021661,0.40241590
5.71785893,2.65066400,0.31972401,0.21079303,4.38301961,0.00179621,0.01111287,0.42421775
5.72386193,2.76846959,0.33947031,0.22355627,4.52246157,0.00190060,0.01203058,0.44589145
5.72986493,2.88218533,0.35850893,0.23640557,4.65139659,0.00200407,0.01295729,0.46714995
5.73586793,2.99012063,0.37651467,0.24917193,4.76789743,0.00210493,0.01388027,0.48769947
5.74187094,3.09060318,0.39317469,0.26168113,4.87009957,0.00220148,0.01478690,0.50724724
5.74787394,3.18202480,0.40819722,0.27375813,4.95625792,0.00229207,0.01566490,0.52550965
5.75387694,3.26288883,0.42132010,0.28523166,5.02480544,0.00237509,0.01650264,0.54222059
5.75987994,3.33185658,0.43231867,0.29593896,5.07441080,0.00244905,0.01728946,0.55713940
5.76588294,3.38779083,0.44101265,0.30573034,5.10403215,0.00251261,0.01801592,0.57005825
5.77188594,3.42979393,0.44727177,0.31447335,5.11296400,0.00256464,0.01867401,0.58080835
5.77788894,3.45723876,0.45101985,0.32205633,5.10087456,0.00260422,0.01925731,0.58926475
5.78389195,3.46979047,0.45223705,0.32839128,5.06783141,0.00263070,0.01976111,0.59534958
5.78989495,3.46741829,0.45096039,0.33341576,5.01431387,0.00264369,0.02018242,0.59903328
5.79589795,3.45039622,0.44728233,0.33709379,4.94121134,0.00264309,0.02051995,0.60033403
5.80190095,3.41929307,0.44134760,0.33941579,4.84980759,0.00262907,0.02077394,0.59931529
5.80790395,3.37495200,0.43334844,0.34039749,4.74175184,0.00260208,0.02094607,0.59608158
5.81390695,3.31846106,0.42351860,0.34007803,4.61901830,0.00256281,0.02103915,0.59077287
5.81990995,3.25111626,0.41212620,0.33851722,4.48385630,0.00251216,0.02105691,0.58355786
5.82591296,3.17437919,0.39946607,0.33579233,4.33873383,0.00245124,0.02100373,0.57462656
5.83191596,3.08983163,0.38585181,0.33199452,4.18627750,0.00238130,0.02088431,0.56418259
5.83791896,2.99912948,0.37160796,0.32722511,4.02921178,0.00230366,0.02070345,0.55243575
5.84392196,2.90395825,0.35706260,0.32159204,3.87030056,0.00221975,0.02046581,0.53959507
5.84992496,2.80599217,0.34254073,0.31520649,3.71229347,0.00213099,0.02017571,0.52586290
5.85592796,2.70685860,0.32835852,0.30818007,3.55787865,0.00203880,0.01983702,0.51143011
5.86193097,2.60810886,0.31481857,0.30062251,3.40964351,0.00194454,0.01945312,0.49647275
5.86793397,2.51119610,0.30220634,0.29263994,3.27004371,0.00184949,0.01902682,0.48115001
5.87393697,2.41746025,0.29078746,0.28433385,3.14138015,0.00175483,0.01856050,0.46560368
5.87993997,2.32811948,0.28080598,0.27580056,3.02578318,0.00166165,0.01805613,0.44995872
5.88594297,2.24426738,0.27248320,0.26713121,2.92520223,0.00157089,0.01751550,0.43432482
5.89194597,2.16687440,0.26601706,0.25841204,2.84139931,0.00148338,0.01694029,0.41879873
5.89794897,2.09679204,0.26158156,0.24972494,2.77594400,0.00139981,0.01633233,0.40346689
