energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.75379688,-1.53562218,0.00079614,-0.00225325,0.03193358,-0.09543332,0.20937439,-0.53780315,0.13433019,-0.14528218,0.30002023,-0.69160139,0.09889570,-0.20067271,0.42623769,-0.90927419,0.00000000,-0.00000000
-5.99399700,0.79099332,-1.51307338,0.00088211,-0.00198382,0.03092003,-0.09532877,0.22024248,-0.52717102,0.14315865,-0.14474410,0.30139439,-0.68984022,0.10558366,-0.19577938,0.45040139,-0.89473481,0.00000000,-0.00000000
-5.98799400,0.83303695,-1.48435503,0.00098728,-0.00175284,0.03002433,-0.09487148,0.23293244,-0.51419859,0.15274340,-0.14373779,0.30494115,-0.68483168,0.11324429,-0.19012922,0.47747582,-0.87639052,0.00000000,-0.00000000
-5.98199100,0.87978041,-1.45005852,0.00111246,-0.00155438,0.02925404,-0.09405472,0.24741177,-0.49913571,0.16306390,-0.14230952,0.31074889,-0.67667328,0.12186733,-0.18380158,0.50735935,-0.85464045,0.00000000,-0.00000000
-5.97598799,0.93104318,-1.41087900,0.00125866,-0.00138331,0.02861430,-0.09287902,0.26363013,-0.48226278,0.17409495,-0.14051779,0.31887308,-0.66550883,0.13143868,-0.17689079,0.53993009,-0.82994484,0.00000000,-0.00000000
-5.96998499,0.98660988,-1.36759615,0.00142709,-0.00123528,0.02810758,-0.09135203,0.28151725,-0.46388350,0.18580666,-0.13843171,0.32933247,-0.65152553,0.14193918,-0.16950309,0.57504479,-0.80281268,0.00000000,-0.00000000
-5.96398199,1.04622878,-1.32105327,0.00161914,-0.00110672,0.02773372,-0.08948816,0.30098117,-0.44431735,0.19816431,-0.13612907,0.34210610,-0.63495028,0.15334335,-0.16175322,0.61253780,-0.77378837,0.00000000,-0.00000000
-5.95797899,1.10961042,-1.27213559,0.00183631,-0.00099474,0.02748990,-0.08730816,0.32190688,-0.42389226,0.21112814,-0.13369417,0.35713126,-0.61604527,0.16561799,-0.15376110,0.65222017,-0.74343801,0.00000000,-0.00000000
-5.95197599,1.17642590,-1.22174821,0.00208023,-0.00089710,0.02737083,-0.08483843,0.34415538,-0.40293753,0.22465277,-0.13121541,0.37430237,-0.59510307,0.17872073,-0.14564841,0.69387857,-0.71233559,0.00000000,-0.00000000
-5.94597299,1.24630502,-1.17079445,0.00235252,-0.00081216,0.02736883,-0.08211039,0.36756318,-0.38177723,0.23868654,-0.12878275,0.39347085,-0.57244115,0.19259867,-0.13753541,0.73727422,-0.68104956,0.00000000,-0.00000000
-5.93996998,1.31883400,-1.12015506,0.00265479,-0.00073879,0.02747412,-0.07915954,0.39194233,-0.36072420,0.25317055,-0.12648513,0.41444578,-0.54839601,0.20718691,-0.12953795,0.78214167,-0.65013007,0.00000000,-0.00000000
