energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.60238038,-0.72882040,0.01288488,-0.01632222,0.02154768,-0.03051105,0.14999636,-0.18543827,0.22247660,-0.26430866,0.01852122,-0.01988932,0.31220895,-0.37189805
-5.99399700,0.56580696,-0.67601125,0.01190336,-0.01509643,0.01995559,-0.02737668,0.14246656,-0.17166923,0.20869808,-0.24588709,0.01742170,-0.01873083,0.29414134,-0.34632146
-5.98799400,0.53283082,-0.62645662,0.01095243,-0.01390259,0.01874212,-0.02466314,0.13642043,-0.15928964,0.19591092,-0.22828594,0.01633673,-0.01755987,0.27770888,-0.32212255
-5.98199100,0.50380811,-0.58056536,0.01003569,-0.01274760,0.01790360,-0.02236702,0.13196358,-0.14839580,0.18425360,-0.21166855,0.01528449,-0.01639516,0.26312245,-0.29954060
-5.97598799,0.47908650,-0.53872878,0.00915639,-0.01163737,0.01743740,-0.02048446,0.12920637,-0.13908682,0.17385831,-0.19618998,0.01428203,-0.01525511,0.25058693,-0.27880615
-5.96998499,0.45899761,-0.50131629,0.00831737,-0.01057686,0.01734172,-0.01901149,0.12826155,-0.13146371,0.16484816,-0.18199494,0.01334485,-0.01415726,0.24029693,-0.26013800
-5.96398199,0.44384963,-0.46867120,0.00752111,-0.00957008,0.01761543,-0.01794418,0.12924170,-0.12562827,0.15733454,-0.16921591,0.01248643,-0.01311783,0.23243265,-0.24374048
-5.95797899,0.43392007,-0.44110704,0.00676959,-0.00862018,0.01825773,-0.01727884,0.13225653,-0.12168204,0.15141463,-0.15797145,0.01171799,-0.01215139,0.22715590,-0.22980097
-5.95197599,0.42944895,-0.41890395,0.00606439,-0.00772941,0.01926777,-0.01701203,0.13740999,-0.11972496,0.14716930,-0.14836480,0.01104824,-0.01127046,0.22460658,-0.21848766
-5.94597299,0.43063263,-0.40230556,0.00540655,-0.00689922,0.02064416,-0.01714045,0.14479744,-0.11985406,0.14466128,-0.14048272,0.01048326,-0.01048535,0.22489950,-0.20994760
-5.93996998,0.43761825,-0.39151605,0.00479664,-0.00613026,0.02238450,-0.01766088,0.15450255,-0.12216182,0.14393383,-0.13439460,0.01002645,-0.00980397,0.22812171,-0.20430504
-5.93396698,0.45049906,-0.38669750,0.00423471,-0.00542247,0.02448477,-0.01856982,0.16659439,-0.12673449,0.14500972,-0.13015179,0.00967861,-0.00923179,0.23433036,-0.20165994
-5.92796398,0.46931050,-0.38796743,0.00372032,-0.00477513,0.02693880,-0.01986324,0.18112428,-0.13365012,0.14789069,-0.12778720,0.00943802,-0.00877181,0.24355102,-0.20208686
-5.92196098,0.49402713,-0.39539659,0.00325255,-0.00418687,0.02973768,-0.02153610,0.19812284,-0.14297639,0.15255730,-0.12731513,0.00930061,-0.00842462,0.25577656,-0.20563390
-5.91595798,0.52456037,-0.40900690,0.00283001,-0.00365580,0.03286923,-0.02358187,0.21759694,-0.15476825,0.15896914,-0.12873127,0.00926024,-0.00818855,0.27096645,-0.21232196
-5.90995498,0.56075702,-0.42876950,0.00245094,-0.00317956,0.03631753,-0.02599205,0.23952679,-0.16906530,0.16706541,-0.13201290,0.00930895,-0.00805983,0.28904656,-0.22214411
-5.90395198,0.60239853,-0.45460301,0.00211323,-0.00275537,0.04006242,-0.02875561,0.26386319,-0.18588904,0.17676577,-0.13711926,0.00943727,-0.00803274,0.30990925,-0.23506505
-5.89794897,0.64920093,-0.48637197,0.00181446,-0.00238013,0.04407924,-0.03185844,0.29052486,-0.20523989,0.18797140,-0.14399205,0.00963453,-0.00809994,0.33341388,-0.25102082
-5.89194597,0.70081545,-0.52388533,0.00155202,-0.00205049,0.04833857,-0.03528287,0.31939621,-0.22709421,0.20056634,-0.15255605,0.00988923,-0.00825262,0.35938755,-0.26991853
-5.88594297,0.75682980,-0.56689537,0.00132311,-0.00176293,0.05280610,-0.03900724,0.35032536,-0.25140126,0.21441890,-0.16271988,0.01018935,-0.00848085,0.38762614,-0.29163622
-5.87993997,0.81677007,-0.61509677,0.00112488,-0.00151385,0.05744268,-0.04300550,0.38312273,-0.27808021,0.22938318,-0.17437681,0.01052265,-0.00877379,0.41789557,-0.31602286
-5.87393697,0.88010344,-0.66812615,0.00095443,-0.00129960,0.06220454,-0.04724698,0.41756023,-0.30701744,0.24530075,-0.18740565,0.01087702,-0.00912001,0.44993334,-0.34289852
-5.86793397,0.94624151,-0.72556206,0.00080890,-0.00111658,0.06704356,-0.05169623,0.45337118,-0.33806414,0.26200231,-0.20167184,0.01124073,-0.00950773,0.48345029,-0.37205471
-5.86193097,1.01454468,-0.78692564,0.00068550,-0.00096127,0.07190784,-0.05631311,0.49025116,-0.37103433,0.27930943,-0.21702845,0.01160268,-0.00992509,0.51813269,-0.40325489
-5.85592796,1.08432738,-0.85168198,0.00058158,-0.00083032,0.07674230,-0.06105285,0.52785991,-0.40570364,0.29703634,-0.23331742,0.01195259,-0.01036038,0.55364474,-0.43623535
-5.84992496,1.15486447,-0.91924249,0.00049463,-0.00072054,0.08148954,-0.06586650,0.56582424,-0.44180882,0.31499182,-0.25037084,0.01228120,-0.01080227,0.58963142,-0.47070634
-5.84392196,1.22539885,-0.98896824,0.00042234,-0.00062897,0.08609078,-0.07070137,0.60374228,-0.47904820,0.33298115,-0.26801234,0.01258039,-0.01124002,0.62572190,-0.50635377
-5.83791896,1.29515038,-1.06017461,0.00036258,-0.00055289,0.09048688,-0.07550171,0.64118892,-0.51708332,0.35080821,-0.28605865,0.01284326,-0.01166365,0.66153356,-0.54284121
-5.83191596,1.36332620,-1.13213720,0.00031344,-0.00048984,0.09461954,-0.08020959,0.67772249,-0.55554170,0.36827771,-0.30432130,0.01306419,-0.01206406,0.69667658,-0.57981265
-5.82591296,1.42913238,-1.20409935,0.00027323,-0.00043761,0.09843252,-0.08476582,0.71289267,-0.59402094,0.38519765,-0.32260849,0.01323885,-0.01243320,0.73075926,-0.61689582
-5.81990995,1.49178701,-1.27528101,0.00024044,-0.00039427,0.10187285,-0.08911107,0.74624942,-0.63209422,0.40138191,-0.34072716,0.01336417,-0.01276411,0.76339403,-0.65370620
-5.81390695,1.55053433,-1.34488936,0.00021378,-0.00035813,0.10489204,-0.09318704,0.77735285,-0.66931700,0.41665313,-0.35848534,0.01343833,-0.01305100,0.79420414,-0.68985188
-5.80790395,1.60465999,-1.41213083,0.00019214,-0.00032777,0.10744731,-0.09693772,0.80578364,-0.70523513,0.43084575,-0.37569458,0.01346066,-0.01328926,0.82283089,-0.72493906
-5.80190095,1.65350682,-1.47622451,0.00017458,-0.00030198,0.10950261,-0.10031060,0.83115391,-0.73939393,0.44380923,-0.39217277,0.01343157,-0.01347550,0.84894141,-0.75857836
-5.79589795,1.69649095,-1.53641685,0.00016033,-0.00027977,0.11102957,-0.10325796,0.85311795,-0.77134833,0.45541142,-0.40774704,0.01335248,-0.01360749,0.87223667,-0.79039180
-5.78989495,1.73311774,-1.59199721,0.00014873,-0.00026034,0.11200825,-0.10573798,0.87138266,-0.80067354,0.46554202,-0.42225695,0.01322566,-0.01368413,0.89245965,-0.82002036
-5.78389195,1.76299691,-1.64231398,0.00013927,-0.00024307,0.11242776,-0.10771583,0.88571719,-0.82697614,0.47411589,-0.43555769,0.01305422,-0.01370541,0.90940328,-0.84713188
-5.77788894,1.78585645,-1.68679084,0.00013152,-0.00022747,0.11228649,-0.10916458,0.89596130,-0.84990511,0.48107643,-0.44752353,0.01284195,-0.01367230,0.92291796,-0.87142933
-5.77188594,1.80155462,-1.72494267,0.00012516,-0.00021320,0.11159230,-0.11006590,0.90203236,-0.86916242,0.48639846,-0.45805108,0.01259325,-0.01358673,0.93291832,-0.89265893
-5.76588294,1.81008951,-1.75639049,0.00011993,-0.00020001,0.11036232,-0.11041058,0.90393028,-0.88451281,0.49009089,-0.46706262,0.01231307,-0.01345146,0.93938887,-0.91061812
-5.75987994,1.81160568,-1.78087500,0.00011563,-0.00018774,0.10862253,-0.11019884,0.90174049,-0.89579235,0.49219870,-0.47450909,0.01200679,-0.01327003,0.94238831,-0.92516284
-5.75387694,1.80639732,-1.79826796,0.00011212,-0.00017629,0.10640719,-0.10944031,0.89563442,-0.90291533,0.49280431,-0.48037285,0.01168019,-0.01304666,0.94205210,-0.93621406
-5.74787394,1.79490766,-1.80858113,0.00010930,-0.00016562,0.10375792,-0.10815384,0.88586761,-0.90587934,0.49202804,-0.48466994,0.01133938,-0.01278618,0.93859321,-0.94376310
