energy_ev,total_up,Hg_p_up,Hg_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,3.15682854,1.31652101,0.56263054,0.07999985,0.33929780,1.22032098,0.00000000
-5.99399700,3.11313425,1.28785251,0.56051911,0.07177823,0.34389355,1.17206930,0.00000000
-5.98799400,3.06868295,1.25818817,0.55761348,0.06413838,0.34797768,1.12546809,0.00000000
-5.98199100,3.02223315,1.22748979,0.55365519,0.05707370,0.35138390,1.08026765,0.00000000
-5.97598799,2.97266036,1.19575481,0.54842200,0.05057342,0.35397130,1.03622440,0.00000000
-5.96998499,2.91899722,1.16302196,0.54173364,0.04462300,0.35562871,0.99311409,0.00000000
-5.96398199,2.86046735,1.12937541,0.53345630,0.03920456,0.35627807,0.95074305,0.00000000
-5.95797899,2.79651192,1.09494709,0.52350584,0.03429737,0.35587681,0.90895709,0.00000000
-5.95197599,2.72680783,1.05991717,0.51184946,0.02987837,0.35441894,0.86764807,0.00000000
-5.94597299,2.65127695,1.02451241,0.49850593,0.02592278,0.35193491,0.82675783,0.00000000
-5.93996998,2.57008628,0.98900250,0.48354419,0.02240465,0.34849030,0.78627952,0.00000000
-5.93396698,2.48363899,0.95369453,0.46708056,0.01929747,0.34418313,0.74625659,0.00000000
-5.92796398,2.39255717,0.91892574,0.44927451,0.01657480,0.33914029,0.70677942,0.00000000
-5.92196098,2.29765689,0.88505486,0.43032326,0.01421083,0.33351282,0.66798007,0.00000000
-5.91595798,2.19991725,0.85245267,0.41045534,0.01218093,0.32747066,0.63002550,0.00000000
-5.90995498,2.10044465,0.82149194,0.38992345,0.01046222,0.32119688,0.59310958,0.00000000
-5.90395198,2.00043426,0.79253763,0.36899693,0.00903395,0.31488169,0.55744448,0.00000000
-5.89794897,1.90113041,0.76593759,0.34795398,0.00787797,0.30871670,0.52325186,0.00000000
-5.89194597,1.80378779,0.74201447,0.32707420,0.00697905,0.30288945,0.49075428,0.00000000
-5.88594297,1.70963505,0.72105910,0.30663146,0.00632511,0.29757871,0.46016726,0.00000000
-5.87993997,1.61984234,0.70332572,0.28688756,0.00590742,0.29295045,0.43169233,0.00000000
-5.87393697,1.53549386,0.68902923,0.26808674,0.00572065,0.28915497,0.40551123,0.00000000
-5.86793397,1.45756602,0.67834439,0.25045123,0.00576283,0.28632491,0.38178160,0.00000000
-5.86193097,1.38691182,0.67140687,0.23417787,0.00603521,0.28457432,0.36063389,0.00000000
-5.85592796,1.32425101,0.66831579,0.21943581,0.00654202,0.28399859,0.34216980,0.00000000
-5.84992496,1.27016575,0.66913732,0.20636525,0.00729002,0.28467512,0.32646176,0.00000000
-5.84392196,1.22510090,0.67390871,0.19507700,0.00828805,0.28666451,0.31355347,0.00000000
-5.83791896,1.18936773,0.68264219,0.18565279,0.00954633,0.29001187,0.30346105,0.00000000
-5.83191596,1.16315007,0.69532811,0.17814612,0.01107573,0.29474821,0.29617462,0.00000000
-5.82591296,1.14651144,0.71193664,0.17258337,0.01288690,0.30089140,0.29165994,0.00000000
-5.81990995,1.13940215,0.73241775,0.16896513,0.01498928,0.30844665,0.28985982,0.00000000
-5.81390695,1.14166522,0.75669894,0.16726738,0.01739013,0.31740618,0.29069516,0.00000000
-5.80790395,1.15304067,0.78468077,0.16744265,0.02009343,0.32774817,0.29406537,0.00000000
-5.80190095,1.17316753,0.81623029,0.16942088,0.02309888,0.33943485,0.29984819,0.00000000
-5.79589795,1.20158387,0.85117259,0.17311008,0.02640092,0.35240986,0.30789894,0.00000000
-5.78989495,1.23772496,0.88928132,0.17839679,0.02998781,0.36659512,0.31804929,0.00000000
-5.78389195,1.28092052,0.93026859,0.18514651,0.03384102,0.38188747,0.33010586,0.00000000
-5.77788894,1.33039199,0.97377559,0.19320412,0.03793466,0.39815545,0.34384880,0.00000000
-5.77188594,1.38525090,1.01936464,0.20239456,0.04223532,0.41523652,0.35903085,0.00000000
-5.76588294,1.44449988,1.06651375,0.21252393,0.04670214,0.43293526,0.37537708,0.00000000
-5.75987994,1.50703724,1.11461480,0.22338116,0.05128725,0.45102288,0.39258575,0.00000000
-5.75387694,1.57166643,1.16297596,0.23474038,0.05593657,0.46923827,0.41033045,0.00000000
-5.74787394,1.63711103,1.21082892,0.24636419,0.06059096,0.48729096,0.42826388,0.00000000
