energy_ev,total_up,Al_p_up,Al_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,4.13984452,1.02827745,0.00000000,1.42372610,2.40400278,1.01476371,0.00000000
-5.99399700,4.18517218,1.03894220,0.00000000,1.45602553,2.40652972,1.05019171,0.00000000
-5.98799400,4.23967715,1.05039517,0.00000000,1.49167313,2.41330254,1.08936848,0.00000000
-5.98199100,4.30344908,1.06248596,0.00000000,1.53080317,2.42450546,1.13215330,0.00000000
-5.97598799,4.37652669,1.07508361,0.00000000,1.57350522,2.44031351,1.17838239,0.00000000
-5.96998499,4.45892795,1.08808711,0.00000000,1.61983290,2.46090821,1.22787986,0.00000000
-5.96398199,4.55068216,1.10143560,0.00000000,1.66981439,2.48649368,1.28046888,0.00000000
-5.95797899,4.65186080,1.11511717,0.00000000,1.72346365,2.51731152,1.33598236,0.00000000
-5.95197599,4.76260359,1.12917558,0.00000000,1.78079094,2.55365242,1.39427206,0.00000000
-5.94597299,4.88313666,1.14371416,0.00000000,1.84181141,2.59586313,1.45521518,0.00000000
-5.93996998,5.01378022,1.15889620,0.00000000,1.90655056,2.64434720,1.51871788,0.00000000
-5.93396698,5.15494373,1.17494149,0.00000000,1.97504551,2.69955892,1.58471486,0.00000000
-5.92796398,5.30710761,1.19211900,0.00000000,2.04734153,2.76198984,1.65316496,0.00000000
-5.92196098,5.47079140,1.21073561,0.00000000,2.12348345,2.83214834,1.72404252,0.00000000
-5.91595798,5.64650969,1.23112156,0.00000000,2.20350204,2.91053287,1.79732497,0.00000000
-5.90995498,5.83471775,1.25361302,0.00000000,2.28739596,2.99760040,1.87297712,0.00000000
-5.90395198,6.03575018,1.27853294,0.00000000,2.37511027,3.09373189,1.95093318,0.00000000
-5.89794897,6.24975635,1.30617097,0.00000000,2.46651272,3.19919689,2.03107750,0.00000000
-5.89194597,6.47663705,1.33676387,0.00000000,2.56136968,3.31411969,2.11322552,0.00000000
-5.88594297,6.71598695,1.37047733,0.00000000,2.65932332,3.43844949,2.19710620,0.00000000
-5.87993997,6.96704726,1.40739054,0.00000000,2.75987212,3.57193662,2.28234748,0.00000000
-5.87393697,7.22867262,1.44748435,0.00000000,2.86235652,3.71411691,2.36846601,0.00000000
-5.86793397,7.49931531,1.49063393,0.00000000,2.96595120,3.86430539,2.45486222,0.00000000
-5.86193097,7.77702910,1.53660626,0.00000000,3.06966547,4.02160024,2.54082165,0.00000000
-5.85592796,8.05949337,1.58506288,0.00000000,3.17235251,4.18489698,2.62552291,0.00000000
-5.84992496,8.34405730,1.63556765,0.00000000,3.27272770,4.35291231,2.70805232,0.00000000
-5.84392196,8.62780226,1.68759918,0.00000000,3.36939589,4.52421626,2.78742476,0.00000000
-5.83791896,8.90761933,1.74056708,0.00000000,3.46088663,4.69727081,2.86261004,0.00000000
-5.83191596,9.18029795,1.79383132,0.00000000,3.54569604,4.87047266,2.93256353,0.00000000
-5.82591296,9.44262087,1.84672332,0.00000000,3.62233332,5.04219743,2.99625950,0.00000000
-5.81990995,9.69146029,1.89856779,0.00000000,3.68936986,5.21084285,3.05272557,0.00000000
-5.81390695,9.92386968,1.94870393,0.00000000,3.74548831,5.37486821,3.10107652,0.00000000
-5.80790395,10.13716683,1.99650496,0.00000000,3.78952938,5.53282795,3.14054563,0.00000000
-5.80190095,10.32900354,2.04139498,0.00000000,3.82053377,5.68339789,3.17051200,0.00000000
-5.79589795,10.49741916,2.08286247,0.00000000,3.83777734,5.82539284,3.19052271,0.00000000
-5.78989495,10.64087580,2.12046979,0.00000000,3.84079774,5.95777547,3.20030847,0.00000000
-5.78389195,10.75827476,2.15385877,0.00000000,3.82941139,6.07965681,3.19979263,0.00000000
-5.77788894,10.84895488,2.18275233,0.00000000,3.80372016,6.19028951,3.18909301,0.00000000
-5.77188594,10.91267472,2.20695248,0.00000000,3.76410771,6.28905556,3.16851706,0.00000000
-5.76588294,10.94958146,2.22633557,0.00000000,3.71122610,6.37545062,3.13855086,0.00000000
-5.75987994,10.96017030,2.24084533,0.00000000,3.64597363,6.44906711,3.09984287,0.00000000
-5.75387694,10.94523826,2.25048470,0.00000000,3.56946536,6.50957868,3.05318363,0.00000000
-5.74787394,10.90583648,2.25530733,0.00000000,3.48299799,6.55672792,2.99948267,0.00000000
-5.74187094,10.84322471,2.25540961,0.00000000,3.38801105,6.59031922,2.93974382,0.00000000
-5.73586793,10.75883117,2.25092389,0.00000000,3.28604614,6.61021785,2.87504025,0.00000000
-5.72986493,10.65421991,2.24201344,0.00000000,3.17870621,6.61635594,2.80649011,0.00000000
-5.72386193,10.53106707,2.22886952,0.00000000,3.06761621,6.60874501,2.73523384,0.00000000
-5.71785893,10.39114615,2.21171047,0.00000000,2.95438670,6.58749438,2.66241358,0.00000000
-5.71185593,10.23632169,2.19078298,0.00000000,2.84058125,6.55283395,2.58915499,0.00000000
-5.70585293,10.06854966,2.16636483,0.00000000,2.72768832,6.50513939,2.51655186,0.00000000
-5.69984992,9.88988239,2.13876893,0.00000000,2.61709811,6.44495758,2.44565306,0.00000000
-5.69384692,9.70247535,2.10834782,0.00000000,2.51008421,6.37302986,2.37745189,0.00000000
-5.68784392,9.50859315,2.07549813,0.00000000,2.40779016,6.29031084,2.31287728,0.00000000
-5.68184092,9.31061208,2.04066420,0.00000000,2.31122029,6.19798076,2.25278665,0.00000000
-5.67583792,9.11101690,2.00434038,0.00000000,2.22123467,6.09744955,2.19795983,0.00000000
-5.66983492,8.91239034,1.96707146,0.00000000,2.13854728,5.99035170,2.14909397,0.00000000
-5.66383192,8.71739413,1.92945080,0.00000000,2.06372728,5.87853112,2.10679892,0.00000000
-5.65782891,8.52874124,1.89211610,0.00000000,1.99720247,5.76401614,2.07159323,0.00000000
-5.65182591,8.34915982,1.85574249,0.00000000,1.93926474,5.64898523,2.04390036,0.00000000
-5.64582291,8.18134962,1.82103324,0.00000000,1.89007689,5.53572440,2.02404539,0.00000000
-5.63981991,8.02793246,1.78870817,0.00000000,1.84968060,5.42657797,2.01225218,0.00000000
-5.63381691,7.89139853,1.75949001,0.00000000,1.81800514,5.32389422,2.00864096,0.00000000
-5.62781391,7.77405039,1.73408920,0.00000000,1.79487649,5.22996803,2.01322668,0.00000000
-5.62181091,7.67794685,1.71318750,0.00000000,1.78002672,5.14698244,2.02591796,0.00000000
-5.61580790,7.60484854,1.69742086,0.00000000,1.77310332,5.07695100,2.04651686,0.00000000
-5.60980490,7.55616702,1.68736203,0.00000000,1.77367824,5.02166273,2.07471937,0.00000000
