energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,2.42159996,0.02569191,0.05252820,0.01755075,0.00000000,0.71936350,0.74971669,0.00886522,1.47210647
-5.99399700,2.35556271,0.02659263,0.05059341,0.01717175,0.00000000,0.69768571,0.72286080,0.00889976,1.43538675
-5.98799400,2.29068433,0.02747577,0.04870689,0.01676554,0.00000000,0.67689271,0.69670110,0.00891543,1.39902918
-5.98199100,2.22784876,0.02833392,0.04687090,0.01633302,0.00000000,0.65712032,0.67173504,0.00891064,1.36348288
-5.97598799,2.16789852,0.02916068,0.04508732,0.01587541,0.00000000,0.63848675,0.64843579,0.00888460,1.32917505
-5.96998499,2.11162790,0.02995080,0.04335829,0.01539443,0.00000000,0.62109608,0.62724434,0.00883735,1.29650828
-5.96398199,2.05977533,0.03070042,0.04168672,0.01489230,0.00000000,0.60504095,0.60856202,0.00876988,1.26585734
-5.95797899,2.01301487,0.03140714,0.04007669,0.01437187,0.00000000,0.59040436,0.59274373,0.00868406,1.23756526
-5.95197599,1.97194642,0.03207002,0.03853371,0.01383654,0.00000000,0.57726017,0.58009170,0.00858271,1.21193853
-5.94597299,1.93708497,0.03268952,0.03706477,0.01329028,0.00000000,0.56567252,0.57085011,0.00846943,1.18924162
-5.93996998,1.90884909,0.03326737,0.03567825,0.01273753,0.00000000,0.55569401,0.56520043,0.00834853,1.16969092
-5.93396698,1.88754918,0.03380638,0.03438365,0.01218311,0.00000000,0.54736294,0.56325780,0.00822488,1.15344841
-5.92796398,1.87337638,0.03431010,0.03319126,0.01163206,0.00000000,0.54069989,0.56506844,0.00810372,1.14061566
-5.92196098,1.86639283,0.03478262,0.03211159,0.01108954,0.00000000,0.53570401,0.57060839,0.00799045,1.13122851
-5.91595798,1.86652424,0.03522812,0.03115495,0.01056062,0.00000000,0.53234936,0.57978362,0.00789047,1.12525307
-5.90995498,1.87355579,0.03565062,0.03033076,0.01005015,0.00000000,0.53058185,0.59243179,0.00780890,1.12258352
-5.90395198,1.88713203,0.03605362,0.02964712,0.00956262,0.00000000,0.53031695,0.60832566,0.00775046,1.12304222
-5.89794897,1.90676159,0.03643984,0.02911024,0.00910206,0.00000000,0.53143880,0.62717830,0.00771923,1.12638248
