energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.22965247,0.00000001,0.01114519,0.00005124,0.11874885,0.03324513,0.03445399
-5.99399700,0.23307734,0.00000002,0.01131131,0.00005201,0.12052007,0.03374242,0.03496766
-5.98799400,0.23485779,0.00000003,0.01139757,0.00005241,0.12144111,0.03400233,0.03523456
-5.98199100,0.23495705,0.00000004,0.01140219,0.00005244,0.12149302,0.03401982,0.03524914
-5.97598799,0.23337508,0.00000005,0.01132512,0.00005211,0.12067583,0.03379523,0.03501135
-5.96998499,0.23014866,0.00000007,0.01116813,0.00005141,0.11900867,0.03333437,0.03452668
-5.96398199,0.22535044,0.00000010,0.01093471,0.00005037,0.11652921,0.03264838,0.03380596
-5.95797899,0.21908661,0.00000015,0.01062995,0.00004901,0.11329252,0.03175347,0.03286502
-5.95197599,0.21149364,0.00000020,0.01026039,0.00004737,0.10936936,0.03067049,0.03172425
-5.94597299,0.20273406,0.00000028,0.00983385,0.00004549,0.10484404,0.02942438,0.03040787
-5.93996998,0.19299161,0.00000038,0.00935911,0.00004341,0.09981192,0.02804356,0.02894327
-5.93396698,0.18246598,0.00000052,0.00884571,0.00004120,0.09437667,0.02655924,0.02736019
-5.92796398,0.17136738,0.00000071,0.00830368,0.00003890,0.08864753,0.02500476,0.02568986
-5.92196098,0.15991126,0.00000095,0.00774321,0.00003657,0.08273658,0.02341492,0.02396424
-5.91595798,0.14831333,0.00000127,0.00717450,0.00003428,0.07675620,0.02182543,0.02221525
-5.90995498,0.13678516,0.00000168,0.00660745,0.00003210,0.07081679,0.02027236,0.02047408
-5.90395198,0.12553047,0.00000221,0.00605152,0.00003009,0.06502494,0.01879179,0.01877063
-5.89794897,0.11474229,0.00000288,0.00551557,0.00002832,0.05948191,0.01741952,0.01713307
-5.89194597,0.10460085,0.00000373,0.00500772,0.00002686,0.05428264,0.01619093,0.01558750
-5.88594297,0.09527251,0.00000479,0.00453535,0.00002579,0.04951516,0.01514095,0.01415780
-5.87993997,0.08690929,0.00000612,0.00410501,0.00002518,0.04526041,0.01430406,0.01286552
-5.87393697,0.07964918,0.00000776,0.00372247,0.00002511,0.04159239,0.01371443,0.01172993
-5.86793397,0.07361691,0.00000976,0.00339275,0.00002567,0.03857857,0.01340605,0.01076815
-5.86193097,0.06892509,0.00001220,0.00312016,0.00002693,0.03628044,0.01341280,0.00999529
-5.85592796,0.06567537,0.00001513,0.00290837,0.00002898,0.03475415,0.01376853,0.00942470
-5.84992496,0.06395959,0.00001863,0.00276052,0.00003192,0.03405098,0.01450694,0.00906809
-5.84392196,0.06386057,0.00002278,0.00267921,0.00003582,0.03421776,0.01566142,0.00893573
-5.83791896,0.06545244,0.00002765,0.00266662,0.00004079,0.03529688,0.01726457,0.00903656
-5.83191596,0.06880036,0.00003333,0.00272448,0.00004692,0.03732612,0.01934762,0.00937816
-5.82591296,0.07395948,0.00003988,0.00285409,0.00005427,0.04033790,0.02193954,0.00996669
-5.81990995,0.08097318,0.00004737,0.00305630,0.00006293,0.04435826,0.02506600,0.01080671
-5.81390695,0.08987050,0.00005587,0.00333140,0.00007297,0.04940536,0.02874803,0.01190088
-5.80790395,0.10066298,0.00006542,0.00367909,0.00008442,0.05548766,0.03300059,0.01324960
-5.80190095,0.11334091,0.00007605,0.00409832,0.00009732,0.06260174,0.03783097,0.01485055
-5.79589795,0.12786928,0.00008777,0.00458721,0.00011167,0.07073006,0.04323712,0.01669816
-5.78989495,0.14418364,0.00010058,0.00514286,0.00012744,0.07983864,0.04920611,0.01878312
-5.78389195,0.16218621,0.00011443,0.00576125,0.00014457,0.08987482,0.05571258,0.02109190
-5.77788894,0.18174248,0.00012924,0.00643714,0.00016297,0.10076540,0.06271752,0.02360627
-5.77188594,0.20267862,0.00014493,0.00716395,0.00018250,0.11241520,0.07016738,0.02630302
-5.76588294,0.22478013,0.00016135,0.00793373,0.00020299,0.12470632,0.07799353,0.02915374
-5.75987994,0.24779180,0.00017835,0.00873715,0.00022422,0.13749806,0.08611234,0.03212483
-5.75387694,0.27141931,0.00019572,0.00956356,0.00024595,0.15062793,0.09442577,0.03517771
-5.74787394,0.29533269,0.00021324,0.01040108,0.00026788,0.16391345,0.10282263,0.03826926
-5.74187094,0.31917143,0.00023066,0.01123683,0.00028970,0.17715511,0.11118045,0.04135245
-5.73586793,0.34255148,0.00024772,0.01205711,0.00031107,0.19014023,0.11936799,0.04437727
-5.72986493,0.36507380,0.00026413,0.01284776,0.00033164,0.20264771,0.12724827,0.04729183
-5.72386193,0.38633433,0.00027960,0.01359442,0.00035105,0.21445357,0.13468216,0.05004360
