energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.53366658,0.45313726,0.59079890,0.00203855,0.03504731,0.01202194,0.76533235,0.25041580,0.08325841
-5.99399700,1.58391785,0.47328143,0.60947497,0.00222617,0.03367911,0.01119983,0.79541349,0.26208095,0.08644017
-5.98799400,1.64435739,0.49624233,0.63150451,0.00241521,0.03274750,0.01046172,0.83049362,0.27557736,0.09039697
-5.98199100,1.71423833,0.52168491,0.65658972,0.00260304,0.03227567,0.00981101,0.87013496,0.29076570,0.09511144
-5.97598799,1.79258909,0.54921180,0.68434985,0.00278689,0.03228186,0.00924872,0.91378783,0.30747165,0.10055339
-5.96998499,1.87824577,0.57837481,0.71433439,0.00296384,0.03277968,0.00877370,0.96080728,0.32549106,0.10668094
-5.96398199,1.96988855,0.60868757,0.74603808,0.00313102,0.03377845,0.00838293,1.01047171,0.34459549,0.11344171
-5.95797899,2.06608060,0.63963880,0.77891702,0.00328557,0.03528341,0.00807172,1.06200301,0.36453802,0.12077416
-5.95197599,2.16530810,0.67070571,0.81240522,0.00342483,0.03729588,0.00783413,1.11458716,0.38505916,0.12860888
-5.94597299,2.26601964,0.70136707,0.84593101,0.00354634,0.03981315,0.00766316,1.16739477,0.40589245,0.13686993
-5.93996998,2.36666396,0.73111566,0.87893251,0.00364800,0.04282836,0.00755115,1.21960081,0.42676984,0.14547609
-5.93396698,2.46572453,0.75946949,0.91087181,0.00372805,0.04633021,0.00748997,1.27040290,0.44742648,0.15434207
-5.92796398,2.56175019,0.78598164,0.94124722,0.00378520,0.05030253,0.00747132,1.31903767,0.46760490,0.16337957
-5.92196098,2.65338110,0.81024843,0.96960333,0.00381861,0.05472392,0.00748696,1.36479475,0.48705857,0.17249832
-5.91595798,2.73936961,0.83191573,0.99553875,0.00382796,0.05956721,0.00752881,1.40702821,0.50555469,0.18160707
-5.90995498,2.81859587,0.85068339,1.01871124,0.00381342,0.06479917,0.00758918,1.44516530,0.52287633,0.19061439
-5.90395198,2.89007850,0.86630777,1.03884059,0.00377565,0.07038023,0.00766086,1.47871244,0.53882401,0.19942963
-5.89794897,2.95298065,0.87860258,1.05570914,0.00371576,0.07626440,0.00773715,1.50725875,0.55321674,0.20796379
-5.89194597,3.00661215,0.88743811,1.06916055,0.00363526,0.08239950,0.00781198,1.53047735,0.56589270,0.21613043
-5.88594297,3.05042854,0.89273916,1.07909691,0.00353602,0.08872759,0.00787989,1.54812474,0.57670972,0.22384674
-5.87993997,3.08402788,0.89448204,1.08547478,0.00342019,0.09518580,0.00793605,1.56003865,0.58554565,0.23103461
-5.87393697,3.10714614,0.89269071,1.08830065,0.00329010,0.10170742,0.00797629,1.56613498,0.59229884,0.23762188
-5.86793397,3.11965207,0.88743269,1.08762598,0.00314820,0.10822339,0.00799705,1.56640395,0.59688865,0.24354367
-5.86193097,3.12154211,0.87881481,1.08354257,0.00299702,0.11466394,0.00799537,1.56090612,0.59925630,0.24874380
-5.85592796,3.11293597,0.86697899,1.07617817,0.00283901,0.12096060,0.00796892,1.54976833,0.59936589,0.25317625
-5.84992496,3.09407289,0.85209851,1.06569280,0.00267658,0.12704826,0.00791593,1.53317993,0.59720565,0.25680660
-5.84392196,3.06530892,0.83437451,1.05227571,0.00251194,0.13286726,0.00783522,1.51138934,0.59278930,0.25961340
-5.83791896,3.02711465,0.81403310,1.03614318,0.00234716,0.13836555,0.00772618,1.48470092,0.58615746,0.26158940
-5.83191596,2.98007342,0.79132284,1.01753672,0.00218405,0.14350051,0.00758874,1.45347202,0.57737893,0.26274253
-5.82591296,2.92487903,0.76651258,0.99672192,0.00202419,0.14824065,0.00742338,1.41811017,0.56655167,0.26309653
-5.81990995,2.86233273,0.73988955,0.97398736,0.00186891,0.15256685,0.00723112,1.37907003,0.55380329,0.26269128
-5.81390695,2.79333865,0.71175758,0.94964357,0.00171928,0.15647322,0.00701349,1.33684996,0.53929096,0.26158255
-5.80790395,2.71889711,0.68243516,0.92402169,0.00157616,0.15996738,0.00677252,1.29198790,0.52320051,0.25984142
-5.80190095,2.64009555,0.65225334,0.89747166,0.00144015,0.16307029,0.00651069,1.24505644,0.50574467,0.25755308
-5.79589795,2.55809667,0.62155326,0.87035979,0.00131169,0.16581552,0.00623091,1.19665693,0.48716043,0.25481524
-5.78989495,2.47412378,0.59068327,0.84306558,0.00119104,0.16824806,0.00593646,1.14741247,0.46770546,0.25173612
-5.78389195,2.38944368,0.55999548,0.81597784,0.00107831,0.17042270,0.00563093,1.09796005,0.44765366,0.24843199
-5.77788894,2.30534731,0.52984196,0.78949021,0.00097349,0.17240207,0.00531815,1.04894172,0.42729012,0.24502457
-5.77188594,2.22312902,0.50057047,0.76399611,0.00087651,0.17425448,0.00500215,1.00099523,0.40690537,0.24163819
-5.76588294,2.14406497,0.47251983,0.73988347,0.00078721,0.17605169,0.00468705,0.95474426,0.38678953,0.23839701
-5.75987994,2.06939185,0.44601526,0.71752938,0.00070538,0.17786666,0.00437699,0.91078875,0.36722614,0.23542228
-5.75387694,2.00028649,0.42136362,0.69729497,0.00063081,0.17977152,0.00407608,0.86969552,0.34848646,0.23282983
-5.74787394,1.93784746,0.39884884,0.67952071,0.00056325,0.18183576,0.00378833,0.83198968,0.33082395,0.23072792
-5.74187094,1.88307926,0.37872777,0.66452238,0.00050244,0.18412479,0.00351756,0.79814702,0.31446961,0.22921540
-5.73586793,1.83687959,0.36122643,0.65258784,0.00044814,0.18669894,0.00326739,0.76858774,0.29962810,0.22838048
-5.72986493,1.80003027,0.34653697,0.64397464,0.00040010,0.18961288,0.00304117,0.74367164,0.28647491,0.22829981
-5.72386193,1.77319161,0.33481527,0.63890852,0.00035807,0.19291549,0.00284197,0.72369484,0.27515459,0.22903813
-5.71785893,1.75690030,0.32617936,0.63758265,0.00032183,0.19665017,0.00267255,0.70888804,0.26578020,0.23064835
-5.71185593,1.75157034,0.32070850,0.64015758,0.00029113,0.20085545,0.00253533,0.69941622,0.25843377,0.23317191
-5.70585293,1.75749642,0.31844305,0.64676149,0.00026573,0.20556599,0.00243244,0.69537957,0.25316783,0.23663953
-5.69984992,1.77485917,0.31938490,0.65749074,0.00024541,0.21081357,0.00236567,0.69681537,0.25000781,0.24107201
-5.69384692,1.80373126,0.32349851,0.67241025,0.00022991,0.21662828,0.00233649,0.70370063,0.24895511,0.24648118
-5.68784392,1.84408382,0.33071223,0.69155363,0.00021898,0.22303957,0.00234608,0.71595508,0.24999066,0.25287075
-5.68184092,1.89579216,0.34092005,0.71492278,0.00021237,0.23007714,0.00239527,0.73344424,0.25307871,0.26023698
-5.67583792,1.95864037,0.35398346,0.74248687,0.00020980,0.23777151,0.00248461,0.75598241,0.25817071,0.26856922
-5.66983492,2.03232423,0.36973341,0.77418056,0.00021097,0.24615429,0.00261433,0.78333526,0.26520896,0.27784999
-5.66383192,2.11645227,0.38797226,0.80990164,0.00021559,0.25525799,0.00278433,0.81522200,0.27412988,0.28805493
-5.65782891,2.21054492,0.40847585,0.84950810,0.00022333,0.26511537,0.00299416,0.85131704,0.28486689,0.29915225
-5.65182591,2.31403197,0.43099542,0.89281479,0.00023385,0.27575843,0.00324301,0.89125129,0.29735252,0.31110199
-5.64582291,2.42624896,0.45525965,0.93959019,0.00024681,0.28721693,0.00352968,0.93461309,0.31152003,0.32385503
-5.63981991,2.54643296,0.48097679,0.98955329,0.00026184,0.29951660,0.00385258,0.98094916,0.32730424,0.33735192
-5.63381691,2.67371868,0.50783697,1.04237129,0.00027858,0.31267717,0.00420969,1.02976572,0.34464186,0.35152173
-5.62781391,2.80713580,0.53551481,1.09765825,0.00029665,0.32671027,0.00459856,1.08053010,0.36347124,0.36628096
-5.62181091,2.94560828,0.56367238,1.15497512,0.00031568,0.34161731,0.00501631,1.13267314,0.38373171,0.38153264
-5.61580790,3.08795677,0.59196269,1.21383146,0.00033530,0.35738762,0.00545967,1.18559269,0.40536268,0.39716588
-5.60980490,3.23290446,0.62003360,1.27368907,0.00035514,0.37399682,0.00592499,1.23865836,0.42830258,0.41305577
-5.60380190,3.37908721,0.64753236,1.33396753,0.00037487,0.39140561,0.00640832,1.29121774,0.45248778,0.42906393
-5.59779890,3.52506803,0.67411063,1.39405178,0.00039415,0.40955918,0.00690543,1.34260409,0.47785163,0.44503961
-5.59179590,3.66935597,0.69942992,1.45330152,0.00041271,0.42838705,0.00741196,1.39214556,0.50432363,0.46082151
-5.58579290,3.81042901,0.72316739,1.51106221,0.00043028,0.44780367,0.00792351,1.43917560,0.53182881,0.47624023
-5.57978989,3.94676045,0.74502177,1.56667737,0.00044662,0.46770949,0.00843571,1.48304452,0.56028732,0.49112134
-5.57378689,4.07684786,0.76471923,1.61950162,0.00046156,0.48799271,0.00894440,1.52313173,0.58961409,0.50528896
-5.56778389,4.19924341,0.78201895,1.66891410,0.00047494,0.50853134,0.00944572,1.55885822,0.61971862,0.51856972
-5.56178089,4.31258451,0.79671818,1.71433165,0.00048668,0.52919570,0.00993624,1.58969894,0.65050463,0.53079699
-5.55577789,4.41562324,0.80865648,1.75522129,0.00049670,0.54985103,0.01041303,1.61519444,0.68186959,0.54181517
-5.54977489,4.50725347,0.81771898,1.79111141,0.00050499,0.57036012,0.01087380,1.63496140,0.71370395,0.55148387
-5.54377189,4.58653426,0.82383850,1.82160144,0.00051157,0.59058581,0.01131692,1.64870152,0.74589000,0.55968170
-5.53776888,4.65270873,0.82699625,1.84636947,0.00051649,0.61039324,0.01174148,1.65620848,0.77830031,0.56630973
-5.53176588,4.70521746,0.82722130,1.86517767,0.00051983,0.62965162,0.01214727,1.65737259,0.81079589,0.57129415
-5.52576288,4.74370616,0.82458858,1.87787554,0.00052170,0.64823562,0.01253479,1.65218301,0.84322396,0.57458824
-5.51975988,4.76802735,0.81921560,1.88440075,0.00052220,0.66602624,0.01290521,1.64072745,0.87541570,0.57617355
-5.51375688,4.77823628,0.81125812,1.88477797,0.00052149,0.68291127,0.01326023,1.62318935,0.90718401,0.57606013
-5.50775388,4.77458176,0.80090476,1.87911576,0.00051968,0.69878536,0.01360210,1.59984279,0.93832181,0.57428593
-5.50175088,4.75749249,0.78837104,1.86760180,0.00051693,0.71354985,0.01393340,1.57104527,0.96860095,0.57091544
-5.49574787,4.72756013,0.77389297,1.85049694,0.00051335,0.72711256,0.01425703,1.53722872,0.99777216,0.56603758
-5.48974487,4.68551993,0.75772054,1.82812829,0.00050909,0.73938766,0.01457604,1.49888922,1.02556648,0.55976302
-5.48374187,4.63223029,0.74011148,1.80088178,0.00050423,0.75029578,0.01489354,1.45657563,1.05169809,0.55222117
-5.47773887,4.56865218,0.72132540,1.76919439,0.00049890,0.75976463,0.01521264,1.41087775,1.07586911,0.54355675
-5.47173587,4.49582930,0.70161862,1.73354644,0.00049316,0.76772998,0.01553631,1.36241428,1.09777607,0.53392638
