energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.42486139,0.14533581,0.00000000,0.00438716,0.10575572,0.09596089,0.10966147
-5.99399700,0.44430269,0.15179500,0.00000000,0.00440139,0.11117879,0.09890933,0.11436503
-5.98799400,0.46437819,0.15840772,0.00000000,0.00439696,0.11687366,0.10164448,0.11918870
-5.98199100,0.48491203,0.16513036,0.00000000,0.00437611,0.12276879,0.10418759,0.12412502
-5.97598799,0.50573671,0.17192481,0.00000000,0.00434180,0.12879026,0.10657155,0.12917469
-5.96998499,0.52670168,0.17876106,0.00000000,0.00429771,0.13486456,0.10884124,0.13434849
-5.96398199,0.54768217,0.18561988,0.00000000,0.00424817,0.14092141,0.11105363,0.13966891
-5.95797899,0.56858757,0.19249522,0.00000000,0.00419809,0.14689669,0.11327764,0.14517168
-5.95197599,0.58936929,0.19939638,0.00000000,0.00415286,0.15273526,0.11559369,0.15090687
-5.94597299,0.61002728,0.20634979,0.00000000,0.00411829,0.15839360,0.11809291,0.15693952
-5.93996998,0.63061500,0.21340005,0.00000000,0.00410044,0.16384200,0.12087594,0.16334967
-5.93396698,0.65124211,0.22061029,0.00000000,0.00410552,0.16906633,0.12405132,0.17023167
-5.92796398,0.67207462,0.22806160,0.00000000,0.00413971,0.17406904,0.12773338,0.17769267
-5.92196098,0.69333190,0.23585138,0.00000000,0.00420905,0.17886955,0.13203963,0.18585008
-5.91595798,0.71528055,0.24409064,0.00000000,0.00431925,0.18350361,0.13708768,0.19482822
-5.90995498,0.73822475,0.25290008,0.00000000,0.00447553,0.18802189,0.14299162,0.20475387
-5.90395198,0.76249345,0.26240516,0.00000000,0.00468242,0.19248758,0.14985801,0.21575101
-5.89794897,0.78842457,0.27273018,0.00000000,0.00494363,0.19697323,0.15778153,0.22793478
-5.89194597,0.81634673,0.28399155,0.00000000,0.00526185,0.20155676,0.16684045,0.24140489
-5.88594297,0.84655940,0.29629067,0.00000000,0.00563862,0.20631705,0.17709208,0.25623878
-5.87993997,0.87931233,0.30970659,0.00000000,0.00607417,0.21132902,0.18856845,0.27248477
-5.87393697,0.91478539,0.32428900,0.00000000,0.00656730,0.21665880,0.20127236,0.29015573
-5.86793397,0.95307008,0.34005184,0.00000000,0.00711533,0.22235899,0.21517426,0.30922352
-5.86193097,0.99415388,0.35696814,0.00000000,0.00771400,0.22846444,0.23021003,0.32961475
-5.85592796,1.03790874,0.37496636,0.00000000,0.00835754,0.23498889,0.24627996,0.35120809
-5.84992496,1.08408461,0.39392868,0.00000000,0.00903866,0.24192252,0.26324922,0.37383368
-5.84392196,1.13230898,0.41369151,0.00000000,0.00974871,0.24923086,0.28094988,0.39727458
-5.83791896,1.18209296,0.43404838,0.00000000,0.01047779,0.25685503,0.29918459,0.42127081
-5.83191596,1.23284394,0.45475537,0.00000000,0.01121504,0.26471347,0.31773196,0.44552563
-5.82591296,1.28388483,0.47553875,0.00000000,0.01194886,0.27270506,0.33635344,0.46971417
-5.81990995,1.33447912,0.49610488,0.00000000,0.01266728,0.28071360,0.35480163,0.49349410
-5.81390695,1.38386081,0.51615177,0.00000000,0.01335826,0.28861342,0.37282960,0.51651789
-5.80790395,1.43126781,0.53538186,0.00000000,0.01401014,0.29627578,0.39020087,0.53844619
-5.80190095,1.47597714,0.55351537,0.00000000,0.01461196,0.30357582,0.40669969,0.55896169
-5.79589795,1.51734008,0.57030360,0.00000000,0.01515389,0.31039958,0.42214087,0.57778275
-5.78989495,1.55481532,0.58554126,0.00000000,0.01562754,0.31665074,0.43637887,0.59467605
-5.78389195,1.58799807,0.59907735,0.00000000,0.01602629,0.32225662,0.44931556,0.60946760
-5.77788894,1.61664355,0.61082376,0.00000000,0.01634549,0.32717310,0.46090604,0.62205142
-5.77188594,1.64068310,0.62076101,0.00000000,0.01658269,0.33138815,0.47116235,0.63239535
-5.76588294,1.66023198,0.62894089,0.00000000,0.01673764,0.33492362,0.48015456,0.64054358
-5.75987994,1.67558806,0.63548557,0.00000000,0.01681233,0.33783531,0.48800928,0.64661566
-5.75387694,1.68722137,0.64058319,0.00000000,0.01681090,0.34021118,0.49490535,0.65080198
-5.74787394,1.69575468,0.64448018,0.00000000,0.01673938,0.34216774,0.50106708,0.65335585
-5.74187094,1.70193637,0.64747047,0.00000000,0.01660549,0.34384489,0.50675511,0.65458260
-5.73586793,1.70660661,0.64988232,0.00000000,0.01641830,0.34539946,0.51225544,0.65482610
-5.72986493,1.71065895,0.65206333,0.00000000,0.01618780,0.34699781,0.51786710,0.65445363
-5.72386193,1.71499925,0.65436446,0.00000000,0.01592454,0.34880792,0.52388911,0.65383966
-5.71785893,1.72050421,0.65712394,0.00000000,0.01563923,0.35099142,0.53060730,0.65334949
-5.71185593,1.72798186,0.66065186,0.00000000,0.01534231,0.35369607,0.53828177,0.65332371
-5.70585293,1.73813605,0.66521636,0.00000000,0.01504360,0.35704907,0.54713549,0.65406403
-5.69984992,1.75153688,0.67103207,0.00000000,0.01475205,0.36115159,0.55734473,0.65582152
-5.69384692,1.76859853,0.67825133,0.00000000,0.01447544,0.36607488,0.56903164,0.65878758
-5.68784392,1.78956563,0.68695880,0.00000000,0.01422029,0.37185806,0.58225936,0.66308805
-5.68184092,1.81450860,0.69716936,0.00000000,0.01399178,0.37850777,0.59702985,0.66878092
