energy_ev,total_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,6.54129032,2.36987393,3.08073592,0.11643318,1.73921489,1.24805158,0.00000000
-5.99399700,6.47643759,2.36888269,3.01704026,0.11873581,1.74131125,1.23311546,0.00000000
-5.98799400,6.39543108,2.36352009,2.94516878,0.12062653,1.73974897,1.21542368,0.00000000
-5.98199100,6.29936036,2.35347746,2.86619638,0.12209208,1.73452941,1.19547342,0.00000000
-5.97598799,6.18951546,2.33850314,2.78132494,0.12312353,1.72568061,1.17378656,0.00000000
-5.96998499,6.06735513,2.31841035,2.69185539,0.12371613,1.71325549,1.15090360,0.00000000
-5.96398199,5.93447758,2.29308588,2.59916111,0.12386922,1.69733085,1.12737931,0.00000000
-5.95797899,5.79259471,2.26249905,2.50466376,0.12358601,1.67800705,1.10378037,0.00000000
-5.95197599,5.64351055,2.22671079,2.40981187,0.12287343,1.65540848,1.08068478,0.00000000
-5.94597299,5.48910392,2.18588229,2.31606286,0.12174193,1.62968463,1.05868293,0.00000000
-5.93996998,5.33131527,2.14028283,2.22486823,0.12020527,1.60101176,1.03837968,0.00000000
-5.93396698,5.17213699,2.09029640,2.13766193,0.11828032,1.56959484,1.02039723,0.00000000
-5.92796398,5.01360650,2.03642665,2.05585124,0.11598693,1.53566975,1.00537791,0.00000000
-5.92196098,4.85780100,1.97929996,1.98080970,0.11334765,1.49950556,0.99398635,0.00000000
-5.91595798,4.70683259,1.91966619,1.91387098,0.11038766,1.46140648,0.98691041,0.00000000
-5.90995498,4.56284266,1.85839712,1.85632308,0.10713453,1.42171359,0.98486012,0.00000000
-5.90395198,4.42799417,1.79648233,1.80940179,0.10361809,1.38080594,0.98856418,0.00000000
-5.89794897,4.30446095,1.73502271,1.77428271,0.09987023,1.33910091,0.99876347,0.00000000
-5.89194597,4.19441289,1.67522141,1.75207110,0.09592473,1.29705374,1.01620154,0.00000000
-5.88594297,4.09999661,1.61837266,1.74378922,0.09181707,1.25515599,1.04161170,0.00000000
-5.87993997,4.02331138,1.56584844,1.75036082,0.08758422,1.21393288,1.07570113,0.00000000
-5.87393697,3.96638017,1.51908330,1.77259307,0.08326435,1.17393942,1.11913223,0.00000000
-5.86793397,3.93111659,1.47955755,1.81115619,0.07889664,1.13575528,1.17250181,0.00000000
-5.86193097,3.91928840,1.44877895,1.86656170,0.07452091,1.09997843,1.23631905,0.00000000
-5.85592796,3.93247883,1.42826319,1.93914001,0.07017734,1.06721753,1.31098307,0.00000000
