energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,3.26556935,0.01472350,0.46526643,0.52082901,0.39812158,1.47363849,0.00000000,0.59697325,0.82838473
-5.99399700,3.30251477,0.01542843,0.45835086,0.53164281,0.40314915,1.51175459,0.00000000,0.58826092,0.82571117
-5.98799400,3.34473163,0.01616365,0.45260890,0.54354320,0.40859876,1.55178012,0.00000000,0.58109102,0.82512675
-5.98199100,3.39107310,0.01691748,0.44794035,0.55631477,0.41439136,1.59304056,0.00000000,0.57535845,0.82635615
-5.97598799,3.44027126,0.01767733,0.44423154,0.56971168,0.42042782,1.63479689,0.00000000,0.57092850,0.82909710
-5.96998499,3.49098544,0.01843003,0.44136207,0.58346570,0.42659308,1.67626914,0.00000000,0.56764426,0.83303396
-5.96398199,3.54185569,0.01916215,0.43921188,0.59729564,0.43276117,1.71666327,0.00000000,0.56533523,0.83785218
-5.95797899,3.59155886,0.01986034,0.43766826,0.61091793,0.43880097,1.75520009,0.00000000,0.56382638,0.84325260
-5.95197599,3.63886446,0.02051179,0.43663225,0.62405767,0.44458226,1.79114480,0.00000000,0.56294750,0.84896497
-5.94597299,3.68268728,0.02110456,0.43602426,0.63645969,0.44998189,1.82383575,0.00000000,0.56254210,0.85476004
-5.93996998,3.72213413,0.02162798,0.43578853,0.64789908,0.45488951,1.85271085,0.00000000,0.56247557,0.86045942
-5.93396698,3.75654203,0.02207297,0.43589613,0.65819058,0.45921281,1.87733034,0.00000000,0.56264206,0.86594282
-5.92796398,3.78550584,0.02243235,0.43634632,0.66719640,0.46288172,1.89739470,0.00000000,0.56296976,0.87115216
-5.92196098,3.80889370,0.02270107,0.43716633,0.67483200,0.46585155,1.91275669,0.00000000,0.56342433,0.87609238
-5.91595798,3.82684967,0.02287633,0.43840935,0.68106967,0.46810481,1.92342698,0.00000000,0.56401019,0.88082897
-5.90995498,3.83978323,0.02295766,0.44015107,0.68593952,0.46965162,1.92957298,0.00000000,0.56476989,0.88548226
-5.90395198,3.84834641,0.02294690,0.44248489,0.68952810,0.47052879,1.93151097,0.00000000,0.56578131,0.89021902
-5.89794897,3.85340002,0.02284807,0.44551612,0.69197450,0.47079754,1.92969206,0.00000000,0.56715322,0.89524179
-5.89194597,3.85597069,0.02266721,0.44935559,0.69346439,0.47054011,1.92468251,0.00000000,0.56901931,0.90077661
-5.88594297,3.85720149,0.02241210,0.45411309,0.69422210,0.46985539,1.91713973,0.00000000,0.57153119,0.90706011
-5.87993997,3.85829868,0.02209195,0.45989103,0.69450135,0.46885382,1.90778483,0.00000000,0.57485078,0.91432658
-5.87393697,3.86047776,0.02171704,0.46677888,0.69457494,0.46765196,1.89737352,0.00000000,0.57914266,0.92279595
-5.86793397,3.86491144,0.02129839,0.47484866,0.69472410,0.46636683,1.88666626,0.00000000,0.58456672,0.93266344
-5.86193097,3.87268245,0.02084733,0.48415182,0.69522770,0.46511049,1.87639954,0.00000000,0.59127173,0.94409153
-5.85592796,3.88474323,0.02037517,0.49471779,0.69635209,0.46398493,1.86725902,0.00000000,0.59939005,0.95720464
-5.84992496,3.90188447,0.01989289,0.50655425,0.69834175,0.46307772,1.85985605,0.00000000,0.60903380,0.97208689
-5.84392196,3.92471323,0.01941082,0.51964909,0.70141119,0.46245841,1.85470809,0.00000000,0.62029269,0.98878288
-5.83791896,3.95364148,0.01893841,0.53397388,0.70573821,0.46217585,1.85222369,0.00000000,0.63323343,1.00730141
-5.83191596,3.98888446,0.01848410,0.54948863,0.71145886,0.46225657,1.85269240,0.00000000,0.64790061,1.02762161
-5.82591296,4.03046814,0.01805515,0.56614739,0.71866394,0.46270419,1.85627959,0.00000000,0.66431885,1.04970101
-5.81990995,4.07824437,0.01765760,0.58390421,0.72739707,0.46349977,1.86302587,0.00000000,0.68249593,1.07348458
-5.81390695,4.13191173,0.01729627,0.60271892,0.73765438,0.46460312,1.87285095,0.00000000,0.70242625,1.09891413
-5.80790395,4.19104028,0.01697477,0.62256219,0.74938539,0.46595489,1.88556116,0.00000000,0.72409442,1.12593692
-5.80190095,4.25509766,0.01669559,0.64341937,0.76249512,0.46747935,1.90086004,0.00000000,0.74747831,1.15451278
-5.79589795,4.32347487,0.01646019,0.66529259,0.77684714,0.46908762,1.91836135,0.00000000,0.77255128,1.18461890
-5.78989495,4.39550950,0.01626905,0.68820080,0.79226743,0.47068130,1.93760372,0.00000000,0.79928311,1.21625162
-5.78389195,4.47050524,0.01612187,0.71217757,0.80854871,0.47215625,1.95806632,0.00000000,0.82763942,1.24942497
-5.77788894,4.54774639,0.01601757,0.73726652,0.82545537,0.47340644,1.97918488,0.00000000,0.85757952,1.28416572
-5.77188594,4.62650706,0.01595445,0.76351461,0.84272859,0.47432763,2.00036768,0.00000000,0.88905268,1.32050505
-5.76588294,4.70605517,0.01593024,0.79096355,0.86009177,0.47482087,2.02101102,0.00000000,0.92199304,1.35846746
-5.75987994,4.78565157,0.01594217,0.81963980,0.87725613,0.47479566,2.04051381,0.00000000,0.95631345,1.39805735
-5.75387694,4.86454566,0.01598699,0.84954385,0.89392643,0.47417264,2.05829123,0.00000000,0.99189887,1.43924448
-5.74787394,4.94196867,0.01606106,0.88063947,0.90980683,0.47288587,2.07378721,0.00000000,1.02859969,1.48194906
-5.74187094,5.01712631,0.01616034,0.91284373,0.92460677,0.47088448,2.08648561,0.00000000,1.06622577,1.52602807
-5.73586793,5.08919247,0.01628043,0.94601866,0.93804695,0.46813384,2.09592015,0.00000000,1.10454179,1.57126353
-5.72986493,5.15730563,0.01641661,0.97996519,0.94986520,0.46461610,2.10168300,0.00000000,1.14326447,1.61735429
-5.72386193,5.22056932,0.01656387,1.01442016,0.95982231,0.46033019,2.10343205,0.00000000,1.18206217,1.66391190
-5.71785893,5.27805775,0.01671696,1.04905667,0.96770754,0.45529126,2.10089672,0.00000000,1.22055732,1.71046147
-5.71185593,5.32882721,0.01687049,1.08348830,0.97334390,0.44952963,2.09388242,0.00000000,1.25833171,1.75644790
-5.70585293,5.37193344,0.01701899,1.11727700,0.97659277,0.44308929,2.08227356,0.00000000,1.29493485,1.80124743
-5.69984992,5.40645444,0.01715701,1.14994454,0.97735799,0.43602604,2.06603505,0.00000000,1.32989491,1.84418420
-5.69384692,5.43151791,0.01727925,1.18098709,0.97558912,0.42840533,2.04521226,0.00000000,1.36273212,1.88455122
-5.68784392,5.44633192,0.01738072,1.20989211,0.97128364,0.42029991,2.01992954,0.00000000,1.39297373,1.92163462
-5.68184092,5.45021717,0.01745683,1.23615682,0.96448826,0.41178736,1.99038717,0.00000000,1.42016999,1.95473993
-5.67583792,5.44263868,0.01750355,1.25930716,0.95529897,0.40294775,1.95685693,0.00000000,1.44391024,1.98321900
-5.66983492,5.42323518,0.01751754,1.27891614,0.94385993,0.39386123,1.91967634,0.00000000,1.46383806,2.00649587
-5.66383192,5.39184390,0.01749631,1.29462062,0.93036122,0.38460601,1.87924172,0.00000000,1.47966484,2.02409027
-5.65782891,5.34851915,0.01743823,1.30613552,0.91503533,0.37525653,1.83600019,0.00000000,1.49118080,2.03563712
-5.65182591,5.29354319,0.01734270,1.31326450,0.89815271,0.36588202,1.79044091,0.00000000,1.49826279,2.04090109
-5.64582291,5.22742835,0.01721013,1.31590672,0.88001629,0.35654543,1.74308574,0.00000000,1.50087847,2.03978517
-5.63981991,5.15090980,0.01704199,1.31405915,0.86095514,0.34730286,1.69447941,0.00000000,1.49908659,2.03233301
-5.63381691,5.06492924,0.01684075,1.30781436,0.84131755,0.33820330,1.64517965,0.00000000,1.49303320,2.01872463
-5.62781391,4.97060981,0.01660983,1.29735411,0.82146355,0.32928882,1.59574718,0.00000000,1.48294427,1.99926615
-5.62181091,4.86922350,0.01635350,1.28293910,0.80175708,0.32059506,1.54673598,0.00000000,1.46911486,1.97437402
-5.61580790,4.76215255,0.01607675,1.26489552,0.78255802,0.31215198,1.49868375,0.00000000,1.45189575,1.94455497
-5.60980490,4.65084663,0.01578512,1.24359951,0.76421413,0.30398476,1.45210283,0.00000000,1.43167806,1.91038280
-5.60380190,4.53677798,0.01548453,1.21946027,0.74705320,0.29611480,1.40747148,0.00000000,1.40887699,1.87247361
-5.59779890,4.42139653,0.01518107,1.19290294,0.73137539,0.28856069,1.36522575,0.00000000,1.38391533,1.83146083
-5.59179590,4.30608719,0.01488084,1.16435237,0.71744598,0.28133907,1.32575189,0.00000000,1.35720790,1.78797166
