energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.84235437,0.03888931,0.04057135,0.44190668,0.10881900,0.44296728,0.00000000,0.19773271,0.12807790
-5.99399700,0.82171798,0.03899730,0.03755839,0.42635039,0.10361064,0.43705634,0.00000000,0.19766117,0.12821430
-5.98799400,0.79849547,0.03891562,0.03458745,0.41003259,0.09824673,0.42943842,0.00000000,0.19674492,0.12771979
-5.98199100,0.77282515,0.03863288,0.03169199,0.39303291,0.09278138,0.42011224,0.00000000,0.19493628,0.12656803
-5.97598799,0.74491460,0.03814390,0.02890453,0.37546284,0.08727156,0.40912469,0.00000000,0.19221818,0.12475034
-5.96998499,0.71503722,0.03744967,0.02625628,0.35746420,0.08177603,0.39657019,0.00000000,0.18860511,0.12227602
-5.96398199,0.68352767,0.03655718,0.02377691,0.33920730,0.07635432,0.38258891,0.00000000,0.18414318,0.11917202
-5.95797899,0.65077619,0.03547895,0.02149447,0.32088880,0.07106595,0.36736390,0.00000000,0.17890944,0.11548205
-5.95197599,0.61722222,0.03423259,0.01943552,0.30272935,0.06596975,0.35111725,0.00000000,0.17301030,0.11126532
-5.94597299,0.58334733,0.03284009,0.01762530,0.28497119,0.06112331,0.33410551,0.00000000,0.16657944,0.10659472
-5.93996998,0.54966779,0.03132705,0.01608815,0.26787570,0.05658270,0.31661439,0.00000000,0.15977496,0.10155470
-5.93396698,0.51672688,0.02972191,0.01484796,0.25172096,0.05240216,0.29895317,0.00000000,0.15277625,0.09623894
-5.92796398,0.48508717,0.02805498,0.01392874,0.23679942,0.04863407,0.28144872,0.00000000,0.14578050,0.09074778
-5.92196098,0.45532286,0.02635760,0.01335512,0.22341553,0.04532879,0.26443961,0.00000000,0.13899893,0.08518567
-5.91595798,0.42801224,0.02466123,0.01315292,0.21188338,0.04253470,0.24827023,0.00000000,0.13265305,0.07965864
-5.90995498,0.40373034,0.02299662,0.01334959,0.20252423,0.04029807,0.23328516,0.00000000,0.12697083,0.07427184
-5.90395198,0.38304176,0.02139303,0.01397454,0.19566382,0.03866296,0.21982384,0.00000000,0.12218292,0.06912734
-5.89794897,0.36649352,0.01987751,0.01505927,0.19162932,0.03767098,0.20821557,0.00000000,0.11851898,0.06432212
-5.89194597,0.35460792,0.01847434,0.01663733,0.19074579,0.03736087,0.19877482,0.00000000,0.11620405,0.05994638
-5.88594297,0.34787527,0.01720452,0.01874398,0.19333203,0.03776798,0.19179686,0.00000000,0.11545496,0.05608203
-5.87993997,0.34674627,0.01608539,0.02141559,0.19969557,0.03892352,0.18755354,0.00000000,0.11647671,0.05280160
-5.87393697,0.35162397,0.01513036,0.02468876,0.21012683,0.04085366,0.18628922,0.00000000,0.11945890,0.05016725
-5.86793397,0.36285526,0.01434875,0.02859915,0.22489232,0.04357840,0.18821675,0.00000000,0.12457193,0.04823013
-5.86193097,0.38072176,0.01374574,0.03318004,0.24422685,0.04711039,0.19351330,0.00000000,0.13196315,0.04702988
-5.85592796,0.40543030,0.01332237,0.03846063,0.26832490,0.05145353,0.20231621,0.00000000,0.14175284,0.04659425
-5.84992496,0.43710305,0.01307565,0.04446417,0.29733132,0.05660164,0.21471868,0.00000000,0.15403011,0.04693888
-5.84392196,0.47576772,0.01299881,0.05120603,0.33133153,0.06253710,0.23076546,0.00000000,0.16884872,0.04806719
-5.83791896,0.52134802,0.01308146,0.05869161,0.37034170,0.06922957,0.25044859,0.00000000,0.18622297,0.04997034
-5.83191596,0.57365513,0.01331001,0.06691446,0.41429930,0.07663498,0.27370348,0.00000000,0.20612394,0.05262721
-5.82591296,0.63238059,0.01366797,0.07585447,0.46305462,0.08469474,0.30040549,0.00000000,0.22847605,0.05600458
-5.81990995,0.69709138,0.01413639,0.08547643,0.51636364,0.09333540,0.33036734,0.00000000,0.25315442,0.06005738
-5.81390695,0.76722777,0.01469437,0.09572891,0.57388322,0.10246865,0.36333765,0.00000000,0.27998317,0.06472903
-5.80790395,0.84210460,0.01531949,0.10654372,0.63516873,0.11199199,0.39900097,0.00000000,0.30873491,0.06995210
-5.80190095,0.92091662,0.01598842,0.11783595,0.69967505,0.12178981,0.43697961,0.00000000,0.33913175,0.07564911
-5.79589795,1.00274816,0.01667743,0.12950460,0.76676112,0.13173524,0.47683749,0.00000000,0.37084795,0.08173359
-5.78989495,1.08658745,0.01736299,0.14143405,0.83569837,0.14169236,0.51808620,0.00000000,0.40351439,0.08811150
-5.78389195,1.17134554,0.01802231,0.15349613,0.90568312,0.15151919,0.56019337,0.00000000,0.43672490,0.09468287
-5.77788894,1.25587961,0.01863390,0.16555289,0.97585288,0.16107094,0.60259323,0.00000000,0.47004444,0.10134382
-5.77188594,1.33901999,0.01917814,0.17746005,1.04530609,0.17020377,0.64469927,0.00000000,0.50301896,0.10798876
-5.76588294,1.41960018,0.01963765,0.18907083,1.11312479,0.17877871,0.68591858,0.00000000,0.53518665,0.11451288
-5.75987994,1.49648881,0.01999783,0.20024020,1.17839944,0.18666570,0.72566737,0.00000000,0.56609031,0.12081472
