energy_ev,total_up,Mo_p_up,Mo_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
4.95547774,0.71602689,1.11590500,0.30071957,0.08016984,0.00016519,0.14730132,0.00000000
4.96148074,0.75550929,1.14633136,0.31988095,0.09108127,0.00018128,0.15229636,0.00000000
4.96748374,0.80191446,1.18443632,0.34222121,0.10344102,0.00019950,0.15848111,0.00000000
4.97348674,0.85583874,1.23113883,0.36798969,0.11731313,0.00021995,0.16599882,0.00000000
4.97948974,0.91773276,1.28716051,0.39737160,0.13274020,0.00024266,0.17496934,0.00000000
4.98549275,0.98787159,1.35298368,0.43047501,0.14973886,0.00026762,0.18548334,0.00000000
4.99149575,1.06632901,1.42881621,0.46731935,0.16829558,0.00029475,0.19759727,0.00000000
4.99749875,1.15295719,1.51456462,0.50782632,0.18836322,0.00032393,0.21132942,0.00000000
5.00350175,1.24737276,1.60981710,0.55181344,0.20985828,0.00035495,0.22665702,0.00000000
5.00950475,1.34895036,1.71383743,0.59899085,0.23265922,0.00038754,0.24351475,0.00000000
5.01550775,1.45682417,1.82557055,0.64896160,0.25660577,0.00042137,0.26179468,0.00000000
5.02151076,1.56989800,1.94366015,0.70122572,0.28149956,0.00045605,0.28134768,0.00000000
5.02751376,1.68686386,2.06647811,0.75518798,0.30710594,0.00049113,0.30198633,0.00000000
5.03351676,1.80622874,2.19216505,0.81016941,0.33315716,0.00052614,0.32348932,0.00000000
5.03951976,1.92634908,2.31868096,0.86542226,0.35935669,0.00056056,0.34560714,0.00000000
5.04552276,2.04547168,2.44386420,0.92014796,0.38538476,0.00059386,0.36806891,0.00000000
5.05152576,2.16177995,2.56549684,0.97351755,0.41090491,0.00062554,0.39059016,0.00000000
5.05752876,2.27344372,2.68137388,1.02469390,0.43557127,0.00065507,0.41288125,0.00000000
5.06353177,2.37867091,2.78937373,1.07285483,0.45903650,0.00068199,0.43465602,0.00000000
5.06953477,2.47575894,2.88752706,1.11721643,0.48095994,0.00070588,0.45564052,0.00000000
5.07553777,2.56314411,2.97408124,1.15705553,0.50101589,0.00072636,0.47558126,0.00000000
5.08154077,2.63944676,3.04755758,1.19173054,0.51890157,0.00074316,0.49425273,0.00000000
5.08754377,2.70351065,3.10679897,1.22069981,0.53434462,0.00075608,0.51146392,0.00000000
5.09354677,2.75443488,3.15100585,1.24353676,0.54710980,0.00076500,0.52706339,0.00000000
5.09954977,2.79159717,3.17975887,1.25994134,0.55700473,0.00076990,0.54094284,0.00000000
5.10555278,2.81466779,3.19302750,1.26974718,0.56388446,0.00077086,0.55303895,0.00000000
