energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.29309193,0.00828263,0.12572249,0.00865730,0.00000000,0.01958152,0.71320102,0.52699116,0.15878083
-5.99399700,1.39314385,0.00886232,0.13575349,0.00925091,0.00000000,0.02095769,0.76809584,0.56906789,0.17176358
-5.98799400,1.49510546,0.00953020,0.14574717,0.00986016,0.00000000,0.02232743,0.82424118,0.61126277,0.18511409
-5.98199100,1.59769633,0.01028286,0.15559453,0.01047575,0.00000000,0.02367195,0.88090522,0.65299816,0.19869415
-5.97598799,1.69962900,0.01111749,0.16518780,0.01108857,0.00000000,0.02497271,0.93734898,0.69368587,0.21236464
-5.96998499,1.79963665,0.01203177,0.17442343,0.01168987,0.00000000,0.02621180,0.99284151,0.73274142,0.22598854
-5.96398199,1.89650072,0.01302380,0.18320512,0.01227141,0.00000000,0.02737231,1.04667508,0.76959886,0.23943387
-5.95797899,1.98907744,0.01409197,0.19144653,0.01282567,0.00000000,0.02843868,1.09818011,0.80372556,0.25257637
-5.95197599,2.07632216,0.01523470,0.19907367,0.01334594,0.00000000,0.02939705,1.14673898,0.83463653,0.26530190
-5.94597299,2.15731054,0.01645023,0.20602680,0.01382645,0.00000000,0.03023543,1.19179845,0.86190747,0.27750835
-5.93996998,2.23125561,0.01773633,0.21226174,0.01426247,0.00000000,0.03094396,1.23287999,0.88518617,0.28910705
-5.93396698,2.29752000,0.01909002,0.21775050,0.01465032,0.00000000,0.03151503,1.26958769,0.90420163,0.30002347
-5.92796398,2.35562290,0.02050723,0.22248123,0.01498742,0.00000000,0.03194332,1.30161351,0.91877060,0.31019742
-5.92196098,2.40524158,0.02198251,0.22645746,0.01527223,0.00000000,0.03222580,1.32873954,0.92880119,0.31958241
-5.91595798,2.44620740,0.02350878,0.22969668,0.01550420,0.00000000,0.03236170,1.35083745,0.93429350,0.32814463
-5.90995498,2.47849687,0.02507707,0.23222839,0.01568371,0.00000000,0.03235235,1.36786513,0.93533717,0.33586124
-5.90395198,2.50221831,0.02667634,0.23409159,0.01581191,0.00000000,0.03220106,1.37986083,0.93210623,0.34271835
-5.89794897,2.51759506,0.02829342,0.23533213,0.01589063,0.00000000,0.03191292,1.38693523,0.92485128,0.34870880
-5.89194597,2.52494620,0.02991297,0.23599973,0.01592220,0.00000000,0.03149455,1.38926194,0.91388977,0.35382974
-5.88594297,2.52466617,0.03151758,0.23614517,0.01590938,0.00000000,0.03095394,1.38706705,0.89959465,0.35808044
-5.87993997,2.51720437,0.03308797,0.23581762,0.01585514,0.00000000,0.03030017,1.38061819,0.88238215,0.36146030
-5.87393697,2.50304592,0.03460333,0.23506235,0.01576264,0.00000000,0.02954325,1.37021401,0.86269938,0.36396727
-5.86793397,2.48269483,0.03604165,0.23391898,0.01563505,0.00000000,0.02869387,1.35617436,0.84101224,0.36559689
-5.86193097,2.45666042,0.03738029,0.23242027,0.01547555,0.00000000,0.02776326,1.33883191,0.81779434,0.36634194
-5.85592796,2.42544757,0.03859653,0.23059168,0.01528727,0.00000000,0.02676302,1.31852543,0.79351749,0.36619274
-5.84992496,2.38955148,0.03966818,0.22845160,0.01507328,0.00000000,0.02570501,1.29559521,0.76864408,0.36513822
-5.84392196,2.34945678,0.04057429,0.22601224,0.01483664,0.00000000,0.02460125,1.27038057,0.74362166,0.36316762
-5.83791896,2.30564105,0.04129579,0.22328125,0.01458045,0.00000000,0.02346385,1.24321957,0.71887996,0.36027271
-5.83191596,2.25858216,0.04181613,0.22026372,0.01430788,0.00000000,0.02230492,1.21445075,0.69483010,0.35645050
-5.82591296,2.20876881,0.04212191,0.21696472,0.01402237,0.00000000,0.02113658,1.18441659,0.67186615,0.35170621
