energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.91758545,0.01260189,0.10000290,0.53895737,2.05209651,0.74242925,0.00000000,0.60341562,0.07034811
-5.99399700,2.79402998,0.01185648,0.09479870,0.52741198,1.95000528,0.72180324,0.00000000,0.58959163,0.06789713
-5.98799400,2.67129237,0.01112177,0.08972917,0.51584397,1.84798546,0.70110584,0.00000000,0.57697488,0.06553900
-5.98199100,2.55042630,0.01040404,0.08480261,0.50432092,1.74693952,0.68055886,0.00000000,0.56564967,0.06329505
-5.97598799,2.43244197,0.00970879,0.08003202,0.49292346,1.64770234,0.66039248,0.00000000,0.55571284,0.06118698
-5.96998499,2.31829742,0.00904075,0.07543453,0.48174498,1.55103527,0.64084249,0.00000000,0.54727255,0.05923643
-5.96398199,2.20889055,0.00840390,0.07103058,0.47089078,1.45762245,0.62214702,0.00000000,0.54044595,0.05746465
-5.95797899,2.10505161,0.00780158,0.06684301,0.46047652,1.36806887,0.60454262,0.00000000,0.53535558,0.05589200
-5.95197599,2.00753570,0.00723647,0.06289601,0.45062601,1.28289990,0.58825980,0.00000000,0.53212466,0.05453742
-5.94597299,1.91701518,0.00671077,0.05921414,0.44146823,1.20256192,0.57351796,0.00000000,0.53087118,0.05341786
-5.93996998,1.83407178,0.00622619,0.05582131,0.43313366,1.12742358,0.56051983,0.00000000,0.53170104,0.05254768
-5.93396698,1.75918851,0.00578411,0.05273984,0.42574999,1.05777752,0.54944565,0.00000000,0.53470048,0.05193805
-5.92796398,1.69274174,0.00538562,0.04998969,0.41943750,0.99384239,0.54044723,0.00000000,0.53992818,0.05159634
-5.92196098,1.63499371,0.00503162,0.04758775,0.41430415,0.93576505,0.53364221,0.00000000,0.54740745,0.05152555
-5.91595798,1.58608612,0.00472289,0.04554742,0.41044082,0.88362290,0.52910885,0.00000000,0.55711900,0.05172387
-5.90995498,1.54603546,0.00446014,0.04387823,0.40791691,0.83742659,0.52688175,0.00000000,0.56899475,0.05218427
-5.90395198,1.51473067,0.00424405,0.04258576,0.40677661,0.79712310,0.52694866,0.00000000,0.58291327,0.05289431
-5.89794897,1.49193379,0.00407538,0.04167167,0.40703608,0.76259941,0.52924891,0.00000000,0.59869724,0.05383611
-5.89194597,1.47728407,0.00395490,0.04113388,0.40868183,0.73368689,0.53367346,0.00000000,0.61611323,0.05498650
-5.88594297,1.47030590,0.00388352,0.04096690,0.41167040,0.71016650,0.54006692,0.00000000,0.63487415,0.05631739
-5.87993997,1.47042041,0.00386224,0.04116229,0.41592938,0.69177486,0.54823132,0.00000000,0.65464434,0.05779633
-5.87393697,1.47696085,0.00389217,0.04170911,0.42135982,0.67821111,0.55793183,0.00000000,0.67504722,0.05938736
-5.86793397,1.48919086,0.00397451,0.04259443,0.42783984,0.66914439,0.56890392,0.00000000,0.69567532,0.06105190
-5.86193097,1.50632521,0.00411051,0.04380381,0.43522923,0.66422168,0.58086182,0.00000000,0.71610219,0.06274986
-5.85592796,1.52755178,0.00430147,0.04532170,0.44337474,0.66307578,0.59350776,0.00000000,0.73589563,0.06444082
-5.84992496,1.55205370,0.00454859,0.04713175,0.45211573,0.66533288,0.60654153,0.00000000,0.75463158,0.06608520
-5.84392196,1.57903044,0.00485296,0.04921699,0.46128979,0.67061947,0.61966983,0.00000000,0.77190801,0.06764550
-5.83791896,1.60771666,0.00521537,0.05155983,0.47073783,0.67856813,0.63261475,0.00000000,0.78735782,0.06908729
-5.83191596,1.63739768,0.00563624,0.05414190,0.48030854,0.68882189,0.64512116,0.00000000,0.80066041,0.07038017
-5.82591296,1.66742072,0.00611545,0.05694375,0.48986161,0.70103689,0.65696225,0.00000000,0.81155086,0.07149852
-5.81990995,1.69720141,0.00665216,0.05994439,0.49926979,0.71488330,0.66794330,0.00000000,0.81982664,0.07242196
-5.81390695,1.72622517,0.00724466,0.06312074,0.50841949,0.73004444,0.67790319,0.00000000,0.82535114,0.07313556
-5.80790395,1.75404381,0.00789020,0.06644699,0.51721002,0.74621433,0.68671389,0.00000000,0.82805424,0.07362988
-5.80190095,1.78026777,0.00858487,0.06989398,0.52555164,0.76309394,0.69427796,0.00000000,0.82792971,0.07390065
-5.79589795,1.80455484,0.00932342,0.07342864,0.53336257,0.78038666,0.70052442,0.00000000,0.82502983,0.07394826
-5.78989495,1.82659660,0.01009924,0.07701351,0.54056535,0.79779341,0.70540334,0.00000000,0.81945771,0.07377712
-5.78389195,1.84610394,0.01090426,0.08060651,0.54708291,0.81500813,0.70887974,0.00000000,0.81135775,0.07339483
-5.77788894,1.86279294,0.01172899,0.08416090,0.55283483,0.83171410,0.71092731,0.00000000,0.80090503,0.07281132
-5.77188594,1.87637272,0.01256260,0.08762559,0.55773409,0.84758183,0.71152249,0.00000000,0.78829435,0.07203799
-5.76588294,1.88653640,0.01339304,0.09094568,0.56168487,0.86226875,0.71063950,0.00000000,0.77372950,0.07108686
-5.75987994,1.89295619,0.01420728,0.09406341,0.56458154,0.87542123,0.70824669,0.00000000,0.75741363,0.06996987
-5.75387694,1.89528330,0.01499158,0.09691936,0.56630905,0.88667903,0.70430457,0.00000000,0.73954103,0.06869835
-5.74787394,1.89315301,0.01573178,0.09945396,0.56674500,0.89568208,0.69876571,0.00000000,0.72029092,0.06728257
-5.74187094,1.88619468,0.01641374,0.10160918,0.56576311,0.90207943,0.69157645,0.00000000,0.69982343,0.06573161
-5.73586793,1.87404617,0.01702371,0.10333043,0.56323807,0.90553997,0.68268044,0.00000000,0.67827772,0.06405333
-5.72986493,1.85637177,0.01754876,0.10456840,0.55905145,0.90576431,0.67202361,0.00000000,0.65577239,0.06225454
-5.72386193,1.83288249,0.01797724,0.10528098,0.55309830,0.90249714,0.65956021,0.00000000,0.63240769,0.06034133
-5.71785893,1.80335704,0.01829912,0.10543489,0.54529404,0.89553926,0.64525949,0.00000000,0.60826927,0.05831949
-5.71185593,1.76766232,0.01850639,0.10500723,0.53558105,0.88475869,0.62911239,0.00000000,0.58343302,0.05619498
-5.70585293,1.72577154,0.01859331,0.10398653,0.52393471,0.87009981,0.61113784,0.00000000,0.55797041,0.05397447
-5.69984992,1.67777894,0.01855670,0.10237353,0.51036819,0.85159014,0.59138801,0.00000000,0.53195390,0.05166574
-5.69384692,1.62390967,0.01839597,0.10018145,0.49493589,0.82934413,0.56995223,0.00000000,0.50546184,0.04927812
-5.68784392,1.56452415,0.01811326,0.09743580,0.47773505,0.80356366,0.54695910,0.00000000,0.47858260,0.04682277
-5.68184092,1.50011645,0.01771328,0.09417374,0.45890557,0.77453504,0.52257677,0.00000000,0.45141742,0.04431278
-5.67583792,1.43130649,0.01720324,0.09044299,0.43862781,0.74262266,0.49701107,0.00000000,0.42408199,0.04176322
-5.66983492,1.35882645,0.01659253,0.08630035,0.41711863,0.70825947,0.47050181,0.00000000,0.39670650,0.03919095
-5.66383192,1.28350199,0.01589246,0.08180994,0.39462572,0.67193474,0.44331722,0.00000000,0.36943433,0.03661437
-5.65782891,1.20622932,0.01511586,0.07704116,0.37142059,0.63417965,0.41574695,0.00000000,0.34241945,0.03405299
-5.65182591,1.12794911,0.01427664,0.07206656,0.34779057,0.59555141,0.38809395,0.00000000,0.31582274,0.03152694
-5.64582291,1.04961872,0.01338939,0.06695970,0.32403020,0.55661663,0.36066568,0.00000000,0.28980762,0.02905642
