energy_ev,total_up,Cu_p_up,Cu_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,6.12556900,2.15956300,3.30360893,2.61128533,0.67404376,0.00267640,1.08912028,0.78673660,0.00000000
-5.99399700,6.11705942,2.16464663,3.26069388,2.66644741,0.67887975,0.00268160,1.11434297,0.78236106,0.00000000
-5.98799400,6.10481355,2.16877885,3.21401811,2.72162883,0.68394769,0.00269257,1.13953932,0.77884731,0.00000000
-5.98199100,6.08905332,2.17153834,3.16421106,2.77630300,0.68918762,0.00270866,1.16447495,0.77619005,0.00000000
-5.97598799,6.06988908,2.17250881,3.11185251,2.82986524,0.69451421,0.00272895,1.18888559,0.77435732,0.00000000
-5.96998499,6.04732990,2.17129339,3.05746982,2.88164843,0.69981960,0.00275235,1.21248342,0.77329288,0.00000000
-5.96398199,6.02129757,2.16752772,3.00153864,2.93094058,0.70497671,0.00277758,1.23496382,0.77291903,0.00000000
-5.95797899,5.99164340,2.16089112,2.94448599,2.97700344,0.70984304,0.00280326,1.25601251,0.77313938,0.00000000
-5.95197599,5.95816643,2.15111576,2.88669519,3.01909139,0.71426471,0.00282794,1.27531258,0.77384181,0.00000000
-5.94597299,5.92063206,2.13799331,2.82851192,3.05647003,0.71808071,0.00285016,1.29255145,0.77490137,0.00000000
-5.93996998,5.87879020,2.12137912,2.77025040,3.08843377,0.72112716,0.00286850,1.30742752,0.77618313,0.00000000
-5.93396698,5.83239220,2.10119401,2.71219939,3.11432201,0.72324155,0.00288162,1.31965642,0.77754510,0.00000000
-5.92796398,5.78120602,2.07742360,2.65462729,3.13353355,0.72426683,0.00288831,1.32897672,0.77884105,0.00000000
-5.92196098,5.72502948,2.05011567,2.59778611,3.14553903,0.72405539,0.00288751,1.33515524,0.77992338,0.00000000
-5.91595798,5.66370127,2.01937579,2.54191404,3.14989131,0.72247272,0.00287835,1.33799173,0.78064599,0.00000000
-5.90995498,5.59711008,1.98536158,2.48723671,3.14623374,0.71940084,0.00286016,1.33732299,0.78086731,0.00000000
-5.90395198,5.52520165,1.94827604,2.43396709,3.13430641,0.71474137,0.00283250,1.33302646,0.78045325,0.00000000
-5.89794897,5.44798409,1.90836048,2.38230424,3.11395044,0.70841823,0.00279513,1.32502310,0.77928023,0.00000000
-5.89194597,5.36553163,1.86588719,2.33243125,3.08511050,0.70037987,0.00274803,1.31327961,0.77723820,0.00000000
-5.88594297,5.27798680,1.82115236,2.28451249,3.04783557,0.69060098,0.00269139,1.29780995,0.77423351,0.00000000
-5.87993997,5.18556122,1.77446949,2.23869062,3.00227808,0.67908367,0.00262561,1.27867590,0.77019154,0.00000000
-5.87393697,5.08853483,1.72616331,2.19508348,2.94869146,0.66585797,0.00255123,1.25598685,0.76505905,0.00000000
-5.86793397,4.98725372,1.67656442,2.15378114,2.88742613,0.65098174,0.00246896,1.22989851,0.75880598,0.00000000
-5.86193097,4.88212616,1.62600464,2.11484330,2.81892400,0.63453975,0.00237965,1.20061059,0.75142673,0.00000000
-5.85592796,4.77361707,1.57481295,2.07829726,2.74371138,0.61664215,0.00228423,1.16836349,0.74294068,0.00000000
-5.84992496,4.66224055,1.52331193,2.04413641,2.66239038,0.59742223,0.00218373,1.13343385,0.73339197,0.00000000
-5.84392196,4.54855087,1.47181465,2.01231949,2.57562887,0.57703347,0.00207924,1.09612925,0.72284844,0.00000000
-5.83791896,4.43313169,1.42062171,1.98277062,2.48414909,0.55564603,0.00197186,1.05678195,0.71139975,0.00000000
