energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.37334549,-2.37334549,0.50341387,-0.50341386,1.30893357,-1.30893357,0.00141298,-0.00141298,0.34194264,-0.34194264,0.52708361,-0.52708361,0.46338797,-0.46338797,0.17305113,-0.17305113,0.00000000,-0.00000000
-5.99399700,2.35832156,-2.35832156,0.50502844,-0.50502844,1.28451224,-1.28451224,0.00131261,-0.00131261,0.34709781,-0.34709781,0.54117686,-0.54117686,0.46488862,-0.46488863,0.17515048,-0.17515048,0.00000000,-0.00000000
-5.98799400,2.35283274,-2.35283274,0.50659189,-0.50659188,1.26375895,-1.26375895,0.00123121,-0.00123121,0.35485690,-0.35485690,0.55943680,-0.55943679,0.46914324,-0.46914324,0.17788240,-0.17788240,0.00000000,-0.00000000
-5.98199100,2.35740979,-2.35740979,0.50792535,-0.50792535,1.24713783,-1.24713783,0.00116886,-0.00116886,0.36528480,-0.36528480,0.58194522,-0.58194521,0.47620434,-0.47620434,0.18119885,-0.18119885,0.00000000,-0.00000000
-5.97598799,2.37240826,-2.37240826,0.50886408,-0.50886407,1.23504644,-1.23504644,0.00112560,-0.00112560,0.37839030,-0.37839030,0.60869155,-0.60869155,0.48607275,-0.48607275,0.18504931,-0.18504931,0.00000000,-0.00000000
-5.96998499,2.39799506,-2.39799505,0.50926321,-0.50926321,1.22780485,-1.22780485,0.00110146,-0.00110146,0.39412296,-0.39412296,0.63956647,-0.63956646,0.49869677,-0.49869677,0.18938198,-0.18938198,0.00000000,-0.00000000
-5.96398199,2.43414044,-2.43414042,0.50900300,-0.50900300,1.22564779,-1.22564778,0.00109650,-0.00109650,0.41237142,-0.41237142,0.67435795,-0.67435794,0.51397223,-0.51397223,0.19414495,-0.19414495,0.00000000,-0.00000000
-5.95797899,2.48061557,-2.48061555,0.50799304,-0.50799303,1.22872011,-1.22872011,0.00111087,-0.00111087,0.43296304,-0.43296303,0.71275014,-0.71275013,0.53174341,-0.53174340,0.19928714,-0.19928713,0.00000000,-0.00000000
-5.95197599,2.53699575,-2.53699573,0.50617535,-0.50617535,1.23707543,-1.23707542,0.00114482,-0.00114482,0.45566522,-0.45566521,0.75432512,-0.75432511,0.55180487,-0.55180486,0.20475902,-0.20475902,0.00000000,-0.00000000
-5.94597299,2.60266888,-2.60266886,0.50352611,-0.50352611,1.25067775,-1.25067774,0.00119873,-0.00119873,0.48018832,-0.48018831,0.79856791,-0.79856790,0.57390424,-0.57390424,0.21051312,-0.21051312,0.00000000,-0.00000000
-5.93996998,2.67684905,-2.67684902,0.50005592,-0.50005592,1.26940579,-1.26940579,0.00127312,-0.00127312,0.50619026,-0.50619026,0.84487464,-0.84487462,0.59774589,-0.59774588,0.21650424,-0.21650424,0.00000000,-0.00000000
-5.93396698,2.75859448,-2.75859446,0.49580859,-0.49580859,1.29305960,-1.29305960,0.00136862,-0.00136862,0.53328275,-0.53328274,0.89256378,-0.89256377,0.62299553,-0.62299552,0.22268945,-0.22268945,0.00000000,-0.00000000
-5.92796398,2.84682944,-2.84682942,0.49085857,-0.49085857,1.32136887,-1.32136886,0.00148602,-0.00148602,0.56103904,-0.56103903,0.94089044,-0.94089043,0.64928573,-0.64928572,0.22902787,-0.22902787,0.00000000,-0.00000000
-5.92196098,2.94036902,-2.94036899,0.48530708,-0.48530708,1.35400246,-1.35400245,0.00162614,-0.00162614,0.58900315,-0.58900314,0.98906315,-0.98906314,0.67622230,-0.67622229,0.23548031,-0.23548031,0.00000000,-0.00000000
-5.91595798,3.03794605,-3.03794602,0.47927722,-0.47927722,1.39057849,-1.39057848,0.00178989,-0.00178989,0.61670015,-0.61670014,1.03626286,-1.03626285,0.70339139,-0.70339138,0.24200879,-0.24200879,0.00000000,-0.00000000
-5.90995498,3.13823916,-3.13823914,0.47290824,-0.47290824,1.43067445,-1.43067444,0.00197816,-0.00197816,0.64364739,-0.64364738,1.08166350,-1.08166348,0.73036731,-0.73036730,0.24857601,-0.24857601,0.00000000,-0.00000000
-5.90395198,3.23990087,-3.23990085,0.46634933,-0.46634933,1.47383672,-1.47383672,0.00219175,-0.00219175,0.66936624,-0.66936624,1.12445338,-1.12445336,0.75672077,-0.75672076,0.25514476,-0.25514476,0.00000000,-0.00000000
-5.89794897,3.34158472,-3.34158470,0.45975318,-0.45975318,1.51958909,-1.51958909,0.00243133,-0.00243133,0.69339400,-0.69339399,1.16385680,-1.16385678,0.78202748,-0.78202747,0.26167744,-0.26167744,0.00000000,-0.00000000
-5.89194597,3.44197063,-3.44197061,0.45326960,-0.45326960,1.56743989,-1.56743989,0.00269735,-0.00269735,0.71529548,-0.71529548,1.19915492,-1.19915491,0.80587675,-0.80587673,0.26813563,-0.26813562,0.00000000,-0.00000000
-5.88594297,3.53978747,-3.53978745,0.44703952,-0.44703952,1.61688751,-1.61688751,0.00298995,-0.00298995,0.73467404,-0.73467404,1.22970524,-1.22970523,0.82787995,-0.82787994,0.27447968,-0.27447968,0.00000000,-0.00000000
-5.87993997,3.63383240,-3.63383238,0.44118957,-0.44118957,1.66742429,-1.66742429,0.00330889,-0.00330889,0.75118140,-0.75118140,1.25495874,-1.25495873,0.84767857,-0.84767856,0.28066859,-0.28066859,0.00000000,-0.00000000
-5.87393697,3.72298635,-3.72298633,0.43582745,-0.43582745,1.71853875,-1.71853875,0.00365346,-0.00365346,0.76452613,-0.76452613,1.27447421,-1.27447420,0.86495145,-0.86495144,0.28665984,-0.28665984,0.00000000,-0.00000000
-5.86793397,3.80622565,-3.80622564,0.43103828,-0.43103828,1.76971655,-1.76971655,0.00402244,-0.00402244,0.77448031,-0.77448031,1.28792906,-1.28792905,0.87942127,-0.87942126,0.29240949,-0.29240949,0.00000000,-0.00000000
-5.86193097,3.88262972,-3.88262971,0.42688194,-0.42688195,1.82044043,-1.82044043,0.00441405,-0.00441405,0.78088426,-0.78088425,1.29512623,-1.29512623,0.89085972,-0.89085971,0.29787234,-0.29787234,0.00000000,-0.00000000
-5.85592796,3.95138515,-3.95138515,0.42339163,-0.42339164,1.87018972,-1.87018972,0.00482587,-0.00482587,0.78364904,-0.78364904,1.29599699,-1.29599699,0.89909152,-0.89909151,0.30300230,-0.30300230,0.00000000,-0.00000000
-5.84992496,4.01178680,-4.01178680,0.42057346,-0.42057346,1.91843990,-1.91843990,0.00525489,-0.00525489,0.78275691,-0.78275691,1.29059951,-1.29059951,0.90399694,-0.90399694,0.30775282,-0.30775282,0.00000000,-0.00000000
-5.84392196,4.06323651,-4.06323651,0.41840714,-0.41840714,1.96466288,-1.96466288,0.00569747,-0.00569747,0.77825947,-0.77825947,1.27911347,-1.27911347,0.90551298,-0.90551297,0.31207752,-0.31207752,0.00000000,-0.00000000
-5.83791896,4.10524028,-4.10524028,0.41684779,-0.41684780,2.00832851,-2.00832852,0.00614941,-0.00614941,0.77027388,-0.77027388,1.26183091,-1.26183091,0.90363300,-0.90363299,0.31593092,-0.31593092,0.00000000,-0.00000000
-5.83191596,4.13740489,-4.13740490,0.41582857,-0.41582857,2.04890783,-2.04890784,0.00660600,-0.00660600,0.75897730,-0.75897730,1.23914387,-1.23914388,0.89840510,-0.89840510,0.31926931,-0.31926932,0.00000000,-0.00000000
-5.82591296,4.15943468,-4.15943470,0.41526412,-0.41526413,2.08587842,-2.08587843,0.00706207,-0.00706207,0.74459979,-0.74459980,1.21152949,-1.21152949,0.88992926,-0.88992926,0.32205176,-0.32205176,0.00000000,-0.00000000
-5.81990995,4.17112936,-4.17112938,0.41505481,-0.41505481,2.11873213,-2.11873214,0.00751217,-0.00751217,0.72741615,-0.72741615,1.17953319,-1.17953320,0.87835342,-0.87835342,0.32424121,-0.32424121,0.00000000,-0.00000000
-5.81390695,4.17238345,-4.17238347,0.41509130,-0.41509130,2.14698515,-2.14698516,0.00795063,-0.00795063,0.70773690,-0.70773691,1.14375088,-1.14375089,0.86386876,-0.86386876,0.32580572,-0.32580573,0.00000000,-0.00000000
-5.80790395,4.16318772,-4.16318774,0.41525963,-0.41525963,2.17019029,-2.17019031,0.00837173,-0.00837173,0.68589907,-0.68589907,1.10481078,-1.10481079,0.84670440,-0.84670441,0.32671983,-0.32671983,0.00000000,-0.00000000
-5.80190095,4.14363286,-4.14363288,0.41544643,-0.41544644,2.18795115,-2.18795116,0.00876986,-0.00876986,0.66225686,-0.66225686,1.06335587,-1.06335588,0.82712174,-0.82712174,0.32696585,-0.32696585,0.00000000,-0.00000000
-5.79589795,4.11391518,-4.11391520,0.41554420,-0.41554420,2.19993755,-2.19993756,0.00913965,-0.00913965,0.63717286,-0.63717287,1.02002740,-1.02002741,0.80540866,-0.80540867,0.32653537,-0.32653537,0.00000000,-0.00000000
-5.78989495,4.07434412,-4.07434415,0.41545637,-0.41545637,2.20590163,-2.20590165,0.00947613,-0.00947613,0.61100991,-0.61100992,0.97545029,-0.97545030,0.78187387,-0.78187387,0.32543054,-0.32543054,0.00000000,-0.00000000
-5.78389195,4.02535084,-4.02535087,0.41510222,-0.41510223,2.20569379,-2.20569380,0.00977487,-0.00977487,0.58412392,-0.58412393,0.93022068,-0.93022069,0.75684145,-0.75684146,0.32366544,-0.32366544,0.00000000,-0.00000000
-5.77788894,3.96749723,-3.96749725,0.41442126,-0.41442127,2.19927750,-2.19927752,0.01003209,-0.01003209,0.55685788,-0.55685788,0.88489606,-0.88489607,0.73064588,-0.73064589,0.32126718,-0.32126719,0.00000000,-0.00000000
-5.77188594,3.90148428,-3.90148431,0.41337705,-0.41337706,2.18674233,-2.18674235,0.01024476,-0.01024476,0.52953707,-0.52953708,0.83998805,-0.83998807,0.70362746,-0.70362747,0.31827686,-0.31827686,0.00000000,-0.00000000
-5.76588294,3.82815901,-3.82815904,0.41196035,-0.41196035,2.16831413,-2.16831414,0.01041068,-0.01041068,0.50246563,-0.50246564,0.79595789,-0.79595790,0.67612836,-0.67612836,0.31475016,-0.31475017,0.00000000,-0.00000000
-5.75987994,3.74851875,-3.74851878,0.41019143,-0.41019143,2.14436180,-2.14436181,0.01052853,-0.01052853,0.47592420,-0.47592421,0.75321439,-0.75321440,0.64848909,-0.64848910,0.31075766,-0.31075766,0.00000000,-0.00000000
-5.75387694,3.66371190,-3.66371193,0.40812150,-0.40812151,2.11539997,-2.11539999,0.01059786,-0.01059786,0.45016884,-0.45016885,0.71211415,-0.71211416,0.62104554,-0.62104554,0.30638466,-0.30638467,0.00000000,-0.00000000
-5.74787394,3.57503440,-3.57503443,0.40583320,-0.40583320,2.08208720,-2.08208721,0.01061907,-0.01061907,0.42543074,-0.42543075,0.67296364,-0.67296365,0.59412627,-0.59412628,0.30173061,-0.30173061,0.00000000,-0.00000000
-5.74187094,3.48392115,-3.48392118,0.40343994,-0.40343994,2.04521937,-2.04521938,0.01059339,-0.01059339,0.40191676,-0.40191676,0.63602270,-0.63602271,0.56805021,-0.56805021,0.29690795,-0.29690795,0.00000000,-0.00000000
