energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.84380259,0.02682093,0.01128791,0.66773520,0.19548390,0.35692423,0.04951554,0.08294770,1.19244390
-5.99399700,1.77247466,0.02484809,0.01091236,0.64116189,0.19977790,0.33998255,0.04557023,0.07793347,1.14420171
-5.98799400,1.71133921,0.02300010,0.01061831,0.61674697,0.20554025,0.32439525,0.04204196,0.07337226,1.10233709
-5.98199100,1.66093154,0.02130333,0.01040394,0.59489912,0.21281497,0.31031873,0.03892999,0.06928461,1.06721749
-5.97598799,1.62163824,0.01978170,0.01026645,0.57596536,0.22162287,0.29788201,0.03623145,0.06568490,1.03911530
-5.96998499,1.59368140,0.01845636,0.01020210,0.56022240,0.23195990,0.28718275,0.03394124,0.06258082,1.01819736
-5.96398199,1.57710758,0.01734534,0.01020616,0.54787050,0.24379616,0.27828442,0.03205185,0.05997307,1.00451747
-5.95797899,1.57178199,0.01646329,0.01027301,0.53902999,0.25707545,0.27121462,0.03055326,0.05785522,0.99801242
-5.95197599,1.57738781,0.01582127,0.01039619,0.53374028,0.27171544,0.26596476,0.02943284,0.05621380,0.99850133
-5.94597299,1.59343033,0.01542658,0.01056851,0.53196129,0.28760832,0.26249074,0.02867526,0.05502858,1.00568819
-5.93996998,1.61924533,0.01528258,0.01078220,0.53357682,0.30462185,0.26071474,0.02826248,0.05427308,1.01916720
-5.93396698,1.65401097,0.01538860,0.01102904,0.53839963,0.32260079,0.26052785,0.02817373,0.05391516,1.03843042
-5.92796398,1.69676255,0.01573985,0.01130052,0.54617785,0.34136860,0.26179334,0.02838556,0.05391773,1.06287730
-5.92196098,1.74640914,0.01632741,0.01158802,0.55660222,0.36072928,0.26435044,0.02887190,0.05423957,1.09182547
-5.91595798,1.80175162,0.01713818,0.01188295,0.56931403,0.38046939,0.26801836,0.02960417,0.05483613,1.12452248
-5.90995498,1.86150141,0.01815498,0.01217694,0.58391328,0.40036024,0.27260051,0.03055142,0.05566036,1.16015796
-5.90395198,1.92429965,0.01935664,0.01246192,0.59996697,0.42016012,0.27788862,0.03168054,0.05666356,1.19787606
-5.89794897,1.98873648,0.02071822,0.01273029,0.61701735,0.43961682,0.28366683,0.03295648,0.05779613,1.23678800
-5.89194597,2.05337054,0.02221127,0.01297503,0.63459005,0.45847035,0.28971556,0.03434254,0.05900831,1.27598461
-5.88594297,2.11674868,0.02380427,0.01318971,0.65220211,0.47645591,0.29581526,0.03580077,0.06025092,1.31454905
-5.87993997,2.17742612,0.02546307,0.01336862,0.66936988,0.49330735,0.30174987,0.03729237,0.06147595,1.35156968
-5.87393697,2.23398716,0.02715154,0.01350679,0.68561693,0.50876097,0.30731020,0.03877822,0.06263728,1.38615326
-5.86793397,2.28506672,0.02883225,0.01360001,0.70048194,0.52255980,0.31229708,0.04021944,0.06369118,1.41743854
-5.86193097,2.32937257,0.03046726,0.01364484,0.71352658,0.53445835,0.31652443,0.04157803,0.06459698,1.44461031
-5.85592796,2.36570827,0.03201904,0.01363864,0.72434344,0.54422772,0.31982219,0.04281760,0.06531758,1.46691373
-5.84992496,2.39299634,0.03345132,0.01357957,0.73256377,0.55166101,0.32203913,0.04390403,0.06581999,1.48366878
-5.84392196,2.41030119,0.03473005,0.01346656,0.73786511,0.55657879,0.32304544,0.04480627,0.06607587,1.49428462
-5.83791896,2.41685113,0.03582434,0.01329932,0.73997832,0.55883450,0.32273521,0.04549702,0.06606201,1.49827313
-5.83191596,2.41205835,0.03670723,0.01307836,0.73869401,0.55831956,0.32102849,0.04595341,0.06576072,1.49526140
-5.82591296,2.39553614,0.03735652,0.01280492,0.73386789,0.55496774,0.31787301,0.04615756,0.06516020,1.48500230
-5.81990995,2.36711210,0.03775533,0.01248100,0.72542492,0.54875876,0.31324543,0.04609708,0.06425474,1.46738263
-5.81390695,2.32683653,0.03789260,0.01210930,0.71336176,0.53972073,0.30715196,0.04576537,0.06304492,1.44242826
-5.80790395,2.27498508,0.03776336,0.01169323,0.69774752,0.52793120,0.29962824,0.04516180,0.06153750,1.41030567
-5.80190095,2.21205513,0.03736876,0.01123682,0.67872243,0.51351682,0.29073863,0.04429170,0.05974530,1.37131964
-5.79589795,2.13875550,0.03671598,0.01074466,0.65649448,0.49665134,0.28057453,0.04316614,0.05768685,1.32590681
-5.78989495,2.05598969,0.03581791,0.01022184,0.63133404,0.47755203,0.26925206,0.04180156,0.05538590,1.27462513
-5.78389195,1.96483280,0.03469257,0.00967388,0.60356645,0.45647472,0.25690894,0.04021923,0.05287075,1.21813952
-5.77788894,1.86650300,0.03336248,0.00910657,0.57356301,0.43370736,0.24370076,0.03844454,0.05017350,1.15720411
-5.77188594,1.76232862,0.03185385,0.00852591,0.54173056,0.40956262,0.22979671,0.03650619,0.04732912,1.09264168
-5.76588294,1.65371189,0.03019563,0.00793793,0.50850007,0.38436968,0.21537496,0.03443527,0.04437451,1.02532122
-5.75987994,1.54209115,0.02841861,0.00734864,0.47431472,0.35846553,0.20061782,0.03226432,0.04134748,0.95613433
-5.75387694,1.42890277,0.02655438,0.00676381,0.43961793,0.33218628,0.18570697,0.03002639,0.03828574,0.88597161
-5.74787394,1.31554442,0.02463447,0.00618895,0.40484191,0.30585870,0.17081879,0.02775405,0.03522595,0.81569983
-5.74187094,1.20334118,0.02268939,0.00562912,0.37039691,0.27979240,0.15612011,0.02547862,0.03220283,0.74614085
-5.73586793,1.09351569,0.02074792,0.00508887,0.33666196,0.25427294,0.14176450,0.02322932,0.02924834,0.67805309
-5.72986493,0.98716330,0.01883640,0.00457215,0.30397701,0.22955611,0.12788911,0.02103268,0.02639108,0.61211608
-5.72386193,0.88523299,0.01697824,0.00408229,0.27263694,0.20586351,0.11461235,0.01891204,0.02365575,0.54891864
-5.71785893,0.78851450,0.01519353,0.00362191,0.24288752,0.18337956,0.10203229,0.01688719,0.02106284,0.48895079
-5.71185593,0.69763159,0.01349884,0.00319296,0.21492323,0.16225000,0.09022581,0.01497416,0.01862847,0.43259969
-5.70585293,0.61304138,0.01190710,0.00279671,0.18888703,0.14258169,0.07924861,0.01318518,0.01636434,0.38014907
-5.69984992,0.53503913,0.01042771,0.00243375,0.16487176,0.12444376,0.06913582,0.01152878,0.01427790,0.33178229
-5.69384692,0.46376781,0.00906664,0.00210412,0.14292307,0.10786988,0.05990326,0.01000996,0.01237256,0.28758825
-5.68784392,0.39923169,0.00782677,0.00180730,0.12304358,0.09286134,0.05154915,0.00863046,0.01064810,0.24756977
-5.68184092,0.34131277,0.00670814,0.00154229,0.10519795,0.07939097,0.04405628,0.00738921,0.00910107,0.21165381
-5.67583792,0.28978935,0.00570841,0.00130776,0.08931855,0.06740740,0.03739433,0.00628267,0.00772531,0.17970296
-5.66983492,0.24435555,0.00482322,0.00110206,0.07531148,0.05683964,0.03152240,0.00530529,0.00651242,0.15152756
-5.66383192,0.20464106,0.00404665,0.00092335,0.06306264,0.04760166,0.02639147,0.00445002,0.00545233,0.12689794
-5.65782891,0.17023031,0.00337161,0.00076966,0.05244358,0.03959685,0.02194690,0.00370869,0.00453377,0.10555626
