energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,4.80103826,0.02408372,1.10769037,2.45205897,2.22485703,1.43713617,0.00000000
-5.99399700,4.80922500,0.02427829,1.11095466,2.44347844,2.22993728,1.44444659,0.00000000
-5.98799400,4.80117051,0.02435549,1.11185646,2.42734495,2.22841799,1.44447004,0.00000000
-5.98199100,4.77664677,0.02431388,1.11034368,2.40390928,2.22015506,1.43707955,0.00000000
-5.97598799,4.73584292,0.02415464,1.10642980,2.37361952,2.20517026,1.42232290,0.00000000
-5.96998499,4.67935594,0.02388152,1.10019371,2.33710367,2.18365043,1.40041782,0.00000000
-5.96398199,4.60816730,0.02350063,1.09177737,2.29514598,2.15594111,1.37174135,0.00000000
-5.95797899,4.52360641,0.02302023,1.08138121,2.24865803,2.12253501,1.33681389,0.00000000
-5.95197599,4.42730290,0.02245033,1.06925779,2.19864597,2.08405566,1.29627869,0.00000000
-5.94597299,4.32112939,0.02180239,1.05570359,2.14617519,2.04123712,1.25087772,0.00000000
-5.93996998,4.20713745,0.02108885,1.04104947,2.09233391,1.99490026,1.20142511,0.00000000
-5.93396698,4.08748910,0.02032272,1.02564998,2.03819700,1.94592667,1.14877927,0.00000000
-5.92796398,3.96438646,0.01951712,1.00987180,1.98479151,1.89523105,1.09381482,0.00000000
-5.92196098,3.84000219,0.01868492,0.99408179,1.93306491,1.84373285,1.03739566,0.00000000
-5.91595798,3.71641317,0.01783832,0.97863487,1.88385718,1.79232841,0.98035000,0.00000000
-5.90995498,3.59553962,0.01698855,0.96386218,1.83787753,1.74186409,0.92344852,0.00000000
-5.90395198,3.47909152,0.01614560,0.95005982,1.79568631,1.69311158,0.86738615,0.00000000
-5.89794897,3.36852405,0.01531803,0.93747853,1.75768251,1.64674590,0.81276809,0.00000000
-5.89194597,3.26500313,0.01451289,0.92631470,1.72409701,1.60332684,0.76010040,0.00000000
-5.88594297,3.16938184,0.01373561,0.91670293,1.69499148,1.56328441,0.70978506,0.00000000
-5.87993997,3.08218812,0.01299009,0.90871046,1.67026265,1.52690864,0.66211944,0.00000000
-5.87393697,3.00362370,0.01227875,0.90233375,1.64965166,1.49434407,0.61729986,0.00000000
-5.86793397,2.93357376,0.01160269,0.89749731,1.63275780,1.46558908,0.57542852,0.00000000
-5.86193097,2.87162674,0.01096184,0.89405490,1.61905616,1.44049999,0.53652347,0.00000000
-5.85592796,2.81710316,0.01035521,0.89179326,1.60791828,1.41879983,0.50053057,0.00000000
-5.84992496,2.76909210,0.00978105,0.89043812,1.59863531,1.40009151,0.46733697,0.00000000
-5.84392196,2.72649413,0.00923713,0.88966254,1.59044275,1.38387478,0.43678524,0.00000000
