energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.21950673,0.00548623,0.13337681,0.67636406,0.41574646,0.00742617,0.48692427,0.17902454,0.08433587
-5.99399700,1.23787730,0.00520368,0.13148549,0.66502317,0.42085527,0.00814701,0.49873706,0.18202173,0.08664838
-5.98799400,1.25771453,0.00495799,0.13019486,0.65685931,0.42646828,0.00893061,0.51109169,0.18518250,0.08898175
-5.98199100,1.27849629,0.00474749,0.12943694,0.65156225,0.43240494,0.00977354,0.52379977,0.18846211,0.09130474
-5.97598799,1.29978882,0.00457032,0.12914909,0.64886856,0.43851511,0.01067097,0.53671014,0.19183834,0.09359149
-5.96998499,1.32126092,0.00442458,0.12927643,0.64857280,0.44468439,0.01161659,0.54971339,0.19531333,0.09582229
-5.96398199,1.34269237,0.00430848,0.12977325,0.65053399,0.45083732,0.01260257,0.56274417,0.19891419,0.09798400
-5.95797899,1.36397637,0.00422042,0.13060380,0.65467760,0.45693842,0.01361959,0.57578132,0.20269250,0.10007018
-5.95197599,1.38511628,0.00415907,0.13174220,0.66099280,0.46299117,0.01465696,0.58884609,0.20672266,0.10208092
-5.94597299,1.40621725,0.00412345,0.13317169,0.66952564,0.46903513,0.01570271,0.60199851,0.21109914,0.10402233
-5.93996998,1.42747361,0.00411299,0.13488324,0.68036866,0.47514145,0.01674386,0.61533244,0.21593290,0.10590595
-5.93396698,1.44915297,0.00412753,0.13687372,0.69364759,0.48140710,0.01776667,0.62896949,0.22134715,0.10774792
-5.92796398,1.47157823,0.00416731,0.13914374,0.70950630,0.48794838,0.01875699,0.64305247,0.22747258,0.10956807
-5.92196098,1.49510869,0.00423306,0.14169535,0.72809073,0.49489395,0.01970064,0.65773856,0.23444237,0.11138902
-5.91595798,1.52012136,0.00432586,0.14452974,0.74953295,0.50237784,0.02058387,0.67319276,0.24238729,0.11323537
-5.90995498,1.54699349,0.00444726,0.14764513,0.77393627,0.51053295,0.02139377,0.68958188,0.25143095,0.11513288
-5.90395198,1.57608717,0.00459917,0.15103499,0.80136232,0.51948510,0.02211876,0.70706936,0.26168556,0.11710788
-5.89794897,1.60773643,0.00478386,0.15468661,0.83182065,0.52934812,0.02274897,0.72581089,0.27324826,0.11918681
-5.89194597,1.64223733,0.00500398,0.15858026,0.86526154,0.54021985,0.02327664,0.74595115,0.28619813,0.12139588
-5.88594297,1.67984086,0.00526253,0.16268880,0.90157220,0.55217931,0.02369644,0.76762127,0.30059392,0.12376087
-5.87993997,1.72074846,0.00556280,0.16697787,0.94057641,0.56528483,0.02400566,0.79093699,0.31647249,0.12630712
-5.87393697,1.76510965,0.00590842,0.17140656,0.98203747,0.57957305,0.02420438,0.81599722,0.33384789,0.12905940
-5.86793397,1.81302114,0.00630328,0.17592852,1.02566398,0.59505859,0.02429542,0.84288273,0.35271093,0.13204191
-5.86193097,1.86452650,0.00675149,0.18049333,1.07111791,0.61173408,0.02428428,0.87165447,0.37302909,0.13527821
-5.85592796,1.91961590,0.00725735,0.18504815,1.11802421,0.62957038,0.02417886,0.90235142,0.39474668,0.13879091
-5.84992496,1.97822485,0.00782527,0.18953942,1.16598125,0.64851672,0.02398915,0.93498765,0.41778491,0.14260131
-5.84392196,2.04023167,0.00845968,0.19391447,1.21457107,0.66850048,0.02372682,0.96954836,0.44204199,0.14672876
-5.83791896,2.10545324,0.00916486,0.19812300,1.26336901,0.68942659,0.02340465,1.00598501,0.46739297,0.15118984
-5.83191596,2.17363887,0.00994486,0.20211830,1.31195177,0.71117651,0.02303602,1.04420952,0.49368928,0.15599729
-5.82591296,2.24446280,0.01080329,0.20585806,1.35990363,0.73360667,0.02263434,1.08408798,0.52075823,0.16115872
-5.81990995,2.31751545,0.01174314,0.20930489,1.40682047,0.75654676,0.02221245,1.12543399,0.54840223,0.16667524
-5.81390695,2.39229465,0.01276655,0.21242635,1.45231160,0.77979794,0.02178210,1.16800249,0.57639819,0.17254002
-5.80790395,2.46819753,0.01387462,0.21519470,1.49599958,0.80313130,0.02135350,1.21148440,0.60449714,0.17873676
-5.80190095,2.54451443,0.01506712,0.21758631,1.53751838,0.82628696,0.02093493,1.25550281,0.63242445,0.18523843
-5.79589795,2.62042590,0.01634236,0.21958085,1.57651050,0.84897417,0.02053245,1.29961147,0.65988073,0.19200612
-5.78989495,2.69500405,0.01769690,0.22116040,1.61262377,0.87087269,0.02014981,1.34329591,0.68654395,0.19898826
-5.78389195,2.76721915,0.01912544,0.22230855,1.64550847,0.89163588,0.01978833,1.38597792,0.71207273,0.20612023
-5.77788894,2.83595214,0.02062067,0.22300964,1.67481570,0.91089548,0.01944708,1.42702349,0.73611112,0.21332453
-5.77188594,2.90001356,0.02217319,0.22324820,1.70019751,0.92826840,0.01912303,1.46575437,0.75829486,0.22051141
-5.76588294,2.95816871,0.02377155,0.22300881,1.72130934,0.94336530,0.01881142,1.50146316,0.77825914,0.22758012
-5.75987994,3.00916860,0.02540225,0.22227618,1.73781519,0.95580091,0.01850607,1.53343153,0.79564760,0.23442076
