energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.62781391,0.67719120,0.00018151,0.01643191,0.00614369,0.00000000,0.01194111,0.41174355,0.20774705,0.15762540
-5.62181091,0.71660483,0.00019021,0.01640391,0.00648992,0.00000000,0.01274304,0.43651469,0.21492189,0.16814147
-5.61580790,0.75633673,0.00021190,0.01653269,0.00683524,0.00000000,0.01355206,0.46136787,0.22285701,0.17847329
-5.60980490,0.79541195,0.00024786,0.01677229,0.00717114,0.00000000,0.01435054,0.48573308,0.23118661,0.18841372
-5.60380190,0.83292207,0.00029998,0.01708180,0.00748976,0.00000000,0.01512137,0.50907821,0.23958167,0.19776651
-5.59779890,0.86804778,0.00037072,0.01742546,0.00778407,0.00000000,0.01584842,0.53092331,0.24775535,0.20635186
-5.59179590,0.90008142,0.00046321,0.01777267,0.00804812,0.00000000,0.01651693,0.55085483,0.25546831,0.21401203
-5.58579290,0.92844872,0.00058121,0.01809808,0.00827716,0.00000000,0.01711403,0.56853931,0.26253346,0.22061683
-5.57978989,0.95272850,0.00072921,0.01838163,0.00846788,0.00000000,0.01762908,0.58373582,0.26882025,0.22606859
-5.57378689,0.97266953,0.00091237,0.01860865,0.00861852,0.00000000,0.01805409,0.59630653,0.27425788,0.23030659
-5.56778389,0.98820349,0.00113658,0.01876984,0.00872894,0.00000000,0.01838403,0.60622488,0.27883749,0.23331052
-5.56178089,0.99945310,0.00140839,0.01886130,0.00880076,0.00000000,0.01861706,0.61358066,0.28261293,0.23510289
-5.55577789,1.00673494,0.00173495,0.01888448,0.00883730,0.00000000,0.01875467,0.61858178,0.28569998,0.23575021
-5.54977489,1.01055630,0.00212401,0.01884612,0.00884357,0.00000000,0.01880171,0.62155231,0.28827404,0.23536286
-5.54377189,1.01160597,0.00258369,0.01875803,0.00882615,0.00000000,0.01876631,0.62292671,0.29056598,0.23409352
-5.53776888,1.01073902,0.00312243,0.01863691,0.00879308,0.00000000,0.01865966,0.62324022,0.29285642,0.23213439
-5.53176588,1.00895574,0.00374877,0.01850408,0.00875366,0.00000000,0.01849572,0.62311575,0.29546843,0.22971298
-5.52576288,1.00737548,0.00447106,0.01838511,0.00871816,0.00000000,0.01829078,0.62324736,0.29875877,0.22708691
-5.51975988,1.00720598,0.00529729,0.01830940,0.00869763,0.00000000,0.01806296,0.62438109,0.30310802,0.22453760
-5.51375688,1.00970917,0.00623471,0.01830975,0.00870353,0.00000000,0.01783160,0.62729351,0.30890966,0.22236331
-5.50775388,1.01616463,0.00728953,0.01842179,0.00874743,0.00000000,0.01761662,0.63276877,0.31655869,0.22087151
-5.50175088,1.02783161,0.00846654,0.01868343,0.00884069,0.00000000,0.01743784,0.64157484,0.32643981,0.22037108
-5.49574787,1.04591104,0.00976878,0.01913418,0.00899412,0.00000000,0.01731428,0.65443968,0.33891574,0.22116423
-5.48974487,1.07150840,0.01119718,0.01981454,0.00921769,0.00000000,0.01726349,0.67202812,0.35431585,0.22353873
-5.48374187,1.10559881,0.01275018,0.02076515,0.00952016,0.00000000,0.01730088,0.69492005,0.37292543,0.22776031
-5.47773887,1.14899505,0.01442346,0.02202608,0.00990889,0.00000000,0.01743919,0.72359066,0.39497598,0.23406563
-5.47173587,1.20231957,0.01620972,0.02363586,0.01038954,0.00000000,0.01768797,0.75839315,0.42063654,0.24265579
-5.46573287,1.26598094,0.01809843,0.02563063,0.01096587,0.00000000,0.01805319,0.79954449,0.45000647,0.25369064
-5.45972986,1.34015553,0.02007581,0.02804307,0.01163960,0.00000000,0.01853694,0.84711450,0.48310966,0.26728382
-5.45372686,1.42477462,0.02212480,0.03090136,0.01241027,0.00000000,0.01913727,0.90101850,0.51989034,0.28349868
-5.44772386,1.51951715,0.02422519,0.03422809,0.01327519,0.00000000,0.01984821,0.96101374,0.56021055,0.30234513
-5.44172086,1.62380829,0.02635385,0.03803906,0.01422938,0.00000000,0.02065981,1.02669951,0.60384927,0.32377731
-5.43571786,1.73682376,0.02848512,0.04234218,0.01526562,0.00000000,0.02155839,1.09752105,0.65050320,0.34769234
-5.42971486,1.85749968,0.03059120,0.04713633,0.01637452,0.00000000,0.02252692,1.17277705,0.69978917,0.37392988
-5.42371186,1.98454782,0.03264281,0.05241032,0.01754463,0.00000000,0.02354543,1.25163055,0.75124824,0.40227283
-5.41770885,2.11647585,0.03460979,0.05814199,0.01876261,0.00000000,0.02459164,1.33312308,0.80435122,0.43244893
-5.41170585,2.25161230,0.03646185,0.06429746,0.02001342,0.00000000,0.02564152,1.41619162,0.85850583,0.46413352
-5.40570285,2.38813586,0.03816936,0.07083066,0.02128057,0.00000000,0.02667005,1.49968823,0.91306523,0.49695334
-5.39969985,2.52410836,0.03970411,0.07768315,0.02254644,0.00000000,0.02765190,1.58240179,0.96733802,0.53049146
-5.39369685,2.65751121,0.04104012,0.08478426,0.02379255,0.00000000,0.02856223,1.66308170,1.02059950,0.56429346
-5.38769385,2.78628447,0.04215438,0.09205171,0.02499994,0.00000000,0.02937732,1.74046287,1.07210425,0.59787465
-5.38169085,2.90836805,0.04302747,0.09939263,0.02614955,0.00000000,0.03007535,1.81329178,1.12109971,0.63072852
-5.37568784,3.02174434,0.04364420,0.10670497,0.02722257,0.00000000,0.03063697,1.88035292,1.16684087,0.66233617
-5.36968484,3.12448134,0.04399398,0.11387944,0.02820093,0.00000000,0.03104583,1.94049526,1.20860555,0.69217673
-5.36368184,3.21477561,0.04407120,0.12080185,0.02906761,0.00000000,0.03128906,1.99265807,1.24571024,0.71973850
-5.35767884,3.29099384,0.04387534,0.12735573,0.02980713,0.00000000,0.03135753,2.03589555,1.27752606,0.74453059
-5.35167584,3.35171216,0.04341097,0.13342536,0.03040586,0.00000000,0.03124611,2.06939965,1.30349441,0.76609482
-5.34567284,3.39575206,0.04268760,0.13889890,0.03085244,0.00000000,0.03095369,2.09252047,1.32314199,0.78401744
-5.33966983,3.42221170,0.04171939,0.14367158,0.03113804,0.00000000,0.03048311,2.10478354,1.33609453,0.79794030
-5.33366683,3.43049169,0.04052468,0.14764896,0.03125668,0.00000000,0.02984105,2.10590345,1.34208884,0.80757121
-5.32766383,3.42031414,0.03912547,0.15074983,0.03120536,0.00000000,0.02903766,2.09579332,1.34098260,0.81269278
-5.32166083,3.39173423,0.03754674,0.15290895,0.03098424,0.00000000,0.02808620,2.07456952,1.33276141,0.81316969
-5.31565783,3.34514348,0.03581576,0.15407927,0.03059669,0.00000000,0.02700259,2.04255142,1.31754268,0.80895377
-5.30965483,3.28126429,0.03396135,0.15423365,0.03004921,0.00000000,0.02580483,2.00025592,1.29557603,0.80008673
-5.30365183,3.20113570,0.03201309,0.15336595,0.02935131,0.00000000,0.02451250,1.94838665,1.26723991,0.78670037
-5.29764882,3.10609020,0.03000065,0.15149146,0.02851535,0.00000000,0.02314613,1.88781817,1.23303447,0.76901411
-5.29164582,2.99772241,0.02795303,0.14864667,0.02755618,0.00000000,0.02172665,1.81957524,1.19357066,0.74732986
-5.28564282,2.87785028,0.02589795,0.14488832,0.02649079,0.00000000,0.02027482,1.74480796,1.14955581,0.72202446
-5.27963982,2.74846990,0.02386134,0.14029190,0.02533788,0.00000000,0.01881077,1.66476325,1.10177613,0.69353990
-5.27363682,2.61170558,0.02186680,0.13494955,0.02411738,0.00000000,0.01735350,1.58075374,1.05107660,0.66237162
-5.26763382,2.46975658,0.01993535,0.12896759,0.02284990,0.00000000,0.01592050,1.49412490,0.99833902,0.62905548
-5.26163082,2.32484256,0.01808507,0.12246372,0.02155621,0.00000000,0.01452749,1.40622152,0.94445887,0.59415382
-5.25562781,2.17914945,0.01633103,0.11556404,0.02025674,0.00000000,0.01318815,1.31835474,0.89032188,0.55824117
-5.24962481,2.03477771,0.01468519,0.10840007,0.01897097,0.00000000,0.01191399,1.23177060,0.83678112,0.52189026
-5.24362181,1.89369475,0.01315644,0.10110587,0.01771705,0.00000000,0.01071428,1.14762125,0.78463547,0.48565875
-5.23761881,1.75769306,0.01175073,0.09381542,0.01651133,0.00000000,0.00959602,1.06693965,0.73461023,0.45007730
-5.23161581,1.62835535,0.01047123,0.08666026,0.01536798,0.00000000,0.00856405,0.99061867,0.68734048,0.41563926
-5.22561281,1.50702783,0.00931856,0.07976766,0.01429877,0.00000000,0.00762111,0.91939509,0.64335781,0.38279241
-5.21960980,1.39480216,0.00829105,0.07325912,0.01331281,0.00000000,0.00676807,0.85383898,0.60308086,0.35193293
-5.21360680,1.29250639,0.00738509,0.06724942,0.01241649,0.00000000,0.00600408,0.79434863,0.56680982,0.32340157
-5.20760380,1.20070482,0.00659538,0.06184607,0.01161345,0.00000000,0.00532682,0.74115101,0.53472494,0.29748219
-5.20160080,1.11970630,0.00591532,0.05714912,0.01090464,0.00000000,0.00473274,0.69430756,0.50688917,0.27440233
-5.19559780,1.04958018,0.00533727,0.05325135,0.01028848,0.00000000,0.00421729,0.65372486,0.48325439,0.25433567
-5.18959480,0.99017891,0.00485292,0.05023860,0.00976112,0.00000000,0.00377521,0.61916966,0.46367113,0.23740599
-5.18359180,0.94116581,0.00445357,0.04819016,0.00931665,0.00000000,0.00340077,0.59028751,0.44790104,0.22369227
-5.17758879,0.90204689,0.00413044,0.04717919,0.00894751,0.00000000,0.00308799,0.56662418,0.43563171,0.21323444
-5.17158579,0.87220484,0.00387490,0.04727293,0.00864483,0.00000000,0.00283089,0.54764904,0.42649299,0.20603940
-5.16558279,0.85093397,0.00367875,0.04853260,0.00839882,0.00000000,0.00262367,0.53277938,0.42007429,0.20208685
-5.15957979,0.83747432,0.00353446,0.05101299,0.00819918,0.00000000,0.00246095,0.52140492,0.41594204,0.20133445
-5.15357679,0.83104379,0.00343531,0.05476155,0.00803547,0.00000000,0.00233789,0.51291144,0.41365665,0.20372212
-5.14757379,0.83086699,0.00337562,0.05981704,0.00789751,0.00000000,0.00225038,0.50670295,0.41278838,0.20917513
-5.14157079,0.83619979,0.00335089,0.06620770,0.00777570,0.00000000,0.00219512,0.50222149,0.41293152,0.21760584
-5.13556778,0.84634894,0.00335790,0.07394901,0.00766129,0.00000000,0.00216978,0.49896412,0.41371644,0.22891398
-5.12956478,0.86068622,0.00339481,0.08304103,0.00754668,0.00000000,0.00217304,0.49649661,0.41481914,0.24298567
-5.12356178,0.87865703,0.00346123,0.09346565,0.00742555,0.00000000,0.00220463,0.49446343,0.41596808,0.25969109
-5.11755878,0.89978343,0.00355823,0.10518369,0.00729301,0.00000000,0.00226541,0.49259409,0.41694827,0.27888134
-5.11155578,0.92366221,0.00368833,0.11813219,0.00714567,0.00000000,0.00235731,0.49070552,0.41760248,0.30038458
-5.10555278,0.94995841,0.00385544,0.13222197,0.00698165,0.00000000,0.00248334,0.48870103,0.41782990,0.32400192
-5.09954977,0.97839523,0.00406476,0.14733588,0.00680051,0.00000000,0.00264749,0.48656566,0.41758240,0.34950363
-5.09354677,1.00874126,0.00432267,0.16332761,0.00660317,0.00000000,0.00285465,0.48435875,0.41685882,0.37662586
-5.08754377,1.04079612,0.00463647,0.18002169,0.00639174,0.00000000,0.00311050,0.48220382,0.41569764,0.40506854
-5.08154077,1.07437545,0.00501422,0.19721435,0.00616938,0.00000000,0.00342127,0.48027656,0.41416862,0.43449475
-5.07553777,1.10929649,0.00546441,0.21467579,0.00594006,0.00000000,0.00379363,0.47879138,0.41236374,0.46453177
-5.06953477,1.14536488,0.00599567,0.23215355,0.00570834,0.00000000,0.00423436,0.47798720,0.41038811,0.49477418
-5.06353177,1.18236380,0.00661638,0.24937718,0.00547918,0.00000000,0.00475017,0.47811288,0.40835117,0.52478903
-5.05752876,1.22004566,0.00733428,0.26606406,0.00525765,0.00000000,0.00534732,0.47941315,0.40635864,0.55412301
-5.05152576,1.25812706,0.00815610,0.28192616,0.00504876,0.00000000,0.00603137,0.48211523,0.40450560,0.58231144
-5.04552276,1.29628693,0.00908708,0.29667758,0.00485724,0.00000000,0.00680681,0.48641671,0.40287076,0.60888887
-5.03951976,1.33416789,0.01013060,0.31004251,0.00468737,0.00000000,0.00767675,0.49247514,0.40151238,0.63340076
-5.03351676,1.37138047,0.01128777,0.32176343,0.00454281,0.00000000,0.00864258,0.50039940,0.40046560,0.65541574
-5.02751376,1.40750992,0.01255705,0.33160897,0.00442652,0.00000000,0.00970369,0.51024322,0.39974137,0.67453803
-5.02151076,1.44212492,0.01393399,0.33938129,0.00434066,0.00000000,0.01085716,0.52200090,0.39932678,0.69041918
-5.01550775,1.47478757,0.01541095,0.34492251,0.00428652,0.00000000,0.01209760,0.53560526,0.39918662,0.70276873
-5.00950475,1.50506415,0.01697701,0.34811992,0.00426453,0.00000000,0.01341698,0.55092788,0.39926608,0.71136320
-5.00350175,1.53253590,0.01861791,0.34890968,0.00427428,0.00000000,0.01480452,0.56778139,0.39949417,0.71605291
-4.99749875,1.55680926,0.02031610,0.34727892,0.00431453,0.00000000,0.01624676,0.58592388,0.39978776,0.71676630
-4.99149575,1.57752527,0.02205101,0.34326596,0.00438333,0.00000000,0.01772764,0.60506498,0.40005585,0.71351160
-4.98549275,1.59436752,0.02379933,0.33695883,0.00447805,0.00000000,0.01922873,0.62487368,0.40020396,0.70637565
-4.97948974,1.60706873,0.02553546,0.32849207,0.00459554,0.00000000,0.02072954,0.64498726,0.40013831,0.69552004
-4.97348674,1.61541552,0.02723212,0.31804188,0.00473221,0.00000000,0.02220795,0.66502136,0.39976966,0.68117478
-4.96748374,1.61925163,0.02886099,0.30582007,0.00488419,0.00000000,0.02364069,0.68458063,0.39901667,0.66362973
-4.96148074,1.61847958,0.03039346,0.29206688,0.00504740,0.00000000,0.02500396,0.70326966,0.39780860,0.64322443
-4.95547774,1.61306075,0.03180147,0.27704314,0.00521773,0.00000000,0.02627404,0.72070381,0.39608739,0.62033654
-4.94947474,1.60301437,0.03305829,0.26102209,0.00539109,0.00000000,0.02742795,0.73651967,0.39380895,0.59536972
-4.94347174,1.58841525,0.03413938,0.24428115,0.00556357,0.00000000,0.02844418,0.75038455,0.39094382,0.56874136
-4.93746873,1.56939070,0.03502317,0.22709412,0.00573149,0.00000000,0.02930327,0.76200498,0.38747702,0.54087057
-4.93146573,1.54611663,0.03569174,0.20972400,0.00589147,0.00000000,0.02998848,0.77113362,0.38340740,0.51216718
-4.92546273,1.51881306,0.03613150,0.19241662,0.00604049,0.00000000,0.03048632,0.77757463,0.37874636,0.48302178
-4.91945973,1.48773913,0.03633359,0.17539555,0.00617592,0.00000000,0.03078694,0.78118709,0.37351614,0.45379745
-4.91345673,1.45318762,0.03629426,0.15885800,0.00629554,0.00000000,0.03088452,0.78188658,0.36774777,0.42482310
-4.90745373,1.41547926,0.03601499,0.14297217,0.00639753,0.00000000,0.03077739,0.77964483,0.36147883,0.39638859
-4.90145073,1.37495673,0.03550252,0.12787573,0.00648043,0.00000000,0.03046811,0.77448757,0.35475109,0.36874177
-4.89544772,1.33197850,0.03476864,0.11367559,0.00654317,0.00000000,0.02996339,0.76649079,0.34760827,0.34208718
-4.88944472,1.28691278,0.03382986,0.10044867,0.00658498,0.00000000,0.02927381,0.75577557,0.34009397,0.31658629
-4.88344172,1.24013146,0.03270688,0.08824361,0.00660538,0.00000000,0.02841350,0.74250196,0.33224980,0.29235920
-4.87743872,1.19200448,0.03142402,0.07708329,0.00660413,0.00000000,0.02739965,0.72686206,0.32411409,0.26948741
-4.87143572,1.14289451,0.03000846,0.06696783,0.00658120,0.00000000,0.02625197,0.70907291,0.31572095,0.24801755
-4.86543272,1.09315242,0.02848948,0.05787800,0.00653672,0.00000000,0.02499203,0.68936927,0.30709993,0.22796566
-4.85942971,1.04311347,0.02689760,0.04977884,0.00647096,0.00000000,0.02364267,0.66799692,0.29827621,0.20932195
-4.85342671,0.99309438,0.02526378,0.04262330,0.00638434,0.00000000,0.02222727,0.64520652,0.28927136,0.19205569
-4.84742371,0.94339157,0.02361858,0.03635579,0.00627740,0.00000000,0.02076916,0.62124841,0.28010464,0.17612017
-4.84142071,0.89428030,0.02199140,0.03091553,0.00615077,0.00000000,0.01929097,0.59636835,0.27079468,0.16145744
-4.83541771,0.84601505,0.02040981,0.02623963,0.00600525,0.00000000,0.01781414,0.57080445,0.26136160,0.14800276
-4.82941471,0.79883071,0.01889892,0.02226584,0.00584176,0.00000000,0.01635842,0.54478503,0.25182927,0.13568883
-4.82341171,0.75294484,0.01748092,0.01893490,0.00566140,0.00000000,0.01494151,0.51852763,0.24222775,0.12444943
-4.81740870,0.70856050,0.01617463,0.01619259,0.00546542,0.00000000,0.01357880,0.49223872,0.23259572,0.11422273
-4.81140570,0.66586968,0.01499527,0.01399145,0.00525529,0.00000000,0.01228320,0.46611423,0.22298271,0.10495412
-4.80540270,0.62505709,0.01395426,0.01229205,0.00503268,0.00000000,0.01106503,0.44034048,0.21345114,0.09659858
-4.79939970,0.58630395,0.01305919,0.01106411,0.00479945,0.00000000,0.00993205,0.41509547,0.20407798,0.08912260
-4.79339670,0.54979178,0.01231378,0.01028724,0.00455768,0.00000000,0.00888956,0.39055028,0.19495601,0.08250570
-4.78739370,0.51570590,0.01171811,0.00995152,0.00430965,0.00000000,0.00794052,0.36687046,0.18619459,0.07674151
-4.78139070,0.48423849,0.01126870,0.01005775,0.00405781,0.00000000,0.00708579,0.34421732,0.17791994,0.07183854
-4.77538769,0.45559113,0.01095887,0.01061763,0.00380474,0.00000000,0.00632435,0.32274892,0.17027493,0.06782048
-4.76938469,0.42997675,0.01077900,0.01165356,0.00355316,0.00000000,0.00565357,0.30262095,0.16341834,0.06472617
-4.76338169,0.40762083,0.01071692,0.01319834,0.00330586,0.00000000,0.00506952,0.28398727,0.15752367,0.06260920
-4.75737869,0.38876192,0.01075833,0.01529458,0.00306566,0.00000000,0.00456722,0.26700027,0.15277748,0.06153708
-4.75137569,0.37365142,0.01088723,0.01799382,0.00283538,0.00000000,0.00414092,0.25181103,0.14937725,0.06159006
-4.74537269,0.36255247,0.01108635,0.02135542,0.00261782,0.00000000,0.00378437,0.23856935,0.14752887,0.06285942
-4.73936968,0.35573813,0.01133764,0.02544505,0.00241568,0.00000000,0.00349104,0.22742362,0.14744367,0.06544542
-4.73336668,0.35348856,0.01162275,0.03033286,0.00223156,0.00000000,0.00325436,0.21852065,0.14933505,0.06945467
-4.72736368,0.35608740,0.01192347,0.03609133,0.00206795,0.00000000,0.00306786,0.21200527,0.15341465,0.07499709
-4.72136068,0.36381703,0.01222219,0.04279272,0.00192716,0.00000000,0.00292533,0.20801992,0.15988810,0.08218236
-4.71535768,0.37695289,0.01250232,0.05050617,0.00181135,0.00000000,0.00282098,0.20670390,0.16895036,0.09111589
-4.70935468,0.39575675,0.01274870,0.05929453,0.00172251,0.00000000,0.00274945,0.20819244,0.18078061,0.10189450
-4.70335168,0.42046900,0.01294790,0.06921096,0.00166244,0.00000000,0.00270596,0.21261540,0.19553682,0.11460165
-4.69734867,0.45129995,0.01308854,0.08029538,0.00163274,0.00000000,0.00268628,0.22009553,0.21334998,0.12930254
-4.69134567,0.48842045,0.01316150,0.09257091,0.00163481,0.00000000,0.00268676,0.23074629,0.23431822,0.14603919
-4.68534267,0.53195197,0.01316010,0.10604039,0.00166985,0.00000000,0.00270433,0.24466924,0.25850090,0.16482560
-4.67933967,0.58195652,0.01308012,0.12068325,0.00173884,0.00000000,0.00273648,0.26195087,0.28591296,0.18564323
-4.67333667,0.63842676,0.01291988,0.13645274,0.00184250,0.00000000,0.00278115,0.28265916,0.31651969,0.20843709
-4.66733367,0.70127698,0.01268013,0.15327385,0.00198130,0.00000000,0.00283678,0.30683977,0.35023226,0.23311263
-4.66133067,0.77033516,0.01236392,0.17104196,0.00215543,0.00000000,0.00290212,0.33451224,0.38690436,0.25953357
-4.65532766,0.84533703,0.01197638,0.18962243,0.00236475,0.00000000,0.00297627,0.36566615,0.42633009,0.28752103
-4.64932466,0.92592237,0.01152450,0.20885125,0.00260881,0.00000000,0.00305853,0.40025777,0.46824355,0.31685407
-4.64332166,1.01163423,0.01101681,0.22853679,0.00288678,0.00000000,0.00314836,0.43820712,0.51232020,0.34727169
