energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.24311251,-2.24311250,0.02665974,-0.02665974,0.53339666,-0.53339667,0.80177615,-0.80177616,0.82968094,-0.82968095,0.42709441,-0.42709440,0.00000000,-0.00000000,0.66669132,-0.66669131,0.00000000,-0.00000000
-5.99399700,2.20848747,-2.20848746,0.02418827,-0.02418826,0.54515632,-0.54515633,0.81475952,-0.81475953,0.82972018,-0.82972019,0.40126676,-0.40126676,0.00000000,-0.00000000,0.63540830,-0.63540829,0.00000000,-0.00000000
-5.98799400,2.17898851,-2.17898852,0.02180445,-0.02180445,0.55820966,-0.55820967,0.82987543,-0.82987545,0.83179198,-0.83179198,0.37658607,-0.37658607,0.00000000,-0.00000000,0.60569672,-0.60569672,0.00000000,-0.00000000
-5.98199100,2.15530225,-2.15530225,0.01953126,-0.01953126,0.57258588,-0.57258589,0.84705775,-0.84705777,0.83616428,-0.83616428,0.35328014,-0.35328013,0.00000000,-0.00000000,0.57786105,-0.57786104,0.00000000,-0.00000000
-5.97598799,2.13786710,-2.13786711,0.01738692,-0.01738692,0.58826043,-0.58826044,0.86616084,-0.86616086,0.84301241,-0.84301242,0.33152209,-0.33152208,0.00000000,-0.00000000,0.55212784,-0.55212783,0.00000000,-0.00000000
-5.96998499,2.12687248,-2.12687249,0.01538493,-0.01538493,0.60515448,-0.60515449,0.88696257,-0.88696259,0.85241479,-0.85241480,0.31143165,-0.31143165,0.00000000,-0.00000000,0.52864718,-0.52864717,0.00000000,-0.00000000
-5.96398199,2.12226616,-2.12226617,0.01353426,-0.01353426,0.62313610,-0.62313611,0.90916988,-0.90916990,0.86435171,-0.86435172,0.29307819,-0.29307819,0.00000000,-0.00000000,0.50749680,-0.50749680,0.00000000,-0.00000000
-5.95797899,2.12376886,-2.12376888,0.01183969,-0.01183969,0.64202298,-0.64202299,0.93242639,-0.93242641,0.87870718,-0.87870720,0.27648520,-0.27648520,0.00000000,-0.00000000,0.48868820,-0.48868820,0.00000000,-0.00000000
-5.95197599,2.13089473,-2.13089475,0.01030219,-0.01030219,0.66158659,-0.66158660,0.95632188,-0.95632190,0.89527334,-0.89527335,0.26163576,-0.26163576,0.00000000,-0.00000000,0.47217425,-0.47217425,0.00000000,-0.00000000
-5.94597299,2.14297622,-2.14297624,0.00891946,-0.00891945,0.68155741,-0.68155743,0.98040301,-0.98040303,0.91375724,-0.91375726,0.24847863,-0.24847863,0.00000000,-0.00000000,0.45785780,-0.45785779,0.00000000,-0.00000000
-5.93996998,2.15919211,-2.15919213,0.00768641,-0.00768641,0.70163129,-0.70163130,1.00418494,-1.00418495,0.93378968,-0.93378969,0.23693451,-0.23693450,0.00000000,-0.00000000,0.44560053,-0.44560053,0.00000000,-0.00000000
-5.93396698,2.17859723,-2.17859725,0.00659577,-0.00659577,0.72147637,-0.72147638,1.02716344,-1.02716345,0.95493558,-0.95493560,0.22690211,-0.22690211,0.00000000,-0.00000000,0.43523182,-0.43523182,0.00000000,-0.00000000
-5.92796398,2.20015294,-2.20015296,0.00563860,-0.00563860,0.74074076,-0.74074077,1.04882718,-1.04882719,0.97670575,-0.97670576,0.21826393,-0.21826392,0.00000000,-0.00000000,0.42655701,-0.42655701,0.00000000,-0.00000000
