energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-2.70435218,3.53255630,0.00777082,0.58671660,0.02902466,0.03411355,2.49225174,1.58717572,0.78002471
-2.69834917,3.54356994,0.00764183,0.58320220,0.03013464,0.03516899,2.50665977,1.58071522,0.79048867
-2.69234617,3.55611929,0.00752389,0.57887114,0.03141206,0.03631866,2.52208974,1.57315926,0.80202514
-2.68634317,3.56982891,0.00741429,0.57377572,0.03286535,0.03754335,2.53813417,1.56440621,0.81450709
-2.68034017,3.58428780,0.00731093,0.56798243,0.03450433,0.03882319,2.55434357,1.55434414,0.82778727
-2.67433717,3.59905389,0.00721229,0.56156948,0.03633958,0.04013809,2.57023428,1.54285443,0.84169949
-2.66833417,3.61366178,0.00711747,0.55462402,0.03838179,0.04146820,2.58529971,1.52981734,0.85606112
-2.66233117,3.62763329,0.00702616,0.54723933,0.04064094,0.04279439,2.59902406,1.51511891,0.87067668
-2.65632816,3.64049010,0.00693855,0.53951198,0.04312545,0.04409861,2.61089797,1.49865879,0.88534222
-2.65032516,3.65176763,0.00685536,0.53153888,0.04584131,0.04536432,2.62043520,1.48035844,0.89985042
-2.64432216,3.66102922,0.00677768,0.52341458,0.04879127,0.04657680,2.62718922,1.46016905,0.91399598
-2.63831916,3.66787960,0.00670694,0.51522853,0.05197403,0.04772338,2.63076883,1.43807849,0.92758108
-2.63231616,3.67197673,0.00664481,0.50706266,0.05538372,0.04879359,2.63085186,1.41411692,0.94042055
-2.62631316,3.67304138,0.00659310,0.49898919,0.05900940,0.04977923,2.62719602,1.38836047,0.95234655
-2.62031016,3.67086375,0.00655367,0.49106875,0.06283489,0.05067434,2.61964656,1.36093275,0.96321236
-2.61430715,3.66530691,0.00652833,0.48334905,0.06683887,0.05147504,2.60814013,1.33200406,0.97289528
-2.60830415,3.65630703,0.00651874,0.47586387,0.07099518,0.05217935,2.59270490,1.30178835,0.98129840
-2.60230115,3.64387060,0.00652634,0.46863278,0.07527348,0.05278687,2.57345701,1.27053803,0.98835128
-2.59629815,3.62806909,0.00655225,0.46166135,0.07964010,0.05329850,2.55059378,1.23853710,0.99400950
-2.59029515,3.60903162,0.00659723,0.45494198,0.08405919,0.05371601,2.52438427,1.20609283,0.99825329
-2.58429215,3.58693647,0.00666161,0.44845542,0.08849404,0.05404173,2.49515784,1.17352678,1.00108532
-2.57828914,3.56200203,0.00674527,0.44217276,0.09290847,0.05427814,2.46329156,1.14116539,1.00252791
-2.57228614,3.53447813,0.00684763,0.43605794,0.09726830,0.05442760,2.42919724,1.10933096,1.00261991
-2.56628314,3.50463817,0.00696762,0.43007062,0.10154283,0.05449201,2.39330891,1.07833331,1.00141343
-2.56028014,3.47277271,0.00710377,0.42416931,0.10570606,0.05447271,2.35607125,1.04846256,0.99897072
-2.55427714,3.43918480,0.00725420,0.41831453,0.10973787,0.05437025,2.31792962,1.01998344,0.99536137
-2.54827414,3.40418705,0.00741670,0.41247186,0.11362476,0.05418445,2.27932196,0.99313112,0.99066003
-2.54227114,3.36810053,0.00758881,0.40661476,0.11736039,0.05391436,2.24067267,0.96810880,0.98494475
-2.53626813,3.33125502,0.00776790,0.40072690,0.12094561,0.05355843,2.20238848,0.94508679,0.97829594
-2.53026513,3.29399038,0.00795129,0.39480391,0.12438822,0.05311466,2.16485607,0.92420310,0.97079608
-2.52426213,3.25665832,0.00813631,0.38885441,0.12770220,0.05258088,2.12844115,0.90556512,0.96252997
-2.51825913,3.21962417,0.00832043,0.38290035,0.13090671,0.05195496,2.09348850,0.88925210,0.95358557
-2.51225613,3.18326786,0.00850135,0.37697644,0.13402470,0.05123518,2.06032255,0.87531819,0.94405510
-2.50625313,3.14798376,0.00867707,0.37112894,0.13708129,0.05042045,2.02924798,0.86379546,0.93403644
-2.50025013,3.11417888,0.00884597,0.36541366,0.14010205,0.04951062,2.00055001,0.85469681,0.92363446
-2.49424712,3.08226907,0.00900690,0.35989343,0.14311117,0.04850673,1.97449374,0.84801834,0.91296217
-2.48824412,3.05267316,0.00915915,0.35463516,0.14612975,0.04741119,1.95132266,0.84374094,0.90214148
-2.48224112,3.02580512,0.00930252,0.34970667,0.14917424,0.04622793,1.93125585,0.84183119,0.89130348
-2.47623812,3.00206430,0.00943730,0.34517341,0.15225502,0.04496244,1.91448406,0.84224124,0.88058801
-2.47023512,2.98182422,0.00956425,0.34109540,0.15537547,0.04362182,1.90116476,0.84490793,0.87014256
-2.46423212,2.96542036,0.00968457,0.33752442,0.15853128,0.04221469,1.89141635,0.84975118,0.86012026
