energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,2.32000010,0.07697246,0.23719534,0.02088642,0.00000000,1.54582820,0.43880219,0.02450116,0.89292456
-5.99399700,2.36498319,0.08043867,0.23974479,0.02132662,0.00000000,1.57992770,0.44385621,0.02501445,0.91578015
-5.98799400,2.40194229,0.08404265,0.24087452,0.02169401,0.00000000,1.60772442,0.44687539,0.02545181,0.93662432
-5.98199100,2.43008476,0.08772107,0.24056525,0.02198009,0.00000000,1.62868850,0.44778657,0.02580314,0.95500867
-5.97598799,2.44877348,0.09140723,0.23882309,0.02217779,0.00000000,1.64240753,0.44655641,0.02605997,0.97052643
-5.96998499,2.45753941,0.09503233,0.23567932,0.02228162,0.00000000,1.64859540,0.44319131,0.02621562,0.98282162
-5.96398199,2.45609011,0.09852703,0.23118942,0.02228779,0.00000000,1.64709783,0.43773608,0.02626544,0.99159707
-5.95797899,2.44431408,0.10182304,0.22543149,0.02219433,0.00000000,1.63789462,0.43027169,0.02620691,0.99662129
-5.95197599,2.42228095,0.10485487,0.21850402,0.02200107,0.00000000,1.62109854,0.42091220,0.02603974,0.99773379
-5.94597299,2.39023764,0.10756157,0.21052316,0.02170968,0.00000000,1.59695105,0.40980083,0.02576586,0.99484893
-5.93996998,2.34860082,0.10988846,0.20161958,0.02132362,0.00000000,1.56581492,0.39710564,0.02538947,0.98795806
-5.93396698,2.29794562,0.11178872,0.19193495,0.02084804,0.00000000,1.52816415,0.38301468,0.02491688,0.97712988
-5.92796398,2.23899130,0.11322486,0.18161831,0.02028965,0.00000000,1.48457139,0.36773102,0.02435644,0.96250892
-5.92196098,2.17258393,0.11416992,0.17082235,0.01965657,0.00000000,1.43569340,0.35146764,0.02371829,0.94431225
-5.91595798,2.09967661,0.11460836,0.15969977,0.01895812,0.00000000,1.38225487,0.33444252,0.02301419,0.92282425
-5.90995498,2.02130778,0.11453659,0.14839982,0.01820459,0.00000000,1.32503120,0.31687384,0.02225714,0.89838974
