energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,5.61277586,0.00176791,1.41682019,3.38239924,3.14752506,0.69094499,0.00000000
-5.99399700,5.66720270,0.00180241,1.42662818,3.39662232,3.18917175,0.70808250,0.00000000
-5.98799400,5.72010144,0.00183968,1.43654539,3.40915719,3.23033027,0.72401902,0.00000000
-5.98199100,5.77127428,0.00187846,1.44668901,3.42012816,3.27084009,0.73842232,0.00000000
-5.97598799,5.82050684,0.00191779,1.45715512,3.42970702,3.31051118,0.75099373,0.00000000
-5.96998499,5.86758763,0.00195698,1.46801910,3.43812416,3.34913436,0.76147870,0.00000000
-5.96398199,5.91232820,0.00199569,1.47933692,3.44567850,3.38649289,0.76967615,0.00000000
-5.95797899,5.95458258,0.00203399,1.49114682,3.45274532,3.42237449,0.77544623,0.00000000
-5.95197599,5.99426475,0.00207229,1.50347143,3.45978139,3.45658323,0.77871615,0.00000000
-5.94597299,6.03136295,0.00211146,1.51631996,3.46732653,3.48895036,0.77948380,0.00000000
-5.93996998,6.06594966,0.00215275,1.52969020,3.47600127,3.51934352,0.77781904,0.00000000
-5.93396698,6.09818644,0.00219783,1.54357023,3.48649998,3.54767369,0.77386239,0.00000000
-5.92796398,6.12832313,0.00224875,1.55793965,3.49957955,3.57389943,0.76782144,0.00000000
-5.92196098,6.15669101,0.00230789,1.57277013,3.51604333,3.59802793,0.75996475,0.00000000
-5.91595798,6.18369021,0.00237799,1.58802532,3.53672071,3.62011306,0.75061368,0.00000000
-5.90995498,6.20977155,0.00246202,1.60366014,3.56244273,3.64025007,0.74013229,0.00000000
-5.90395198,6.23541387,0.00256317,1.61961937,3.59401418,3.65856752,0.72891573,0.00000000
-5.89794897,6.26109759,0.00268476,1.63583582,3.63218326,3.67521669,0.71737748,0.00000000
-5.89194597,6.28727609,0.00283016,1.65222824,3.67760941,3.69035913,0.70593592,0.00000000
-5.88594297,6.31434610,0.00300273,1.66869911,3.73083084,3.70415302,0.69500068,0.00000000
-5.87993997,6.34261893,0.00320571,1.68513255,3.79223269,3.71673922,0.68495924,0.00000000
-5.87393697,6.37229388,0.00344213,1.70139271,3.86201732,3.72822777,0.67616430,0.00000000
-5.86793397,6.40343549,0.00371473,1.71732275,3.94017809,3.73868569,0.66892230,0.00000000
-5.86193097,6.43595588,0.00402581,1.73274462,4.02647798,3.74812685,0.66348364,0.00000000
-5.85592796,6.46960333,0.00437724,1.74745992,4.12043430,3.75650449,0.66003472,0.00000000
-5.84992496,6.50395777,0.00477026,1.76125168,4.22131078,3.76370701,0.65869240,0.00000000
-5.84392196,6.53843384,0.00520546,1.77388737,4.32811778,3.76955709,0.65950086,0.00000000
-5.83791896,6.57229134,0.00568271,1.78512288,4.43962152,3.77381445,0.66243103,0.00000000
-5.83191596,6.60465300,0.00620106,1.79470737,4.55436247,3.77618211,0.66738279,0.00000000
