energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,2.04156448,0.55217386,0.39817494,0.01634496,0.25733771,0.89052587,0.48450516,0.89240473,0.00000000
-5.99399700,2.08461777,0.56567393,0.40373657,0.01614809,0.26045981,0.90433482,0.49441807,0.91322580,0.00000000
-5.98799400,2.12813973,0.57919253,0.40872729,0.01585583,0.26347327,0.91902714,0.50537032,0.93433657,0.00000000
-5.98199100,2.17102695,0.59251420,0.41300485,0.01547433,0.26628673,0.93408667,0.51704456,0.95526196,0.00000000
-5.97598799,2.21224770,0.60544158,0.41644758,0.01501146,0.26882533,0.94900973,0.52913737,0.97555480,0.00000000
-5.96998499,2.25087779,0.61780235,0.41895852,0.01447642,0.27103388,0.96331939,0.54137165,0.99481075,0.00000000
-5.96398199,2.28613240,0.62945534,0.42046887,0.01387953,0.27287920,0.97657860,0.55350748,1.01268184,0.00000000
-5.95797899,2.31739251,0.64029545,0.42094036,0.01323184,0.27435150,0.98840169,0.56535132,1.02888780,0.00000000
-5.95197599,2.34422493,0.65025733,0.42036673,0.01254481,0.27546480,0.99846415,0.57676278,1.04322494,0.00000000
-5.94597299,2.36639507,0.65931761,0.41877403,0.01183003,0.27625632,1.00651028,0.58765886,1.05557210,0.00000000
-5.93996998,2.38387174,0.66749535,0.41621990,0.01109889,0.27678495,1.01235878,0.59801531,1.06589331,0.00000000
-5.93396698,2.39682357,0.67485084,0.41279162,0.01036235,0.27712874,1.01590587,0.60786501,1.07423700,0.00000000
-5.92796398,2.40560720,0.68148256,0.40860311,0.00963075,0.27738157,1.01712609,0.61729343,1.08073168,0.00000000
-5.92196098,2.41074726,0.68752231,0.40379100,0.00891359,0.27764913,1.01607052,0.62643120,1.08557818,0.00000000
-5.91595798,2.41290910,0.69312873,0.39850971,0.00821948,0.27804431,1.01286268,0.63544421,1.08903865,0.00000000
-5.90995498,2.41286512,0.69847930,0.39292590,0.00755604,0.27868225,1.00769198,0.64452172,1.09142268,0.00000000
-5.90395198,2.41145618,0.70376113,0.38721244,0.00692987,0.27967517,1.00080511,0.65386278,1.09307132,0.00000000
-5.89794897,2.40954981,0.70916101,0.38154211,0.00634659,0.28112721,0.99249557,0.66366200,1.09433932,0.00000000
-5.89194597,2.40799708,0.71485500,0.37608135,0.00581084,0.28312964,0.98309165,0.67409509,1.09557686,0.00000000
-5.88594297,2.40759025,0.72099820,0.37098426,0.00532639,0.28575641,0.97294347,0.68530516,1.09711122,0.00000000
-5.87993997,2.40902323,0.72771512,0.36638728,0.00489619,0.28906047,0.96240941,0.69739037,1.09922962,0.00000000
-5.87393697,2.41285692,0.73509128,0.36240461,0.00452243,0.29307090,0.95184256,0.71039381,1.10216401,0.00000000
-5.86793397,2.41949122,0.74316641,0.35912475,0.00420666,0.29779108,0.94157776,0.72429613,1.10607855,0.00000000
-5.86193097,2.42914510,0.75192983,0.35660820,0.00394985,0.30319794,0.93191969,0.73901139,1.11106062,0.00000000
-5.85592796,2.44184590,0.76131813,0.35488656,0.00375241,0.30924236,0.92313260,0.75438652,1.11711571,0.00000000
-5.84992496,2.45742840,0.77121552,0.35396296,0.00361430,0.31585069,0.91543200,0.77020442,1.12416662,0.00000000
-5.84392196,2.47554374,0.78145694,0.35381388,0.00353498,0.32292738,0.90897870,0.78619073,1.13205701,0.00000000
-5.83791896,2.49567764,0.79183367,0.35439212,0.00351348,0.33035853,0.90387535,0.80202386,1.14055902,0.00000000
-5.83191596,2.51717699,0.80210133,0.35563095,0.00354836,0.33801616,0.90016560,0.81734786,1.14938481,0.00000000
-5.82591296,2.53928335,0.81199004,0.35744900,0.00363771,0.34576312,0.89783581,0.83178750,1.15820112,0.00000000
-5.81990995,2.56117148,0.82121590,0.35975577,0.00377913,0.35345824,0.89681909,0.84496476,1.16664630,0.00000000
