energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,4.80592076,0.03377200,0.86553002,3.77111884,1.46159620,0.60795682,0.43716236,1.87457552,0.00000000
-5.99399700,4.83383084,0.03395061,0.87329001,3.81990920,1.46542058,0.60907169,0.43774891,1.88583865,0.00000000
-5.98799400,4.86026849,0.03422565,0.87959014,3.86037356,1.46825490,0.61118642,0.43830308,1.89781638,0.00000000
-5.98199100,4.88531866,0.03459415,0.88446346,3.89227074,1.47021862,0.61440261,0.43879183,1.91052976,0.00000000
-5.97598799,4.90921063,0.03505140,0.88799335,3.91549691,1.47153297,0.61880624,0.43919129,1.92402076,0.00000000
-5.96998499,4.93231293,0.03559107,0.89031383,3.93008707,1.47251995,0.62446458,0.43948719,1.93834820,0.00000000
-5.96398199,4.95512334,0.03620534,0.89160836,3.93621430,1.47359805,0.63142318,0.43967515,1.95358282,0.00000000
-5.95797899,4.97825456,0.03688508,0.89210719,3.93418683,1.47527440,0.63970310,0.43976066,1.96980159,0.00000000
-5.95197599,5.00241560,0.03762010,0.89208312,3.92444281,1.47813375,0.64929856,0.43975891,1.98708154,0.00000000
-5.94597299,5.02838953,0.03839937,0.89184575,3.90754260,1.48282429,0.66017504,0.43969419,2.00549331,0.00000000
-5.93996998,5.05700808,0.03921129,0.89173424,3.88415877,1.49004066,0.67226813,0.43959924,2.02509479,0.00000000
-5.93396698,5.08912385,0.04004399,0.89210874,3.85506358,1.50050453,0.68548312,0.43951423,2.04592513,0.00000000
-5.92796398,5.12558070,0.04088563,0.89334056,3.82111403,1.51494315,0.69969548,0.43948560,2.06799922,0.00000000
-5.92196098,5.16718331,0.04172469,0.89580142,3.78323470,1.53406646,0.71475234,0.43956471,2.09130317,0.00000000
-5.91595798,5.21466670,0.04255022,0.89985197,3.74239859,1.55854314,0.73047502,0.43980632,2.11579082,0.00000000
-5.90995498,5.26866660,0.04335215,0.90582986,3.69960626,1.58897642,0.74666246,0.44026707,2.14138157,0.00000000
-5.90395198,5.32969165,0.04412150,0.91403776,3.65586390,1.62588011,0.76309574,0.44100375,2.16795963,0.00000000
-5.89794897,5.39809824,0.04485060,0.92473172,3.61216078,1.66965573,0.77954341,0.44207179,2.19537487,0.00000000
-5.89194597,5.47406900,0.04553324,0.93811021,3.56944691,1.72057117,0.79576755,0.44352367,2.22344509,0.00000000
