energy_ev,total_up,Ge_p_up,Ge_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,0.89002080,0.12354339,0.00000000,0.28417464,0.25049118,0.12798913,0.12612059
-5.99399700,0.91886001,0.12866346,0.00000000,0.28788729,0.25867056,0.13292835,0.12611822
-5.98799400,0.94611786,0.13335242,0.00000000,0.29190995,0.26644445,0.13747241,0.12620332
-5.98199100,0.97109762,0.13750101,0.00000000,0.29604187,0.27361901,0.14151846,0.12628660
-5.97598799,0.99315192,0.14101061,0.00000000,0.30008722,0.28001259,0.14497358,0.12628183
-5.96998499,1.01170761,0.14379687,0.00000000,0.30386221,0.28546263,0.14775883,0.12610985
-5.96398199,1.02628808,0.14579291,0.00000000,0.30720158,0.28983171,0.14981268,0.12570243
-5.95797899,1.03653165,0.14695203,0.00000000,0.30996413,0.29301264,0.15109399,0.12500542
-5.95197599,1.04220550,0.14724966,0.00000000,0.31203710,0.29493223,0.15158407,0.12398135
-5.94597299,1.04321417,0.14668460,0.00000000,0.31333914,0.29555364,0.15128797,0.12261122
-5.93996998,1.03960245,0.14527936,0.00000000,0.31382186,0.29487719,0.15023473,0.12089537
-5.93396698,1.03155242,0.14307966,0.00000000,0.31346991,0.29293959,0.14847671,0.11885355
-5.92796398,1.01937505,0.14015304,0.00000000,0.31229970,0.28981169,0.14608789,0.11652399
-5.92196098,1.00349654,0.13658671,0.00000000,0.31035693,0.28559493,0.14316128,0.11396175
-5.91595798,0.98444047,0.13248467,0.00000000,0.30771303,0.28041654,0.13980558,0.11123628
-5.90995498,0.96280632,0.12796433,0.00000000,0.30446096,0.27442396,0.13614112,0.10842831
-5.90395198,0.93924571,0.12315264,0.00000000,0.30071045,0.26777863,0.13229532,0.10562643
-5.89794897,0.91443730,0.11818205,0.00000000,0.29658309,0.26064943,0.12839793,0.10292316
-5.89194597,0.88906159,0.11318636,0.00000000,0.29220747,0.25320621,0.12457606,0.10041111
-5.88594297,0.86377661,0.10829672,0.00000000,0.28771459,0.24561360,0.12094945,0.09817902
-5.87993997,0.83919573,0.10363786,0.00000000,0.28323381,0.23802533,0.11762602,0.09630812
-5.87393697,0.81586809,0.09932473,0.00000000,0.27888940,0.23057944,0.11469786,0.09486882
-5.86793397,0.79426274,0.09545965,0.00000000,0.27479780,0.22339431,0.11223794,0.09391797
-5.86193097,0.77475662,0.09213006,0.00000000,0.27106564,0.21656586,0.11029764,0.09349662
-5.85592796,0.75762689,0.08940687,0.00000000,0.26778849,0.21016577,0.10890505,0.09362860
-5.84992496,0.74304759,0.08734355,0.00000000,0.26505023,0.20424092,0.10806429,0.09431977
-5.84392196,0.73109047,0.08597575,0.00000000,0.26292305,0.19881379,0.10775576,0.09555803
-5.83791896,0.72172980,0.08532158,0.00000000,0.26146784,0.19388391,0.10793729,0.09731410
-5.83191596,0.71485064,0.08538248,0.00000000,0.26073490,0.18943015,0.10854617,0.09954293
-5.82591296,0.71026005,0.08614439,0.00000000,0.26076489,0.18541368,0.10950190,0.10218579
-5.81990995,0.70770059,0.08757943,0.00000000,0.26158978,0.18178149,0.11070967,0.10517282
-5.81390695,0.70686542,0.08964781,0.00000000,0.26323381,0.17847022,0.11206425,0.10842596
-5.80790395,0.70741442,0.09229986,0.00000000,0.26571440,0.17541024,0.11345419,0.11186220
-5.80190095,0.70899047,0.09547823,0.00000000,0.26904288,0.17252962,0.11476626,0.11539687
-5.79589795,0.71123542,0.09912008,0.00000000,0.27322510,0.16975802,0.11588972,0.11894698
-5.78989495,0.71380516,0.10315920,0.00000000,0.27826200,0.16703025,0.11672053,0.12243434
-5.78389195,0.71638321,0.10752811,0.00000000,0.28415006,0.16428942,0.11716506,0.12578849
-5.77788894,0.71869270,0.11215997,0.00000000,0.29088183,0.16148955,0.11714337,0.12894916
-5.77188594,0.72050626,0.11699048,0.00000000,0.29844660,0.15859764,0.11659184,0.13186833
-5.76588294,0.72165378,0.12195957,0.00000000,0.30683117,0.15559509,0.11546509,0.13451178
-5.75987994,0.72202801,0.12701306,0.00000000,0.31602108,0.15247851,0.11373717,0.13686005
-5.75387694,0.72158811,0.13210422,0.00000000,0.32600204,0.14925996,0.11140191,0.13890889
-5.74787394,0.72036115,0.13719525,0.00000000,0.33676187,0.14596654,0.10847262,0.14066915
-5.74187094,0.71844201,0.14225884,0.00000000,0.34829280,0.14263955,0.10498099,0.14216629
-5.73586793,0.71599175,0.14727953,0.00000000,0.36059419,0.13933324,0.10097546,0.14343930
-5.72986493,0.71323488,0.15225522,0.00000000,0.37367552,0.13611316,0.09651905,0.14453946
-5.72386193,0.71045569,0.15719848,0.00000000,0.38755958,0.13305434,0.09168678,0.14552877
-5.71785893,0.70799399,0.16213785,0.00000000,0.40228575,0.13023937,0.08656287,0.14647814
-5.71185593,0.70624047,0.16711900,0.00000000,0.41791305,0.12775631,0.08123787,0.14746567
-5.70585293,0.70563169,0.17220554,0.00000000,0.43452283,0.12569682,0.07580569,0.14857472
-5.69984992,0.70664492,0.17747962,0.00000000,0.45222081,0.12415427,0.07036087,0.14989215
-5.69384692,0.70979267,0.18304202,0.00000000,0.47113835,0.12322203,0.06499604,0.15150659
