energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.91380574,1.14639428,1.54491343,0.01401927,0.11550370,0.66966980,0.24977189,0.03443799,0.88935854
-5.99399700,2.88314172,1.12617425,1.53236467,0.01445391,0.11442558,0.66610101,0.24426254,0.03438885,0.87721364
-5.98799400,2.85262726,1.10400697,1.52067478,0.01491042,0.11296694,0.66195160,0.23861705,0.03423730,0.86497004
-5.98199100,2.82251500,1.08010663,1.50990549,0.01538925,0.11115197,0.65732341,0.23287465,0.03398676,0.85275149
-5.97598799,2.79312409,1.05472961,1.50015563,0.01589142,0.10901227,0.65233031,0.22708125,0.03364244,0.84069627
-5.96998499,2.76483310,1.02816761,1.49155995,0.01641850,0.10658587,0.64709449,0.22128810,0.03321114,0.82895376
-5.96398199,2.73806723,1.00073885,1.48428427,0.01697253,0.10391586,0.64174193,0.21555022,0.03270102,0.81767961
-5.95797899,2.71328016,0.97277802,1.47851725,0.01755597,0.10104888,0.63639726,0.20992433,0.03212131,0.80702979
-5.95197599,2.69093149,0.94462500,1.47445895,0.01817143,0.09803354,0.63117806,0.20446669,0.03148200,0.79715362
-5.94597299,2.67146077,0.91661311,1.47230716,0.01882153,0.09491867,0.62618906,0.19923065,0.03079345,0.78818614
-5.93996998,2.65525960,0.88905732,1.47224198,0.01950859,0.09175169,0.62151635,0.19426429,0.03006603,0.78024031
-5.93396698,2.64264343,0.86224304,1.47440970,0.02023433,0.08857704,0.61722202,0.18960812,0.02930978,0.77339929
-5.92796398,2.63382459,0.83641607,1.47890697,0.02099952,0.08543480,0.61333960,0.18529298,0.02853401,0.76770950
-5.92196098,2.62888845,0.81177407,1.48576613,0.02180368,0.08235952,0.60987048,0.18133837,0.02774707,0.76317472
-5.91595798,2.62777393,0.78846020,1.49494265,0.02264475,0.07937937,0.60678170,0.17775113,0.02695610,0.75975173
-5.90995498,2.63026002,0.76655911,1.50630555,0.02351879,0.07651556,0.60400522,0.17452474,0.02616684,0.75734794
-5.90395198,2.63595904,0.74609548,1.51963136,0.02441981,0.07378209,0.60143892,0.17163918,0.02538353,0.75582106
-5.89794897,2.64431757,0.72703525,1.53460208,0.02533960,0.07118592,0.59894926,0.16906141,0.02460896,0.75498114
-5.89194597,2.65462507,0.70928948,1.55080752,0.02626773,0.06872728,0.59637561,0.16674647,0.02384450,0.75459499
-5.88594297,2.66603033,0.69272051,1.56775191,0.02719159,0.06640040,0.59353618,0.16463915,0.02309024,0.75439282
-5.87993997,2.67756507,0.67715032,1.58486474,0.02809659,0.06419439,0.59023514,0.16267613,0.02234522,0.75407691
-5.87393697,2.68817384,0.66237041,1.60151541,0.02896650,0.06209435,0.58627086,0.16078864,0.02160767,0.75333205
