energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,2.01607614,0.00866708,0.19774632,0.28665958,1.07416712,0.43362345,0.03013034,1.02695764
-5.99399700,2.11431668,0.00859474,0.21132208,0.28349909,1.12106511,0.45861269,0.03248126,1.07225952
-5.98799400,2.22095353,0.00855435,0.22659679,0.28050993,1.17232991,0.48662095,0.03495168,1.12046636
-5.98199100,2.33517536,0.00854744,0.24343265,0.27770948,1.22789552,0.51736203,0.03751973,1.17124933
-5.97598799,2.45604982,0.00857467,0.26168368,0.27511215,1.28762569,0.55053544,0.04016011,1.22421284
-5.96998499,2.58251658,0.00863581,0.28119666,0.27272575,1.35129872,0.58582826,0.04284430,1.27888899
-5.96398199,2.71338557,0.00872973,0.30181239,0.27054847,1.41859451,0.62291769,0.04554081,1.33473505
-5.95797899,2.84734133,0.00885441,0.32336716,0.26856661,1.48908505,0.66147443,0.04821561,1.39113440
-5.95197599,2.98295394,0.00900696,0.34569459,0.26675316,1.56222898,0.70116684,0.05083265,1.44740142
-5.94597299,3.11869651,0.00918372,0.36862762,0.26506735,1.63737093,0.74166575,0.05335455,1.50279008
-5.93996998,3.25296896,0.00938033,0.39200063,0.26345512,1.71374575,0.78264971,0.05574332,1.55650655
-5.93396698,3.38412727,0.00959180,0.41565161,0.26185060,1.79048813,0.82381021,0.05796124,1.60772511
-5.92796398,3.51051722,0.00981268,0.43942413,0.26017829,1.86664707,0.86485684,0.05997173,1.65560716
-5.92196098,3.63051120,0.01003717,0.46316899,0.25835606,1.94120508,0.90552170,0.06174027,1.69932256
-5.91595798,3.74254661,0.01025927,0.48674552,0.25629860,2.01310137,0.94556288,0.06323531,1.73807241
-5.90995498,3.84516413,0.01047296,0.51002220,0.25392117,2.08125827,0.98476671,0.06442912,1.77111266
-5.90395198,3.93704428,0.01067236,0.53287668,0.25114349,2.14460977,1.02294848,0.06529859,1.79777724
-5.89794897,4.01704069,0.01085190,0.55519517,0.24789358,2.20213117,1.05995146,0.06582593,1.81750013
