energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
0.75337669,3.34467124,-3.34467146,0.03231900,-0.03231900,0.66618010,-0.66618008,0.83918956,-0.83918957,0.36795116,-0.36795116,0.54756348,-0.54756346,1.83415639,-1.83415664,0.03522476,-0.03522476,0.31182876,-0.31182876
0.75937969,3.29354144,-3.29354168,0.03363523,-0.03363522,0.66710672,-0.66710672,0.83715699,-0.83715702,0.36844297,-0.36844297,0.54009527,-0.54009526,1.77333808,-1.77333834,0.03547417,-0.03547418,0.31276837,-0.31276837
0.76538269,3.23434930,-3.23434957,0.03502158,-0.03502158,0.66492267,-0.66492268,0.83061711,-0.83061714,0.36755230,-0.36755231,0.53137907,-0.53137906,1.70991356,-1.70991383,0.03582691,-0.03582692,0.31326819,-0.31326819
0.77138569,3.16788821,-3.16788850,0.03647633,-0.03647633,0.65962125,-0.65962127,0.81963373,-0.81963378,0.36529520,-0.36529521,0.52155162,-0.52155162,1.64468275,-1.64468302,0.03628673,-0.03628673,0.31332978,-0.31332978
0.77738869,3.09510896,-3.09510927,0.03799835,-0.03799834,0.65126652,-0.65126655,0.80437274,-0.80437280,0.36171963,-0.36171965,0.51077301,-0.51077302,1.57845841,-1.57845868,0.03685659,-0.03685659,0.31297324,-0.31297324
0.78339170,3.01710865,-3.01710897,0.03958740,-0.03958739,0.63999274,-0.63999278,0.78509719,-0.78509726,0.35690538,-0.35690541,0.49922384,-0.49922385,1.51205491,-1.51205518,0.03753893,-0.03753893,0.31223857,-0.31223858
0.78939470,2.93511357,-2.93511390,0.04124427,-0.04124426,0.62600143,-0.62600147,0.76215923,-0.76215931,0.35096267,-0.35096270,0.48710154,-0.48710155,1.44627657,-1.44627684,0.03833584,-0.03833584,0.31118625,-0.31118625
0.79539770,2.85045617,-2.85045650,0.04297083,-0.04297082,0.60955594,-0.60955600,0.73598897,-0.73598906,0.34402963,-0.34402966,0.47461592,-0.47461594,1.38190569,-1.38190594,0.03924924,-0.03924924,0.30989661,-0.30989661
0.80140070,2.76454673,-2.76454706,0.04476991,-0.04476991,0.59097398,-0.59097404,0.70708096,-0.70708105,0.33626873,-0.33626876,0.46198404,-0.46198406,1.31969023,-1.31969048,0.04028095,-0.04028094,0.30846829,-0.30846829
0.80740370,2.67884045,-2.67884077,0.04664510,-0.04664510,0.57061816,-0.57061823,0.67597871,-0.67597882,0.32786219,-0.32786222,0.44942450,-0.44942452,1.26033150,-1.26033173,0.04143265,-0.04143265,0.30701557,-0.30701557
0.81340670,2.59480114,-2.59480145,0.04860036,-0.04860035,0.54888531,-0.54888538,0.64325809,-0.64325819,0.31900676,-0.31900679,0.43715154,-0.43715157,1.20447181,-1.20447202,0.04270588,-0.04270588,0.30566481,-0.30566481
0.81940970,2.51386285,-2.51386314,0.05063957,-0.05063956,0.52619468,-0.52619475,0.60951002,-0.60951013,0.30990787,-0.30990790,0.42536903,-0.42536906,1.15268264,-1.15268284,0.04410184,-0.04410183,0.30455007,-0.30455007
0.82541271,2.43739088,-2.43739114,0.05276600,-0.05276599,0.50297578,-0.50297586,0.57532352,-0.57532363,0.30077357,-0.30077360,0.41426461,-0.41426464,1.10545353,-1.10545371,0.04562118,-0.04562117,0.30380812,-0.30380812
0.83141571,2.36664374,-2.36664398,0.05498169,-0.05498169,0.47965626,-0.47965634,0.54126934,-0.54126945,0.29180838,-0.29180841,0.40400440,-0.40400443,1.06318207,-1.06318224,0.04726377,-0.04726377,0.30357309,-0.30357308
0.83741871,2.30273771,-2.30273793,0.05728693,-0.05728692,0.45665019,-0.45665026,0.50788505,-0.50788515,0.28320740,-0.28320743,0.39472833,-0.39472835,1.02616551,-1.02616566,0.04902840,-0.04902839,0.30397095,-0.30397094
0.84342171,2.24661525,-2.24661543,0.05967964,-0.05967963,0.43434730,-0.43434737,0.47566192,-0.47566202,0.27515083,-0.27515085,0.38654639,-0.38654641,0.99459418,-0.99459430,0.05091245,-0.05091245,0.30511412,-0.30511411
0.84942471,2.19901859,-2.19901875,0.06215496,-0.06215495,0.41310352,-0.41310359,0.44503404,-0.44503413,0.26779909,-0.26779911,0.37953607,-0.37953609,0.96854723,-0.96854734,0.05291162,-0.05291161,0.30709643,-0.30709642
0.85542771,2.16046962,-2.16046975,0.06470492,-0.06470491,0.39323290,-0.39323297,0.41636982,-0.41636990,0.26128879,-0.26128881,0.37374087,-0.37374089,0.94799094,-0.94799103,0.05501961,-0.05501960,0.30998865,-0.30998863
0.86143072,2.13125650,-2.13125659,0.06731821,-0.06731820,0.37500131,-0.37500137,0.38996612,-0.38996619,0.25572948,-0.25572949,0.36917014,-0.36917015,0.93277963,-0.93277970,0.05722789,-0.05722788,0.31383478,-0.31383476
0.86743372,2.11142766,-2.11142772,0.06998021,-0.06998021,0.35862183,-0.35862188,0.36604496,-0.36604503,0.25120143,-0.25120144,0.36580014,-0.36580015,0.92265949,-0.92265954,0.05952547,-0.05952546,0.31864932,-0.31864929
0.87343672,2.10079308,-2.10079312,0.07267316,-0.07267315,0.34425197,-0.34425202,0.34475272,-0.34475278,0.24775436,-0.24775437,0.36357634,-0.36357634,0.91727512,-0.91727516,0.06189879,-0.06189878,0.32441548,-0.32441545
0.87943972,2.09893268,-2.09893269,0.07537645,-0.07537645,0.33199258,-0.33199262,0.32616161,-0.32616166,0.24540712,-0.24540712,0.36241660,-0.36241660,0.91617880,-0.91617882,0.06433155,-0.06433154,0.33108462,-0.33108459
0.88544272,2.10521123,-2.10521122,0.07806719,-0.07806718,0.32188825,-0.32188828,0.31027328,-0.31027332,0.24414819,-0.24414820,0.36221539,-0.36221539,0.91884204,-0.91884205,0.06680480,-0.06680479,0.33857669,-0.33857666
0.89144572,2.11879916,-2.11879913,0.08072076,-0.08072075,0.31392928,-0.31392931,0.29702410,-0.29702413,0.24393713,-0.24393712,0.36284852,-0.36284852,0.92466935,-0.92466935,0.06929691,-0.06929690,0.34678179,-0.34678176
0.89744872,2.13869819,-2.13869813,0.08331162,-0.08331161,0.30805477,-0.30805479,0.28629193,-0.28629196,0.24470654,-0.24470653,0.36417833,-0.36417833,0.93301355,-0.93301355,0.07178373,-0.07178372,0.35556279,-0.35556276
0.90345173,2.16377086,-2.16377079,0.08581402,-0.08581401,0.30415675,-0.30415676,0.27790390,-0.27790392,0.24636479,-0.24636478,0.36605903,-0.36605903,0.94319237,-0.94319236,0.07423885,-0.07423884,0.36475877,-0.36475874
0.90945473,2.19277290,-2.19277282,0.08820283,-0.08820282,0.30208520,-0.30208521,0.27164498,-0.27164499,0.24879910,-0.24879909,0.36834194,-0.36834195,0.95450561,-0.95450560,0.07663385,-0.07663384,0.37418930,-0.37418926
0.91545773,2.22438717,-2.22438709,0.09045422,-0.09045422,0.30165369,-0.30165370,0.26726690,-0.26726691,0.25187899,-0.25187898,0.37088052,-0.37088053,0.96625257,-0.96625256,0.07893868,-0.07893867,0.38365931,-0.38365927
0.92146073,2.25725838,-2.25725830,0.09254641,-0.09254640,0.30264548,-0.30264548,0.26449730,-0.26449731,0.25545998,-0.25545997,0.37353478,-0.37353479,0.97774904,-0.97774903,0.08112217,-0.08112216,0.39296441,-0.39296438
0.92746373,2.29002740,-2.29002733,0.09446015,-0.09446014,0.30481999,-0.30481999,0.26304862,-0.26304862,0.25938748,-0.25938747,0.37617524,-0.37617525,0.98834348,-0.98834348,0.08315251,-0.08315250,0.40189652,-0.40189649
0.93346673,2.32136442,-2.32136435,0.09617915,-0.09617914,0.30791949,-0.30791949,0.26262673,-0.26262672,0.26350060,-0.26350059,0.37868608,-0.37868609,0.99743193,-0.99743193,0.08499789,-0.08499788,0.41024956,-0.41024953
