energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.72729327,0.00901125,0.00015021,0.18276593,1.34350482,1.31649609,1.49691921
-5.99399700,2.79333833,0.00943963,0.00015228,0.19039857,1.37280909,1.32809941,1.53205987
-5.98799400,2.85668839,0.00984897,0.00015473,0.19773159,1.40102076,1.33870590,1.56531117
-5.98199100,2.91534644,0.01022894,0.00015738,0.20455444,1.42724183,1.34776910,1.59564222
-5.97598799,2.96734063,0.01056998,0.00016005,0.21066524,1.45057911,1.35471044,1.62202902
-5.96998499,3.01079486,0.01086352,0.00016256,0.21587696,1.47017742,1.35894701,1.64349263
-5.96398199,3.04399694,0.01110216,0.00016474,0.22002311,1.48525178,1.35992005,1.65913643
-5.95797899,3.06546136,0.01127989,0.00016645,0.22296277,1.49511717,1.35712251,1.66818089
-5.95197599,3.07398336,0.01139223,0.00016756,0.22458485,1.49921426,1.35012411,1.66999386
-5.94597299,3.06868170,0.01143633,0.00016795,0.22481116,1.49712986,1.33859262,1.66411499
-5.93996998,3.04902816,0.01141098,0.00016755,0.22359852,1.48861095,1.32231019,1.65027313
-5.93396698,3.01486242,0.01131664,0.00016631,0.22093944,1.47357192,1.30118400,1.62839579
-5.92796398,2.96639165,0.01115537,0.00016419,0.21686169,1.45209450,1.27525066,1.59861040
-5.92196098,2.90417538,0.01093066,0.00016121,0.21142657,1.42442067,1.24467449,1.56123739
-5.91595798,2.82909644,0.01064732,0.00015738,0.20472612,1.39093906,1.20973976,1.51677559
-5.90995498,2.74232006,0.01031126,0.00015275,0.19687927,1.35216574,1.17083770,1.46588092
-5.90395198,2.64524322,0.00992924,0.00014741,0.18802731,1.30872048,1.12844912,1.40933959
-5.89794897,2.53943739,0.00950863,0.00014142,0.17832872,1.26130005,1.08312380,1.34803733
-5.89194597,2.42658743,0.00905714,0.00013490,0.16795365,1.21064977,1.03545788,1.28292620
-5.88594297,2.30842998,0.00858259,0.00012794,0.15707839,1.15753513,0.98607061,1.21499082
-5.87993997,2.18669419,0.00809265,0.00012067,0.14587987,1.10271458,0.93558168,1.14521550
-5.87393697,2.06304752,0.00759465,0.00011319,0.13453059,1.04691510,0.88459030,1.07455390
-5.86793397,1.93904883,0.00709537,0.00010561,0.12319405,0.99081122,0.83365702,1.00390228
-5.86193097,1.81611036,0.00660092,0.00009804,0.11202084,0.93500867,0.78328899,0.93407755
-5.85592796,1.69546982,0.00611664,0.00009056,0.10114556,0.88003266,0.73392915,0.86580051
-5.84992496,1.57817283,0.00564702,0.00008327,0.09068454,0.82632140,0.68594961,0.79968483
-5.84392196,1.46506568,0.00519569,0.00007624,0.08073435,0.77422431,0.63964910,0.73623153
-5.83791896,1.35679770,0.00476544,0.00006951,0.07137130,0.72400480,0.59525434,0.67582892
-5.83191596,1.25383198,0.00435826,0.00006314,0.06265147,0.67584686,0.55292472,0.61875719
-5.82591296,1.15646320,0.00397540,0.00005715,0.05461165,0.62986475,0.51275988,0.56519711
-5.81990995,1.06484062,0.00361747,0.00005157,0.04727059,0.58611490,0.47480935,0.51524190
-5.81390695,0.97899477,0.00328457,0.00004641,0.04063093,0.54460917,0.43908361,0.46891143
