energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.64881165,0.00010398,0.18255468,0.00570567,0.11908809,0.11701049,0.10323689
-5.99399700,0.67320758,0.00012401,0.18979234,0.00604444,0.12358597,0.12233343,0.10728605
-5.98799400,0.69684809,0.00014689,0.19686605,0.00638611,0.12798343,0.12771983,0.11123885
-5.98199100,0.71984592,0.00017279,0.20380756,0.00673074,0.13230907,0.13320912,0.11511042
-5.97598799,0.74236553,0.00020189,0.21066309,0.00707880,0.13659963,0.13884664,0.11892427
-5.96998499,0.76461198,0.00023429,0.21749030,0.00743113,0.14089739,0.14468077,0.12271062
-5.96398199,0.78681728,0.00027008,0.22435464,0.00778891,0.14524722,0.15075974,0.12650436
-5.95797899,0.80922493,0.00030927,0.23132515,0.00815357,0.14969328,0.15712812,0.13034276
-5.95197599,0.83207373,0.00035184,0.23847003,0.00852676,0.15427561,0.16382340,0.13426297
-5.94597299,0.85558154,0.00039768,0.24585229,0.00891021,0.15902685,0.17087270,0.13829957
-5.93996998,0.87993033,0.00044663,0.25352569,0.00930575,0.16396924,0.17829002,0.14248229
-5.93396698,0.90525328,0.00049848,0.26153126,0.00971514,0.16911211,0.18607395,0.14683399
-5.92796398,0.93162492,0.00055295,0.26989472,0.01014012,0.17445010,0.19420640,0.15136920
-5.92196098,0.95905504,0.00060972,0.27862486,0.01058233,0.17996207,0.20265209,0.15609310
-5.91595798,0.98748677,0.00066842,0.28771315,0.01104335,0.18561110,0.21135924,0.16100129
-5.90995498,1.01679919,0.00072866,0.29713456,0.01152468,0.19134526,0.22026118,0.16608011
-5.90395198,1.04681438,0.00079005,0.30684956,0.01202784,0.19709949,0.22927909,0.17130771
-5.89794897,1.07730847,0.00085220,0.31680733,0.01255444,0.20279819,0.23832558,0.17665574
-5.89194597,1.10802614,0.00091474,0.32694970,0.01310621,0.20835863,0.24730900,0.18209152
-5.88594297,1.13869774,0.00097737,0.33721597,0.01368517,0.21369490,0.25613831,0.18758061
-5.87993997,1.16905780,0.00103983,0.34754788,0.01429366,0.21872218,0.26472808,0.19308961
-5.87393697,1.19886383,0.00110194,0.35789470,0.01493444,0.22336109,0.27300352,0.19858896
-5.86793397,1.22791418,0.00116362,0.36821791,0.01561071,0.22754193,0.28090503,0.20405554
-5.86193097,1.25606366,0.00122489,0.37849523,0.01632612,0.23120842,0.28839219,0.20947496
-5.85592796,1.28323584,0.00128588,0.38872352,0.01708475,0.23432087,0.29544665,0.21484326
-5.84992496,1.30943118,0.00134681,0.39892052,0.01789096,0.23685856,0.30207396,0.22016799
-5.84392196,1.33473025,0.00140802,0.40912510,0.01874926,0.23882103,0.30830407,0.22546842
-5.83791896,1.35929166,0.00146993,0.41939590,0.01966411,0.24022849,0.31419031,0.23077501
