energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.18277577,0.14763467,0.00000000,1.45999709,0.00000000,0.91806931,0.35929435
-5.99399700,3.09188450,0.14120320,0.00000000,1.42044404,0.00000000,0.87263136,0.34805045
-5.98799400,3.00849749,0.13565196,0.00000000,1.38387860,0.00000000,0.83015306,0.33763602
-5.98199100,2.93263246,0.13106273,0.00000000,1.35023316,0.00000000,0.79093417,0.32804777
-5.97598799,2.86402490,0.12750871,0.00000000,1.31929787,0.00000000,0.75518018,0.31925168
-5.96998499,2.80216569,0.12505609,0.00000000,1.29073959,0.00000000,0.72300948,0.31118685
-5.96398199,2.74634917,0.12376565,0.00000000,1.26412617,0.00000000,0.69446351,0.30377040
-5.95797899,2.69572874,0.12369416,0.00000000,1.23895469,0.00000000,0.66951945,0.29690335
-5.95197599,2.64937672,0.12489553,0.00000000,1.21468218,0.00000000,0.64810407,0.29047697
-5.94597299,2.60634488,0.12742139,0.00000000,1.19075704,0.00000000,0.63010813,0.28437932
-5.93996998,2.56572225,0.13132103,0.00000000,1.16664962,0.00000000,0.61540009,0.27850161
-5.93396698,2.52668680,0.13664055,0.00000000,1.14188023,0.00000000,0.60383822,0.27274404
-5.92796398,2.48854823,0.14342115,0.00000000,1.11604334,0.00000000,0.59528064,0.26702070
-5.92196098,2.45077970,0.15169659,0.00000000,1.08882681,0.00000000,0.58959233,0.26126344
-5.91595798,2.41303702,0.16148987,0.00000000,1.06002532,0.00000000,0.58664906,0.25542440
-5.90995498,2.37516468,0.17280915,0.00000000,1.02954768,0.00000000,0.58633808,0.24947724
-5.90395198,2.33718905,0.18564334,0.00000000,0.99741785,0.00000000,0.58855565,0.24341689
-5.89794897,2.29929969,0.19995736,0.00000000,0.96377009,0.00000000,0.59320180,0.23725818
-5.89194597,2.26182070,0.21568757,0.00000000,0.92883881,0.00000000,0.60017306,0.23103315
-5.88594297,2.22517434,0.23273751,0.00000000,0.89294403,0.00000000,0.60935368,0.22478763
-5.87993997,2.18983983,0.25097452,0.00000000,0.85647351,0.00000000,0.62060632,0.21857711
-5.87393697,2.15631020,0.27022740,0.00000000,0.81986279,0.00000000,0.63376313,0.21246231
-5.86793397,2.12505022,0.29028543,0.00000000,0.78357431,0.00000000,0.64861797,0.20650468
-5.86193097,2.09645823,0.31089915,0.00000000,0.74807686,0.00000000,0.66492061,0.20076227
-5.85592796,2.07083407,0.33178285,0.00000000,0.71382627,0.00000000,0.68237359,0.19528594
-5.84992496,2.04835521,0.35261897,0.00000000,0.68124842,0.00000000,0.70063220,0.19011647
-5.84392196,2.02906207,0.37306439,0.00000000,0.65072498,0.00000000,0.71930770,0.18528234
-5.83791896,2.01285309,0.39275841,0.00000000,0.62258253,0.00000000,0.73797394,0.18079859
-5.83191596,1.99948948,0.41133219,0.00000000,0.59708503,0.00000000,0.75617707,0.17666655
-5.82591296,1.98860858,0.42841927,0.00000000,0.57442965,0.00000000,0.77344788,0.17287441
-5.81990995,1.97974464,0.44366679,0.00000000,0.55474575,0.00000000,0.78931616,0.16939863
-5.81390695,1.97235508,0.45674688,0.00000000,0.53809654,0.00000000,0.80332625,0.16620595
-5.80790395,1.96585011,0.46736765,0.00000000,0.52448279,0.00000000,0.81505295,0.16325578
-5.80190095,1.95962365,0.47528331,0.00000000,0.51384824,0.00000000,0.82411687,0.16050286
-5.79589795,1.95308322,0.48030292,0.00000000,0.50608600,0.00000000,0.83019832,0.15789995
-5.78989495,1.94567710,0.48229727,0.00000000,0.50104531,0.00000000,0.83304907,0.15540040
-5.78389195,1.93691710,0.48120364,0.00000000,0.49853857,0.00000000,0.83250118,0.15296031
-5.77788894,1.92639594,0.47702814,0.00000000,0.49834792,0.00000000,0.82847267,0.15054044
-5.77188594,1.91379859,0.46984554,0.00000000,0.50023154,0.00000000,0.82096968,0.14810750
-5.76588294,1.89890763,0.45979659,0.00000000,0.50392939,0.00000000,0.81008508,0.14563498
-5.75987994,1.88160304,0.44708315,0.00000000,0.50916861,0.00000000,0.79599395,0.14310348
-5.75387694,1.86185734,0.43196110,0.00000000,0.51566865,0.00000000,0.77894611,0.14050063
-5.74787394,1.83972723,0.41473171,0.00000000,0.52314646,0.00000000,0.75925638,0.13782056
-5.74187094,1.81534331,0.39573178,0.00000000,0.53132190,0.00000000,0.73729330,0.13506325
-5.73586793,1.78889910,0.37532300,0.00000000,0.53992370,0.00000000,0.71346697,0.13223362
-5.72986493,1.76064103,0.35388114,0.00000000,0.54869604,0.00000000,0.68821672,0.12934068
-5.72386193,1.73086040,0.33178552,0.00000000,0.55740601,0.00000000,0.66199941,0.12639673
-5.71785893,1.69988833,0.30940915,0.00000000,0.56585173,0.00000000,0.63527885,0.12341669
