energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,6.02026961,0.01658382,1.12967633,1.35678598,0.41589658,0.08360662,2.63671442,2.41734226,1.10427924
-5.99399700,6.13846094,0.01669327,1.17122174,1.38338802,0.42067055,0.08618220,2.66656233,2.48004209,1.15051825
-5.98799400,6.26646356,0.01681713,1.21814691,1.41009218,0.42561900,0.08875135,2.69683214,2.54988170,1.20154510
-5.98199100,6.40322260,0.01695500,1.26989813,1.43691181,0.43079712,0.09126651,2.72749859,2.62618725,1.25672709
-5.97598799,6.54735495,0.01710634,1.32579861,1.46383729,0.43625068,0.09367825,2.75845890,2.70804414,1.31533518
-5.96998499,6.69718870,0.01727045,1.38505923,1.49084337,0.44201733,0.09593672,2.78954620,2.79431634,1.37655493
-5.96398199,6.85081524,0.01744656,1.44679357,1.51789757,0.44812821,0.09799328,2.82054640,2.88367514,1.43950068
-5.95797899,7.00615143,0.01763386,1.51003703,1.54496854,0.45460970,0.09980211,2.85121702,2.97463650,1.50323245
-5.95197599,7.16100856,0.01783152,1.57376953,1.57203379,0.46148508,0.10132173,2.88130653,3.06560542,1.56677568
-5.94597299,7.31316465,0.01803874,1.63694115,1.59908572,0.46877580,0.10251644,2.91057250,3.15492570,1.62914297
-5.93996998,7.46043636,0.01825474,1.69849988,1.62613537,0.47650230,0.10335755,2.93879719,3.24093295,1.68935747
-5.93396698,7.60074707,0.01847874,1.75742043,1.65321325,0.48468404,0.10382433,2.96579942,3.32200872,1.74647695
-5.92796398,7.73218800,0.01870988,1.81273314,1.68036706,0.49333900,0.10390465,2.99144175,3.39663346,1.79961794
-5.92196098,7.85306953,0.01894720,1.86355169,1.70765616,0.50248221,0.10359532,3.01563260,3.46343615,1.84797875
-5.91595798,7.96196091,0.01918952,1.90909866,1.73514316,0.51212388,0.10290203,3.03832319,3.52123833,1.89086069
-5.90995498,8.05771684,0.01943534,1.94872766,1.76288292,0.52226677,0.10183899,3.05949975,3.56909105,1.92768648
-5.90395198,8.13949065,0.01968272,1.98194118,1.79090987,0.53290340,0.10042825,3.07917162,3.60630286,1.95801501
-5.89794897,8.20673416,0.01992921,2.00840342,1.81922452,0.54401303,0.09869874,3.09735654,3.63245800,1.98155185
-5.89194597,8.25918534,0.02017173,2.02794729,1.84778013,0.55555880,0.09668510,3.11406421,3.64742421,1.99815503
-5.88594297,8.29684536,0.02040656,2.04057547,1.87647061,0.56748527,0.09442629,3.12927981,3.65134972,2.00783571
-5.87993997,8.31994720,0.02062926,2.04645543,1.90512084,0.57971650,0.09196423,3.14294876,3.64465021,2.01075374
-5.87393697,8.32891833,0.02083476,2.04590854,1.93348014,0.59215498,0.08934229,3.15496421,3.62798622,2.00720833
-5.86793397,8.32434017,0.02101737,2.03939396,1.96121978,0.60468151,0.08660389,3.16515854,3.60223251,1.99762427
-5.86193097,8.30690700,0.02117093,2.02748803,1.98793502,0.61715610,0.08379121,3.17329957,3.56844093,1.98253426
-5.85592796,8.27738711,0.02128898,2.01086012,2.01315199,0.62942001,0.08094402,3.17909238,3.52779872,1.96255834
-5.84992496,8.23658827,0.02136494,1.99024630,2.03633925,0.64129884,0.07809872,3.18218664,3.48158445,1.93838126
-5.84392196,8.18532966,0.02139239,1.96642189,2.05692384,0.65260664,0.07528761,3.18218956,3.43112359,1.91072903
-5.83791896,8.12442165,0.02136529,1.94017448,2.07431115,0.66315087,0.07253841,3.17868381,3.37774600,1.88034556
-5.83191596,8.05465418,0.02127827,1.91227853,2.08790773,0.67273808,0.06987397,3.17124943,3.32274723,1.84797066
-5.82591296,7.97679422,0.02112692,1.88347278,2.09714610,0.68118006,0.06731230,3.15948891,3.26735521,1.81432017
-5.81990995,7.89159183,0.02090802,1.85444147,2.10151022,0.68830029,0.06486675,3.14305371,3.21270385,1.78006917
-5.81390695,7.79979407,0.02061975,1.82580016,2.10056064,0.69394038,0.06254642,3.12167111,3.15981414,1.74583883
-5.80790395,7.70216519,0.02026192,1.79808652,2.09395786,0.69796632,0.06035664,3.09516976,3.10958350,1.71218726
-5.80190095,7.59951153,0.01983609,1.77175629,2.08148290,0.70027427,0.05829974,3.06350247,3.06278294,1.67960444
-5.79589795,7.49270885,0.01934561,1.74718436,2.06305412,0.70079574,0.05637568,3.02676509,3.02006169,1.64851121
-5.78989495,7.38272982,0.01879574,1.72467028,2.03873927,0.69950184,0.05458291,2.98521035,2.98195824,1.61926185
-5.78389195,7.27066937,0.01819353,1.70444777,2.00876247,0.69640659,0.05291908,2.93925576,2.94891642,1.59214968
-5.77788894,7.15776548,0.01754778,1.68669702,1.97350556,0.69156906,0.05138181,2.88948516,2.92130496,1.56741499
-5.77188594,7.04541353,0.01686889,1.67155890,1.93350381,0.68509427,0.04996932,2.83664357,2.89943863,1.54525438
-5.76588294,6.93517226,0.01616869,1.65914982,1.88943624,0.67713278,0.04868102,2.78162544,2.88359936,1.52583068
-5.75987994,6.82876010,0.01546020,1.64957614,1.84211077,0.66787893,0.04751791,2.72545677,2.87405540,1.50928253
-5.75387694,6.72804102,0.01475739,1.64294694,1.79244507,0.65756780,0.04648288,2.66927152,2.87107720,1.49573284
-5.74787394,6.63499962,0.01407488,1.63938437,1.74144349,0.64647085,0.04558090,2.61428330,2.87494859,1.48529541
-5.74187094,6.55170579,0.01342766,1.63903069,1.69017136,0.63489039,0.04481895,2.56175332,2.88597248,1.47807930
-5.73586793,6.48026973,0.01283081,1.64205158,1.63972724,0.62315290,0.04420587,2.51295575,2.90447069,1.47419055
-5.72986493,6.42278878,0.01229914,1.64863548,1.59121422,0.61160144,0.04375209,2.46914161,2.93077762,1.47373120
-5.72386193,6.38128788,0.01184690,1.65898900,1.54571133,0.60058731,0.04346916,2.43150254,2.96522847,1.47679580
-5.71785893,6.35765586,0.01148746,1.67332866,1.50424561,0.59046107,0.04336919,2.40113553,3.00814248,1.48346553
-5.71185593,6.35357999,0.01123301,1.69186954,1.46776599,0.58156324,0.04346418,2.37900979,3.05980237,1.49380070
-5.70585293,6.37048141,0.01109427,1.71481151,1.43711940,0.57421481,0.04376533,2.36593668,3.12043125,1.50783193
-5.69984992,6.40945396,0.01108017,1.74232387,1.41302984,0.56870799,0.04428224,2.36254362,3.19016830,1.52555087
-5.69384692,6.47120891,0.01119762,1.77452937,1.39608071,0.56529718,0.04502213,2.36925266,3.26904483,1.54690110
-5.68784392,6.55602775,0.01145119,1.81148843,1.38670092,0.56419072,0.04598908,2.38626419,3.35696183,1.57176980
-5.68184092,6.66372496,0.01184296,1.85318449,1.38515473,0.56554341,0.04718328,2.41354626,3.45367044,1.59998091
-5.67583792,6.79362235,0.01237226,1.89951124,1.39153564,0.56945025,0.04860045,2.45082961,3.55875612,1.63129012
-5.66983492,6.94453584,0.01303555,1.95026234,1.40576423,0.57594149,0.05023126,2.49760856,3.67162743,1.66538216
-5.66383192,7.11477559,0.01382632,2.00512416,1.42758990,0.58497924,0.05206095,2.55314760,3.79150983,1.70187045
-5.65782891,7.30215939,0.01473501,2.06367184,1.45659640,0.59645582,0.05406917,2.61649361,3.91744458,1.74029934
-5.65182591,7.50403933,0.01574910,2.12536879,1.49221092,0.61019395,0.05622987,2.68649329,4.04829296,1.78014866
-5.64582291,7.71734101,0.01685316,2.18956961,1.53371648,0.62594891,0.05851156,2.76181551,4.18274533,1.82084059
-5.63981991,7.93861450,0.01802911,2.25552649,1.58026749,0.64341266,0.06087761,2.84097806,4.31933489,1.86174845
-5.63381691,8.16409585,0.01925643,2.32239859,1.63090790,0.66221993,0.06328690,2.92237839,4.45645557,1.90220707
-5.62781391,8.38977785,0.02051263,2.38926441,1.68459181,0.68195616,0.06569463,3.00432755,4.59238371,1.94152450
-5.62181091,8.61148844,0.02177363,2.45513659,1.74020598,0.70216716,0.06805326,3.08508681,4.72530309,1.97899459
-5.61580790,8.82497528,0.02301437,2.51897903,1.79659391,0.72237026,0.07031373,3.16290623,4.85333282,2.01391023
-5.60980490,9.02599467,0.02420937,2.57972575,1.85258083,0.74206665,0.07242670,3.23606428,4.97455805,2.04557688
-5.60380190,9.21040301,0.02533343,2.63630145,1.90699930,0.76075459,0.07434397,3.30290774,5.08706295,2.07332619
-5.59779890,9.37424901,0.02636229,2.68764319,1.95871462,0.77794307,0.07601989,3.36189090,5.18896589,2.09652958
-5.59179590,9.51386471,0.02727335,2.73272296,2.00664971,0.79316550,0.07741282,3.41161322,5.27845654,2.11461151
-5.58579290,9.62595331,0.02804628,2.77057088,2.04980859,0.80599296,0.07848650,3.45085439,5.35383455,2.12706238
-5.57978989,9.70767179,0.02866374,2.80029842,2.08729818,0.81604657,0.07921131,3.47860587,5.41354936,2.13345101
-5.57378689,9.75670639,0.02911182,2.82112145,2.11834762,0.82300856,0.07956545,3.49409803,5.45624050,2.13343626
-5.56778389,9.77133891,0.02938058,2.83238246,2.14232476,0.82663159,0.07953582,3.49682205,5.48077762,2.12677800
-5.56178089,9.75050189,0.02946433,2.83357134,2.15874929,0.82674601,0.07911874,3.48654595,5.48629920,2.11334686
-5.55577789,9.69382091,0.02936186,2.82434431,2.16730228,0.82326480,0.07832039,3.46332398,5.47224869,2.09313262
-5.54977489,9.60164239,0.02907651,2.80454008,2.16783175,0.81618605,0.07715693,3.42749933,5.43840669,2.06625098
-5.54377189,9.47504563,0.02861609,2.77419266,2.16035425,0.80559284,0.07565443,3.37969966,5.38491761,2.03294813
-5.53776888,9.31583795,0.02799266,2.73354015,2.14505239,0.79165058,0.07384833,3.32082568,5.31230933,1.99360298
-5.53176588,9.12653238,0.02722220,2.68302880,2.12226850,0.77460196,0.07178283,3.25203294,5.22150426,1.94872652
-5.52576288,8.91030785,0.02632417,2.62331185,2.09249454,0.75475973,0.06950988,3.17470732,5.11382047,1.89895796
-5.51975988,8.67095187,0.02532093,2.55524276,2.05635872,0.73249760,0.06708796,3.09043473,4.99096178,1.84505750
-5.51375688,8.41278684,0.02423714,2.47986254,2.01460908,0.70823958,0.06458074,3.00096593,4.85499609,1.78789540
-5.50775388,8.14058096,0.02309909,2.39838120,1.96809462,0.68244823,0.06205552,2.90817716,4.70832156,1.72843738
-5.50175088,7.85944567,0.02193399,2.31215352,1.91774446,0.65561224,0.05958155,2.81402766,4.55362082,1.66772641
-5.49574787,7.57472175,0.02076931,2.22264956,1.86454550,0.62823364,0.05722835,2.72051500,4.39380388,1.60686107
-5.48974487,7.29185649,0.01963207,2.13142065,1.80951916,0.60081517,0.05506393,2.62962917,4.23194095,1.54697098
-5.48374187,7.01627499,0.01854821,2.04006168,1.75369767,0.57384807,0.05315307,2.54330644,4.07118684,1.48918975
-5.47773887,6.75324850,0.01754203,1.95017076,1.69810045,0.54780064,0.05155565,2.46338396,3.91469910,1.43462614
-5.47173587,6.50776322,0.01663566,1.86330759,1.64371100,0.52310774,0.05032507,2.39155585,3.76555238,1.38433436
-5.46573287,6.28439279,0.01584863,1.78095172,1.59145466,0.50016159,0.04950674,2.32933183,3.62665184,1.33928427
