energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,1.61675363,-1.24393106,0.00713495,-0.00984889,0.21715882,-0.15363880,1.11537042,-0.72494491,0.24912197,-0.15979225,0.03451111,-0.02308016,0.47677642,-0.41262976,0.29336316,-0.27042283,0.17824686,-0.13277343
-5.99399700,1.62071798,-1.24265322,0.00692955,-0.00956494,0.21964545,-0.15492873,1.12947140,-0.73893531,0.25002155,-0.16071523,0.03433937,-0.02304236,0.47438898,-0.41302806,0.29186474,-0.26930634,0.17920824,-0.13046623
-5.98799400,1.61847164,-1.24703029,0.00669795,-0.00933227,0.22125179,-0.15715177,1.13911372,-0.75484575,0.24985783,-0.16248799,0.03402680,-0.02314079,0.47014215,-0.41454392,0.28921847,-0.26865988,0.17959535,-0.12909277
-5.98199100,1.60965190,-1.25671722,0.00644131,-0.00914494,0.22189461,-0.16025573,1.14395856,-0.77262956,0.24857839,-0.16503775,0.03356749,-0.02336394,0.46401587,-0.41707623,0.28540324,-0.26845142,0.17933949,-0.12861852
-5.97598799,1.59404978,-1.27124378,0.00616163,-0.00899623,0.22151194,-0.16416754,1.14374800,-0.79219665,0.24615666,-0.16827426,0.03295932,-0.02369682,0.45603068,-0.42049791,0.28042049,-0.26863527,0.17839152,-0.12898971
-5.96998499,1.57161245,-1.29002514,0.00586166,-0.00887890,0.22006459,-0.16879455,1.13831408,-0.81340817,0.24259204,-0.17209152,0.03220388,-0.02412151,0.44624613,-0.42465858,0.27429371,-0.26915298,0.17672245,-0.13013512
-5.96398199,1.54244137,-1.31237432,0.00554470,-0.00878540,0.21753704,-0.17402605,1.12758590,-0.83607170,0.23790930,-0.17636993,0.03130630,-0.02461760,0.43475835,-0.42938756,0.26706755,-0.26993429,0.17432364,-0.13196817
-5.95797899,1.50678627,-1.33751651,0.00521449,-0.00870803,0.21393766,-0.17973534,1.11159403,-0.85993760,0.23215727,-0.18097880,0.03027492,-0.02516288,0.42169661,-0.43449718,0.25880643,-0.27089818,0.17120615,-0.13438922
-5.95197599,1.46503498,-1.36460499,0.00487502,-0.00863925,0.20929819,-0.18578206,1.09047186,-0.88469696,0.22540686,-0.18577904,0.02912101,-0.02573394,0.40721924,-0.43978638,0.24959277,-0.27195413,0.16739969,-0.13728800
-5.94597299,1.41769970,-1.39273871,0.00453042,-0.00857179,0.20367255,-0.19201504,1.06445378,-0.90998177,0.21774853,-0.19062619,0.02785827,-0.02630679,0.39150881,-0.44504461,0.23952486,-0.27300363,0.16295097,-0.14054623
-5.93996998,1.36539990,-1.42098118,0.00418476,-0.00849890,0.19713495,-0.19827531,1.03386987,-0.93536762,0.20928924,-0.19537353,0.02650236,-0.02685756,0.37476682,-0.45005608,0.22871440,-0.27394190,0.15792151,-0.14404021
-5.93396698,1.30884248,-1.44838064,0.00384198,-0.00841451,0.18977743,-0.20439960,0.99913735,-0.96037914,0.20014907,-0.19987540,0.02507044,-0.02736309,0.35720807,-0.45460419,0.21728378,-0.27466000,0.15238518,-0.14764363
-5.92796398,1.24879994,-1.47399105,0.00350572,-0.00831334,0.18170689,-0.21022400,0.96074893,-0.98449852,0.19045751,-0.20399047,0.02358056,-0.02780156,0.33905484,-0.45847626,0.20536316,-0.27504712,0.14642530,-0.15123026
