energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-5.61580790,6.56178997,0.01666536,0.71680214,0.48493503,4.03842433,3.12109106,2.72705853,0.00000000
-5.60980490,6.60927392,0.01653682,0.71894379,0.47267939,4.02944911,3.16067053,2.75043494,0.00000000
-5.60380190,6.63992277,0.01643020,0.71925845,0.45849887,4.00725686,3.19250120,2.76662588,0.00000000
-5.59779890,6.65358843,0.01633701,0.71777261,0.44256946,3.97261341,3.21618690,2.77556242,0.00000000
-5.59179590,6.65011551,0.01624884,0.71451483,0.42508872,3.92640429,3.23130991,2.77718129,0.00000000
-5.58579290,6.62935388,0.01615752,0.70951742,0.40627139,3.86961633,3.23744712,2.77142757,0.00000000
-5.57978989,6.59118030,0.01605519,0.70281916,0.38634479,3.80332024,3.23419099,2.75826074,0.00000000
-5.57378689,6.53552767,0.01593452,0.69446872,0.36554408,3.72865497,3.22117419,2.73766376,0.00000000
-5.56778389,6.46242010,0.01578876,0.68452857,0.34410754,3.64681403,3.19809659,2.70965455,0.00000000
-5.56178089,6.37201135,0.01561192,0.67307924,0.32227197,3.55903395,3.16475294,2.67429892,0.00000000
-5.55577789,6.26462391,0.01539888,0.66022348,0.30026834,3.46658469,3.12105958,2.63172419,0.00000000
-5.54977489,6.14078587,0.01514549,0.64609009,0.27831774,3.37076157,3.06707852,2.58213212,0.00000000
-5.54377189,6.00126273,0.01484865,0.63083707,0.25662783,3.27287810,3.00303728,2.52581037,0.00000000
-5.53776888,5.84708144,0.01450643,0.61465394,0.23538970,3.17425908,2.92934310,2.46314111,0.00000000
-5.53176588,5.67954451,0.01411804,0.59776274,0.21477535,3.07623286,2.84659052,2.39460620,0.00000000
-5.52576288,5.50023238,0.01368390,0.58041778,0.19493573,2.98012220,2.75556156,2.32078794,0.00000000
-5.51975988,5.31099290,0.01320563,0.56290374,0.17599938,2.88723265,2.65721807,2.24236512,0.00000000
-5.51375688,5.11391761,0.01268594,0.54553223,0.15807174,2.79883802,2.55268652,2.16010408,0.00000000
-5.50775388,4.91130507,0.01212857,0.52863667,0.14123497,2.71616245,2.44323551,2.07484498,0.00000000
-5.50175088,4.70561233,0.01153820,0.51256568,0.12554835,2.64035894,2.33024684,1.98748363,0.00000000
-5.49574787,4.49939617,0.01092027,0.49767494,0.11104921,2.57248470,2.21518141,1.89894965,0.00000000
-5.48974487,4.29524653,0.01028081,0.48431789,0.09775427,2.51347377,2.09954117,1.81018193,0.00000000
-5.48374187,4.09571477,0.00962628,0.47283543,0.08566132,2.46410794,1.98482876,1.72210244,0.00000000
-5.47773887,3.90323986,0.00896339,0.46354503,0.07475119,2.42498727,1.87250644,1.63558978,0.00000000
-5.47173587,3.72007577,0.00829887,0.45672959,0.06498993,2.39650167,1.76395602,1.55145369,0.00000000
-5.46573287,3.54822311,0.00763931,0.45262641,0.05633107,2.37880537,1.66044127,1.47041188,0.00000000
-5.45972986,3.38936834,0.00699102,0.45141684,0.04871794,2.37179584,1.56307430,1.39307033,0.00000000
-5.45372686,3.24483295,0.00635982,0.45321692,0.04208588,2.37509911,1.47278724,1.31990805,0.00000000
-5.44772386,3.11553521,0.00575097,0.45806956,0.03636446,2.38806287,1.39031004,1.25126716,0.00000000
-5.44172086,3.00196603,0.00516907,0.46593855,0.03147947,2.40975868,1.31615534,1.18734872,0.00000000
-5.43571786,2.90418018,0.00461798,0.47670494,0.02735473,2.43899410,1.25061066,1.12821456,0.00000000
-5.42971486,2.82180326,0.00410077,0.49016583,0.02391374,2.47433513,1.19373824,1.07379497,0.00000000
-5.42371186,2.75405429,0.00361977,0.50603608,0.02108108,2.51413892,1.14538226,1.02390196,0.00000000
-5.41770885,2.69978295,0.00317655,0.52395279,0.01878360,2.55659584,1.10518315,0.97824722,0.00000000
-5.41170585,2.65752011,0.00277199,0.54348274,0.01695138,2.59977993,1.07259828,0.93646412,0.00000000
-5.40570285,2.62553965,0.00240632,0.56413261,0.01551855,2.64170587,1.04692819,0.89813244,0.00000000
-5.39969985,2.60192899,0.00207926,0.58536172,0.01442386,2.68039040,1.02734745,0.86280489,0.00000000
-5.39369685,2.58466574,0.00179007,0.60659695,0.01361116,2.71391589,1.01293874,0.83003395,0.00000000
-5.38769385,2.57169739,0.00153767,0.62724942,0.01302971,2.74049325,1.00272924,0.79939804,0.00000000
-5.38169085,2.56102111,0.00132075,0.64673227,0.01263441,2.75852184,0.99572773,0.77052574,0.00000000
-5.37568784,2.55076046,0.00113786,0.66447900,0.01238592,2.76664373,0.99096137,0.74311715,0.00000000
-5.36968484,2.53923639,0.00098754,0.67996154,0.01225071,2.76379003,0.98751069,0.71696156,0.00000000
-5.36368184,2.52502986,0.00086836,0.69270753,0.01220102,2.74921749,0.98454179,0.69195079,0.00000000
-5.35767884,2.50703388,0.00077906,0.70231590,0.01221485,2.72253374,0.98133459,0.66808786,0.00000000
-5.35167584,2.48449326,0.00071856,0.70847027,0.01227581,2.68371036,0.97730631,0.64549078,0.00000000
-5.34567284,2.45703085,0.00068602,0.71094948,0.01237297,2.63308336,0.97202938,0.62439147,0.00000000
-5.33966983,2.42465944,0.00068091,0.70963496,0.01250067,2.57134111,0.96524340,0.60513010,0.00000000
-5.33366683,2.38777929,0.00070298,0.70451437,0.01265825,2.49950056,0.95686069,0.58814514,0.00000000
-5.32766383,2.34716158,0.00075228,0.69568165,0.01284983,2.41887281,0.94696555,0.57395973,0.00000000
-5.32166083,2.30391874,0.00082914,0.68333326,0.01308392,2.33101967,0.93580734,0.56316484,0.00000000
-5.31565783,2.25946284,0.00093415,0.66776091,0.01337310,2.23770306,0.92378773,0.55639996,0.00000000
-5.30965483,2.21545407,0.00106807,0.64934105,0.01373361,2.14082934,0.91144285,0.55433201,0.00000000
-5.30365183,2.17374106,0.00123183,0.62852163,0.01418492,2.04239080,0.89942102,0.55763307,0.00000000
-5.29764882,2.13629565,0.00142639,0.60580676,0.01474931,1.94440646,0.88845714,0.56695776,0.00000000
-5.29164582,2.10514434,0.00165272,0.58173979,0.01545136,1.84886432,0.87934471,0.58292077,0.00000000
-5.28564282,2.08229918,0.00191166,0.55688575,0.01631750,1.75766698,0.87290658,0.60607527,0.00000000
-5.27963982,2.06969044,0.00220386,0.53181374,0.01737556,1.67258226,0.86996579,0.63689273,0.00000000
-5.27363682,2.06910349,0.00252968,0.50708000,0.01865428,1.59520027,0.87131739,0.67574483,0.00000000
