energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Li_s_up,Te_p_up,Te_d_up
-6.00000000,10.10213809,2.55296770,7.48846550,0.02968109,0.18215873,0.14928563,1.81642111,0.00000000
-5.99399700,10.03755927,2.54088676,7.45027970,0.02946183,0.18309182,0.14921474,1.79236518,0.00000000
-5.98799400,9.95462376,2.52075664,7.39895339,0.02911130,0.18328153,0.14854864,1.76527498,0.00000000
-5.98199100,9.85137965,2.49256838,7.33236607,0.02862949,0.18270513,0.14726902,1.73525684,0.00000000
-5.97598799,9.72618778,2.45646094,7.24862163,0.02801929,0.18135643,0.14537065,1.70246593,0.00000000
-5.96998499,9.57778977,2.41271849,7.14612407,0.02728639,0.17924563,0.14286175,1.66710279,0.00000000
-5.96398199,9.40536878,2.36176386,7.02364762,0.02643915,0.17639879,0.13976427,1.62940899,0.00000000
-5.95797899,9.20859954,2.30414797,6.88039757,0.02548838,0.17285679,0.13611382,1.58966201,0.00000000
-5.95197599,8.98768476,2.24053569,6.71605873,0.02444703,0.16867375,0.13195935,1.54816943,0.00000000
-5.94597299,8.74337585,2.17168863,6.53082875,0.02332994,0.16391514,0.12736257,1.50526268,0.00000000
-5.93996998,8.47697649,2.09844537,6.32543455,0.02215340,0.15865553,0.12239705,1.46129065,0.00000000
-5.93396698,8.19032862,2.02170017,6.10113071,0.02093483,0.15297619,0.11714713,1.41661336,0.00000000
-5.92796398,7.88578136,1.94238103,5.85967988,0.01969231,0.14696250,0.11170662,1.37159602,0.00000000
-5.92196098,7.56614422,1.86142803,5.60331578,0.01844429,0.14070151,0.10617724,1.32660390,0.00000000
-5.91595798,7.23462683,1.77977306,5.33469068,0.01720915,0.13427952,0.10066707,1.28199807,0.00000000
-5.90995498,6.89476795,1.69832166,5.05680972,0.01600489,0.12778005,0.09528872,1.23813245,0.00000000
-5.90395198,6.55035699,1.61793787,4.77295492,0.01484886,0.12128198,0.09015765,1.19535219,0.00000000
-5.89794897,6.20535158,1.53943245,4.48660258,0.01375750,0.11485825,0.08539031,1.15399341,0.00000000
-5.89194597,5.86379435,1.46355476,4.20133723,0.01274611,0.10857485,0.08110237,1.11438423,0.00000000
-5.88594297,5.52973234,1.39098851,3.92076598,0.01182879,0.10249037,0.07740697,1.07684696,0.00000000
-5.87993997,5.20714142,1.32235081,3.64843637,0.01101829,0.09665591,0.07441292,1.04170098,0.00000000
-5.87393697,4.89985807,1.25819439,3.38776051,0.01032597,0.09111539,0.07222308,1.00926605,0.00000000
-5.86793397,4.61151974,1.19901208,3.14194790,0.00976179,0.08590619,0.07093259,0.97986549,0.00000000
-5.86193097,4.34551466,1.14524288,2.91394848,0.00933432,0.08105998,0.07062726,0.95382871,0.00000000
-5.85592796,4.10494102,1.09727879,2.70640686,0.00905075,0.07660382,0.07138193,0.93149266,0.00000000
-5.84992496,3.89257511,1.05547137,2.52162795,0.00891693,0.07256118,0.07325874,0.91320161,0.00000000
-5.84392196,3.71084736,1.02013748,2.36155384,0.00893739,0.06895301,0.07630559,0.89930507,0.00000000
-5.83791896,3.56182496,0.99156332,2.22775076,0.00911531,0.06579871,0.08055450,0.89015348,0.00000000
-5.83191596,3.44719976,0.97000641,2.12140524,0.00945258,0.06311687,0.08602006,0.88609158,0.00000000
-5.82591296,3.36827979,0.95569508,2.04332771,0.00994972,0.06092585,0.09269803,0.88744958,0.00000000
-5.81990995,3.32598346,0.94882555,1.99396211,0.01060581,0.05924404,0.10056405,0.89453233,0.00000000
-5.81390695,3.32083515,0.94955661,1.97339986,0.01141851,0.05808989,0.10957266,0.90760688,0.00000000
-5.80790395,3.35296177,0.95800226,1.98139681,0.01238387,0.05748163,0.11965658,0.92688892,0.00000000
-5.80190095,3.42209003,0.97422280,2.01739201,0.01349634,0.05743680,0.13072637,0.95252883,0.00000000
-5.79589795,3.52754448,0.99821502,2.08052731,0.01474865,0.05797147,0.14267069,0.98459791,0.00000000
-5.78989495,3.66824712,1.02990211,2.16966730,0.01613175,0.05909935,0.15535692,1.02307553,0.00000000
-5.78389195,3.84271913,1.06912396,2.28341932,0.01763477,0.06083078,0.16863259,1.06783808,0.00000000
-5.77788894,4.04908600,1.11562874,2.42015353,0.01924504,0.06317161,0.18232725,1.11865015,0.00000000
-5.77188594,4.28508712,1.16906605,2.57802339,0.02094812,0.06612208,0.19625514,1.17515857,0.00000000
-5.76588294,4.54809098,1.22898241,2.75498701,0.02272786,0.06967576,0.21021837,1.23688993,0.00000000
-5.75987994,4.83511712,1.29481937,2.94882986,0.02456661,0.07381856,0.22401073,1.30325158,0.00000000
-5.75387694,5.14286545,1.36591449,3.15718941,0.02644539,0.07852788,0.23742194,1.37353654,0.00000000
